old,english,speaker
"おお――あんたか！
どうしたんだ？　",,Leo
"へへっ
コキ使われて嫌になったか",,Leo
それとも癒やされたいってか？,,Leo
"ああ、イリスを迎えに来たのか
っと、本人登場だ",,Leo
――あれ？,,Leo
お迎えだとよ,,Leo
"――そうか
でも、帰りたくないな",,Leo
"レオたちに会わせる顔がないって？
そんなの、誰も気にしてないだろうな",,Leo
"少なくとも俺は気にしていない
幸か不幸かこうして生きているからな",,Gurdolin
幸か不幸か？,,Leo
俺の考えじゃ――,,Leo
"覚者が死ぬってことは
役目を果たしたってことだ",,Leo
"だから、そりゃ
ある意味幸せだ",,Leo
とすると――,,Lise
"生きてるってことは
まだなーんにもしていない",,Gurdolin
"そういうことにならないか？
背中の荷物はまだ下ろせない",,Elliot
"それは――
ある意味、不幸だってことになる",,Leo
ある意味かぁ,,Gurdolin
"はっきりしないね
そういうのは苦手なんだ",,Lise
じゃあ、イリス,,Elliot
"はっきりさせてみろ
んで、教えてほしいね",,Gurdolin
覚者にとって――,,Gurdolin
"何が幸福か
何が不幸か――",,Lise
"俺はずっと探しているけどな
見つからないんだ",,Lise
俺の見たところレオだって――,,Elliot
あいつもまだ迷ってるな,,Elliot
レオも？　まさか！,,Lise
"オークとの戦争が終わってみろ
あいつ、抜け殻になるかもな",,
そう――かな,,
"イリス
おまえは――どうだ？",,
わたしは――,,
"ファビオ、誘ってくれて
ありがとう",,
"わたし、先に帰るね
こうしちゃいられないから",,
