old,english,speaker
あれ？　みんな深刻な顔をしていますね,,Leo
"先の谷で悪しき竜と対峙した時
ネド王子は、あの竜の正体を見切ったの",,Elliot
"悪しき竜の竜力は、火竜様のものだから
王子は継承できることがわかったのね",,Leo
"だけど、悪しき竜がやすやすと
竜力を手放すとは思えないな",,Leo
"そう――
だから竜を倒さなくちゃいけない",,Gurdolin
控え目に言って――簡単じゃなさそうだね,,Lise
"簡単ではないが、多少は楽にする秘策が
あると言ったらどうする",,Leo
もったいぶるんじゃねえ,,Gurdolin
"効果に確証があるわけではない
ここは慎重にならせて頂こう",,Leo
"ともあれ、秘策の実行にはまず、王都メガド
そして火垂れ山への道筋を開かねばならぬ",,Leo
"展望城の奪還は、その道筋を開くため
避けては通れんのだが",,Leo
幾分、敵の兵力が多すぎる――,,Leo
オークの部隊が集結しているらしいね,,Leo
"そこで提案です
わたしはロスギルへ戻り――",,Leo
兵をまとめて“嘆きの湿原”へ進軍します,,Leo
"そして湿原の、敵の野営地に攻撃を
しかけてやるのです、となれば――",,
"展望城の戦いに飢えたオークどもは
勇んで戦場へと向かうはずです",,
"おそらく、城の守りは手薄になりますから
その隙に奇襲部隊が侵入すれば――",,
イェルハルド、素晴らしい！,,
わたしもイェルハルドと行くよ,,
"おぬしたちも行ってもらえぬか？
派手に暴れて愚かなオークどもを騙してやるのだ",,
