old,speaker
"調理台ができたから
簡単な料理なら作れるようになったんだ！
やっと料理人らしいことができるようになって
なんだか安心しちゃった",Carrie
"でも、今の環境じゃ火の扱いが
ちょっと難しいのが悩みどころかなぁ",Carrie
"こんな状況だからこそ
食べるもので病気になったりしないように
生ものはしっかり加熱したいんだけど――",Carrie
釜戸、何とか直せないかなぁ,Carrie
"あのね、釜戸を直す材料には
心当たりがあって――",Carrie
"<COL ff2600>《粘土質の土》</COL>があれば、アタシと解放軍の人とで
協力して直せると思うんだよね
釜戸の構造はアタシが覚えてるからさ",Carrie
"<COL ff2600>《粘土質の土》</COL>ね
ピレモスに行く途中で見た気がするんだ
ほら、食料を届けにいく途中で
ちらっと目にした記憶が――",Carrie
"今度ピレモスに行く時にでも見つけられないかなぁ
そしたら一石二鳥だよね
よし、探してみよう",Carrie
"もしかしたらアタシ、魔物を避けるので
必死になってるかもしれないから
あなたも一応覚えておいてくれない？
ピレモスに行く途中で<COL ff2600>《粘土質の土》</COL>、ってさ",Carrie
"釜戸を修理するための<COL ff2600>《粘土質の土》</COL>――
今度ピレモスに行く時にでも見つけられないかなぁ",Carrie
"もしかしたらアタシ、魔物を避けるので
必死になってるかもしれないから
あなたも一応覚えておいてくれない？
ピレモスに行く途中で<COL ff2600>《粘土質の土》</COL>、ってさ",Carrie
"あれっ――
いつの間に見つけたの！？",Carrie
"ううん、やっぱりアタシってば
魔物を避けるのに必死で
<COL ff2600>《粘土質の土》</COL>を探すのを忘れちゃってたみたい",Carrie
"あなたに言っておいてよかったわ！
これで釜戸が直せそう――ありがとう！",Carrie
