old,speaker,english,speaker,english,speaker
"この世界には、まだまだ自分の見たこともない
珍しいものが沢山あるんでしょうね――",Rolf,,Rolf,,Rolf
"その全てを、とは申しませんが
一つでも多くを見てみたいものです――
何か心当たりの品を見せていただけないでしょうか？",Rolf,,Rolf,,Rolf
"見たこともない鉱石や、美しい花や木々たち
その全てが、この雄大な自然の中で
育まれているのです",Rolf,,Rolf,,Rolf
"なんだかワクワクしませんか？
あ、失礼いたしました――
少々興奮しすぎたようです",Rolf,,Rolf,,Rolf
"素晴らしいですね――
これは初めて見ました",Rolf,,Rolf,,Rolf
"これも広大な自然の営みの力なのでしょう
見ていると不思議な気持ちになります――",Rolf,,Rolf,,Rolf
"そうだ、小耳にはさんだことを
お伝えさせて頂きます――",Rolf,,Rolf,,Rolf
"なんでも、島の南の水路が氷漬けになっている
という異変があったようです
一体どういうことなのでしょうね",Rolf,,Rolf,,Rolf
"この島の自然は不思議で美しい――
ですがまだまだ不可解な事が沢山あります",Rolf,,Rolf,,Rolf
"洞窟や水路は魔物の巣窟です
もし入るのなら、身の安全を第一に考えて下さい",Rolf,,Rolf,,Rolf
なるほど、やはり魔物の仕業でしたか――,Rolf,,Rolf,,Rolf
"犠牲者が出る前に対処ができて何よりです
ありがとうございます――",Rolf,,Rolf,,Rolf
