old,speaker,english,speaker,english,speaker
"さあ、隊長！　俺とガルドリンからのお返しは
綺麗なお花に囲まれる“癒し”です！
隊長ならきっと、美しいものに囲まれる風情を
わかってくれるかと思いまして！",Elliot,,Elliot,,Elliot
"でも、ガルドリンは風情がどうとか
全然わかってくれない人じゃないですか
二人で協力して探すのには苦労しましたよ",Elliot,,Elliot,,Elliot
"というわけで、詳しくは
ガルドリンから聞いてみてください
俺一人で準備したみたいになっちゃうと
悪いですからね",Elliot,,Elliot,,Elliot
"俺たちのお返し、隊長に
気に入ってもらえるといいんですが――
詳しいことは横のガルドリンから聞いてください",Elliot,,Elliot,,Elliot
"よう、次は俺たちの番だな
ちゃんと“お返し”を用意してやったぜ",Gurdolin,,Gurdolin,,Gurdolin
"エリオットの奴が勝手に色々と
話を進めやがったが、俺だってちゃんと
下見に行ったんだぞ",Gurdolin,,Gurdolin,,Gurdolin
"神殿の花屋から聞いたんだが
ローテスでは“潮風を養分に咲く特別な花”
ってのが毎年この時期に咲くらしい",Gurdolin,,Gurdolin,,Gurdolin
"咲いている期間は短いが
えらく綺麗な上に、その香りには
気分を良くする効果もあるとかないとか",Gurdolin,,Gurdolin,,Gurdolin
"お前が気に入るかはわからんが
せっかく教えてやったんだから直接見に行って
ついでに「記念撮影」でもしてこいよ",Gurdolin,,Gurdolin,,Gurdolin
"いいか、ローテスの近くに生えている花だぞ
今の時期にしか咲かないらしいから
さっさと見に行って来るんだな",Gurdolin,,Gurdolin,,Gurdolin
"ちゃんと現地で「記念写真」も撮ってこいよ
チッ、俺は花なんざ興味ねぇけど
エリオットがどうしてもって言うからよ",Gurdolin,,Gurdolin,,Gurdolin
"どうでしたか？　とっても綺麗だったでしょ！
潮風に吹かれながらも強く美しく咲く！
そう、まるで隊長のようだと思うんです！",Elliot,,Elliot,,Elliot
"今年はもうシーズンが終わっちゃいますけど
来年は一緒に見に行きましょう
その頃には状況も落ち着いてるといいですね",Elliot,,Elliot,,Elliot
"ちゃんと見てきたか？
写真も撮ったんだろうな
ふん、お前が喜んだならそれで良いんだよ",Gurdolin,,Gurdolin,,Gurdolin
"これでチョコレートの借りは
ちゃんと返したからな",Gurdolin,,Gurdolin,,Gurdolin
