old,new,speaker
新しい《証拠》を手に入れたぞ！,,Mephis
"<NPC 691>を完全に落とすためには
まだまだ《証拠》が足りない――",,Mephis
"メガドの中で得られる証拠はまだまだ
あるはずだ
さぁ、《諜報活動》にでかけよう",,Mephis
"<COL ff2600>調査できそうな場所が無くなったり
《諜報活動》を終えたいときは
俺に声をかけてくれ</COL>",,Mephis
"よし、それじゃあ出発の準備ができたら
もう一度俺に声をかけてくれ",,Mephis
それじゃあ、メガドでの《諜報活動》を始めるか？,,Mephis
はい,Yes,Mephis
いいえ,No,Mephis
今日はもう終わりにするか？,,Mephis
まだ続ける,Continue on,Mephis
終わりにする,End,Mephis
無駄な戦闘は、できるだけ避けたいんだがな,,Mephis
騒ぎになると面倒だな――,,Mephis
チッ、雑魚どもめ――,,Mephis
"夜のメガドは危険だ
しっかり準備していけよ",,Mephis
"もうすぐ夜が明けるな
帰るぞ――",,Mephis
"憲兵が見張ってやがる――
くそ、大通りは通行止めってわけか",,Mephis
"おい覚者、気をつけろ！
危うく憲兵に見つかるところだったぞ",,Mephis
"だれ――？
みんなのお友達？",,Child
"あ、覚者さん
僕の話、覚えててくれたのかな",,Child
"<NPC 691>――だっけ？
彼が何か知っているみたいだよ
聞いてみて",,Child
"こんばんは！
ぼくたちの集会にようこそ",,Child
"えぇと――話はきいているよ
ぼくに何か聞きたいことがあるんでしょ？",,Child
<NPC 691>のことを聞く,,Child
なんでもない,Nothing,Child
"うーんと――名前はわかんないけど
たぶん、ぼくその人知ってるよ
何度か、話しかけたことがあるんだ
よくメフィスさんの後をついていってたから",,Child
"そのときのことが知りたいんだね？
うーん、教えてあげてもいいけど――",,Child
"――――そうだ！
いっしょに遊んでくれたら教えてあげる！
ね、いいでしょ",,Child
"あのねー、ぼくと鬼ごっこして捕まえられたら
あなたの勝ち！",,Child
それじゃ――準備はいい？,,Child
はい,Yes,Child
いいえ,No,Child
"すごいすごーい！
足が速いんだね！
でも、ぼくも負けないよ",,Child
"彼はわたしたちの中で一番足がはやいの
きっとおいつけないよ！",,Child
"僕たち、ここで暮らしていると
追いかけられることが多いから――
自然と足も速くなるんだよね",,Child
彼は僕らの中で一番のランナーなのさ,,Child
あのガキを捕まえて、<NPC 691>の情報をもらうぞ！,,Mephis
"すごい――！
まさか、本当に勝っちゃうなんて",,Child
"へぇ、すごいじゃん覚者さん
彼に勝てた人なんて初めて見た",,Child
"うーん、負けちゃったよ！
鬼ごっこ、つよいんだね――",,Child
"それじゃ――約束だもんね！
あなたとメフィスさんを
こっそり追いかけてた人のことを
知りたいんだよね？",,Child
"――えーと
最近ぼくらの縄張りに来るようになったんだ
それで、見て回りながら
いろいろなことをメモしているみたい",,Child
"あの日も、メフィスさんとあなたの後を
こっそりついていって、ずーっと何か書いてたよ
メフィスさんが、あの人を捕まえるまで！
――ぼく見てたもん、まちがいないよ！",,Child
"いったい何を書いていたのかな？
似顔絵とか――？",,Child
"あのお兄さん、わるい人なの？
ぼくの話、役に立てたかな――？",,Child
"<NPC 691>のメモが落ちているとすれば
　　　　　この辺りだ――探してみろ",,Mephis
"あら、覚者さんとメフィスさん！
舐めるように地面を見て、一体どうしたの？",,Karen
"“メモの落し物”――ですって？
本当にこの辺りで<NPC 691>さんと
争った時に、落としたの？",,Karen
"もしかして、誰かが拾っちゃったのかしら
この辺りはあんまり治安が良くないから
落し物が次の日もそのまま残ってるってことは
あんまりないかも――",,Karen
"そうだ、もしかしたら<NPC 698>さんが
何か知っているかもしれないわ！
ガラクタや、盗品なんかも扱ってるそうなの
聞いてみて！",,Karen
"“メモの落し物”――
本当にこの辺りで<NPC 691>さんと
争った時に、落としたの？",,Karen
"もしかして、誰かが拾っちゃったのかしら
この辺りはあんまり治安が良くないから
落し物が次の日もそのまま残ってるってことは
あんまりないかも――",,Karen
"そうだ、もしかしたら<NPC 698>さんが
何か知っているかもしれないわ！
ガラクタや、盗品なんかも扱ってるそうなの
聞いてみて！",,Karen
話が早くて助かるね――,,Johoya
"実は、掘り出し物の花瓶を手に入れたんだけど
運ぶ途中、助手がどこかに落としちまったんだよ
それを探してきてほしいんだ",,Johoya
"心当たりのある場所の印を
マップにつけておいたやったからね",,Johoya
"かなり良い品だからね――
見つけたら気を付けて扱ってくれよ
あんたたちの欲しいメモはそれと交換だ",,Johoya
<NPC 698>め、そんな副業があったとは,,Mephis
探し物とは厄介だが、仕方ない,,Mephis
これ――ではないらしいな,,Mephis
"これがその探し物か――
　　　　　<NPC 698>に報告しよう",,Mephis
"フン、気が利かないねえ
それともそういうフリをしてんのかい？",,Johoya
"――まぁどっちでもいいさ
気が向いたらまた来ておくれよ",,Johoya
"実は、掘り出し物の花瓶を手に入れたんだけど
運ぶ途中、助手がどこかに落としちまったんだよ
それを探してきてほしいんだ",,Johoya
"心当たりのある場所の印を
マップにつけておいたやったから
探してきておくれよ",,Johoya
"戦時下じゃ見向きもされない品だがね
芸術ってのは平和になってから
価値がどんどん上がっていくものなのさ
くれぐれもくすねたりするんじゃないよ！",,Johoya
"おやおや、また来たんだね――
仕事の話かい？",,Johoya
