old,speaker
"大変なんだよ
ヴァネッサ様への報告書が集まらない！
あと１枚なんだけど――",Arisen Corps Regimental Soldier
"誰かがまだ提出していないんだよな
なあ、あんた、回収頼むよ",Arisen Corps Regimental Soldier
"大変なんだよ
ヴァネッサ様への報告書が集まらない！
あと１枚なんだけど――",Arisen Corps Regimental Soldier
"誰かがまだ提出していないんだよな
なあ、あんた、回収頼むよ",Arisen Corps Regimental Soldier
"一応言っておくけど
魔物がうろついているから気をつけてな",Arisen Corps Regimental Soldier
"大変なんだよ
ヴァネッサ様への報告書が集まらない！
あと１枚なんだけど――",Arisen Corps Regimental Soldier
"誰かがまだ提出していないんだよな
なあ、あんた、回収頼むよ",Arisen Corps Regimental Soldier
"知っていると思うけど
このあたりは魔物がけっこう強いから
気をつけてな",Arisen Corps Regimental Soldier
"え？　なんですか？
あ、報告書でありますか！？",Arisen Corps Regimental Soldier
"ホントですか！？
出していないのは
自分だけでありますか！？",Arisen Corps Regimental Soldier
"お願いです、自分、負傷していまして
報告書を持参できないのであります！",Arisen Corps Regimental Soldier
"これが自分の報告書です
担当者に渡して頂ければ幸いであります！",Arisen Corps Regimental Soldier
"おお――報告書がそろった！？
ありがとう――うん、ありがとう",Arisen Corps Regimental Soldier
"それでさ――言いにくいんだけど
提出時間が過ぎていてさ――
きっと、無茶苦茶怒られるんだ――",Arisen Corps Regimental Soldier
"ここまで来たら、ついでだよな？
報告書をヴァネッサ様に届けてくれ！",Arisen Corps Regimental Soldier
"ああ、報告書か――
ん？　なぜおまえが――
担当者はどうしたんだ？",Vanessa
"なんと――そんなことが！？
叱責を逃れようなどは笑止千万
この守備隊員にあるまじき行為！",Vanessa
"委細、承知した
あとは自分で対処しておく",Vanessa
"今回は迷惑をかけたな――
神殿の皆によろしく伝えてくれ
ご苦労だった",Vanessa
"ああ、報告書か――
ん？　なぜおまえが――
担当者はどうしたんだ？",Vanessa
"なんと――そんなことが！？
叱責を逃れようなどは笑止千万
この守備隊員にあるまじき行為！",Vanessa
"委細、承知した
あとは自分が厳しく処分しておく",Vanessa
"今回は迷惑をかけたな――
怪我はないか？",Vanessa
"そうか――
神殿の皆によろしく伝えてくれ
ご苦労だった",Vanessa
"ああ、報告書か――
ん？　なぜおまえが――
担当者はどうしたんだ？",Vanessa
"なんと――そんなことが！？
叱責を逃れようなどは笑止千万
この守備隊員にあるまじき行為！",Vanessa
"委細、承知した
あとは自分が厳しく処分しておく
怠惰はオークより腐臭を放つ",Vanessa
"今回は迷惑をかけたな――
怪我はないか？",Vanessa
"そうか――良かった
こんなことで戦力が減じては
白竜とレオに申し訳が立たないからな",Vanessa
"ご苦労だった
気をつけて神殿へ帰ってくれ",Vanessa
"たのむ、急いでくれ！
報告書があと１枚！",Arisen Corps Regimental Soldier
"自分が言うのも変ですが
急いだ方がいいと思うのであります！",Arisen Corps Regimental Soldier
"ヴァネッサ様がお待ちだ
なるべく早くたのむよ",Arisen Corps Regimental Soldier
"い、今は自分に構わずに
敵に集中するであります！",Arisen Corps Regimental Soldier
