old,speaker
"お、お前ダレだ――？
変ナ服――
ファーガル、そんなノ見た事無い",Fergal
"お前、戦士――？
ファーガルも、戦える
でも、タクサン戦った
タクサン戦って、いっぱい疲レタ",Fergal
"お前――魔物と戦ッテ、ファーガル助ける？
ファーガル――倒れるマデ戦う
戦っテ、お前助ける",Fergal
"こんにちは、ええと――たしか
レス――タニア？　とかいう大陸の覚者さん
このタイミングで話しかけてくるなんて
私、そんなに困った顔してたかしら――",Lewela
"――話を聞いてくれるの？
あのね、私は仲介係をしているんだけど
良い仲間を見つけられず一人で出かける人もいるの
だけど、そういう人は大抵帰って来ないから――",Lewela
"捜索依頼を出して、他の冒険者たちに探してもらうの
だけど、最近よそから来た人が増えたせいで
失踪人数に対して捜索人数が圧倒的に足りなくて――",Lewela
"ね、もし良かったらお手伝いしてもらえない？
えーと、覚者さんに行ってほしいのは
《<STG 812>》で
探してほしいのは――《ファーガル》さんよ！",Lewela
"発見された時には手遅れになってる人が多いから
もし見つけたらできるだけ早く安全を
確保して――元気なうちに助けてあげて！
もし成功したら、その分のお礼はちゃんとするわ",Lewela
"覚者さんに捜索して欲しいのは
《<STG 812>》へ行った《ファーガル》さんよ！",Lewela
"服装はフィンダムの人っぽかったけど
どこの出身か分からなかったな――
少し会話したら、慌てて走って行っちゃったの",Lewela
"あぁ、よかった！　生きていたのね
本当に覚者さんに頼んで良かった――
失踪者について残念な報告が入ると
いつも気が滅入っていたの",Lewela
"それでも、こういうことがあって人に感謝されると
やっぱり楽しくて――この仕事を辞められないの
ね、覚者さんもそうでしょ？",Lewela
もし冒険に行くときは、またお願いね,Lewela
"え！　生きていたの――あぁ、よかった
怪我していても、命があっただけで幸運だわ",Lewela
"この平原の魔物は、ダナの戦士たちのように
獰猛な奴が多いから――
ありがとうね、覚者さん",Lewela
早く、魔物、倒ス！,Fergal
マダ平気！　お前、頑張れ！,Fergal
"グォォ――
ファーガル、もう戦えナイ――",Fergal
"お前――助ケタ？　なんで？
ファーガル、お前、知らない
お前、ファーガル、知らない――",Fergal
"――外、出タノ――悪いコトばかり、違う
お前、良いヤツ！
礼シタイ",Fergal
"グォォォ――
ウググ――ファーガル、身体、力入らない",Fergal
"お、お前、助ケタ――？
感謝スル――
ファーガル、動けない――置いてイケ",Fergal
