old,new,speaker,english,speaker,english,speaker
"ごきげんよう、覚者殿
お待ち申し上げておりましたぞ",,Navido,,Navido,,Navido
"本日は、非常に重要なお願いごとが
ございましてな――
ぜひ、覚者殿にこそ
引き受けていただきたいのですよ",,Navido,,Navido,,Navido
"そのお願いごとというのが――
『レジスタンス狩り』なのです",,Navido,,Navido,,Navido
"前々から気にはしていたのですが
ここ最近――混乱に乗じ
勢力を伸ばしているという噂を聞きまして",,Navido,,Navido,,Navido
"――おや、どうしました覚者殿
レジスタンスと言っても、ほぼ市民の寄せ集め
そのように怖い顔をされずとも、貴殿にとって
赤子の手を捻るより簡単な任務ではありませんか",,Navido,,Navido,,Navido
"容疑者たちを、情報提供のため
連行していただきたいのです
<COL ff2600>容疑者は複数おりますが――そのうち、必ず
＜2人＞以上は連行するようお願いします</COL>",,Navido,,Navido,,Navido
"覚者殿ほどの大人物に促されれば
必ずや反省し、改心して抵抗しないはずです
――それでは、よろしくお願いいたしますぞ",,Navido,,Navido,,Navido
"覚者殿には非常に重要な任務――
『レジスタンス狩り』をお願いしたい",,Navido,,Navido,,Navido
"容疑者たちを、情報提供のため
連行していただきたいのです
<COL ff2600>容疑者は複数おりますが――そのうち、必ず
＜2人＞以上は連行するようにお願いします</COL>",,Navido,,Navido,,Navido
"――――あぁ、そうそう
これは根も葉もない噂に違いありませんが",,Navido,,Navido,,Navido
"覚者殿が、レジスタンスの首謀者として
手配中の“メフィス”と共にいたという
目撃証言も聞いております",,Navido,,Navido,,Navido
"全く、失礼な話ですな――
覚者殿が、レジスタンスのような
反体制組織に加担するなどありえない話
――この任務、何卒よろしくお願いしますぞ",,Navido,,Navido,,Navido
"おかえりなさいませ、覚者殿
首尾は上々のようですな！",,Navido,,Navido,,Navido
"いやはや、覚者殿がレジスタンス問題を
片付けてくださったおかげで
安心して執政に励むことができます！",,Navido,,Navido,,Navido
"この覚者殿の功績を、大々的に公表し
市民全員に知らしめなくてはなりますまい！
そうは思われませんか？",,Navido,,Navido,,Navido
"――おや、お望みではないと？
まぁ、覚者殿がそうおっしゃるのなら――
謙虚ですな、実に素晴らしい",,Navido,,Navido,,Navido
――――,,Navido,,Navido,,Navido
"いささか、覚者殿には
刺激が過ぎる任務でしたかな
いや申し訳ない――配慮が至りませんで",,Navido,,Navido,,Navido
"実は、私の中でも疑念が生まれつつあったのです
覚者殿にまつわる不穏な噂――
しかし、この度のことは疑念を持ってしまった
私自身への戒めとなりました",,Navido,,Navido,,Navido
"これではっきり致しましたな
――時代に選ばれぬ逆賊は、貴方の前に
膝をつくこととなりましょう",,Navido,,Navido,,Navido
"今日が最後になるだろうが――
引き続き、<NPC 681>の元へ
《潜入調査》を頼む",,Mephis,,Mephis,,Mephis
"前回の話を聞いた印象では――
何度襲われようが
死ぬこともなく、素振りも変わらないお前を
<NPC 681>も不審に思い始めているようだが",,Mephis,,Mephis,,Mephis
"――未だ確信には至っていないようだな
今日あたり、何か大胆な揺さぶりを
かけてくるかもしれん
だが、レジスタンスと悟られることだけは避けろ",,Mephis,,Mephis,,Mephis
"さて――それじゃあ
準備ができたら話しかけてくれ",,Mephis,,Mephis,,Mephis
"さて、それじゃ――
昼の《潜入調査》を開始するか？",,Mephis,,Mephis,,Mephis
はい,Yes,Mephis,,Mephis,,Mephis
いいえ,No,Mephis,,Mephis,,Mephis
"ヤツは、仲間だろうと家族だろうと
邪魔者には容赦しない――",,Mephis,,Mephis,,Mephis
"時には、味方を危険に晒すことに
なるかもしれない――迷うこともあるだろうが――
俺たちはお前を信じてる
だから、お前もお前の判断に自信を持て",,Mephis,,Mephis,,Mephis
"それから、
<COL ff2600>《潜入調査》の任務を中断したいときは
覚者の力を使って、自力で帰ってきてくれ
</COL>俺は導いてやることができないからな",,Mephis,,Mephis,,Mephis
――頼んだぞ,,Mephis,,Mephis,,Mephis
"踏ん切りがつかないか？
――焦ることはない",,Mephis,,Mephis,,Mephis
"お、覚者さん！
――今、潜入調査中なのか？",,Jan,,Jan,,Jan
"俺も今、街に溶け込んで情報収集中なんだ
――ま、あんたほど上手くはないけどさ
戦士なんかを中心に
<NPC 681>の話を聞いて回ってる",,Jan,,Jan,,Jan
"ま、こういうのも楽しいな
盗みの仕事とは違う、高揚感というか
――絶対にあんたの役に立つ情報を
持って帰るからな！",,Jan,,Jan,,Jan
"ところで――
俺に何か用だったのか？",,Jan,,Jan,,Jan
見逃す,,Jan,,Jan,,Jan
連行する,,Jan,,Jan,,Jan
"へ――
レジスタンス狩り、だと？
俺がその標的になってたってのか――！",,Jan,,Jan,,Jan
"捕まってなんかたまるかよ――
呑気に情報収集なんてしてる場合じゃねえな
他のメンバーにも教えてやらねえと！",,Jan,,Jan,,Jan
教えてくれてありがとうな、覚者さん！,,Jan,,Jan,,Jan
"レジスタンス狩りなんて――
呑気に情報収集なんてしてる場合じゃねえな
他のメンバーにも教えてやらねえと！",,Jan,,Jan,,Jan
"教えてくれてありがとうな、覚者さん！
<NPC 681>や憲兵のやつらなんかに
捕まってたまるかよ！",,Jan,,Jan,,Jan
――あれ、俺にまだ何か用か？,,Jan,,Jan,,Jan
なんでもない,Nothing,Jan,,Jan,,Jan
やっぱり連行する,,Jan,,Jan,,Jan
"へ？
な、なに言ってんだ覚者さん
連行って――あんたがか？",,Jan,,Jan,,Jan
"冗談だろ――
仲間を売るってのか
<NPC 681>の野郎に！",,Jan,,Jan,,Jan
"――いや――でも――
あんたがそうしろって言うなら、そうするよ
なぁ、何か事情があるんだろ？",,Jan,,Jan,,Jan
"覚者さん、あんたの正体を知られるのが一番マズいんだ
俺が、捕まっちまうよりな――
絶対に<NPC 681>の野郎をぶっ倒して
解放してくれるって信じてるぜ！",,Jan,,Jan,,Jan
"うふふ――
あら？　こんにちは！",,Lady of the Night,,Lady of the Night,,Lady of the Night
"ふふ――嬉しそうに見えるかしら？
初対面かもしれないあなたにこんなこと話すのも
おかしいけれど――実はね、あたし結婚するの",,Lady of the Night,,Lady of the Night,,Lady of the Night
"仕事も、もうやめられるの――
夜の冷たい風も、髪に染みつくような煙草の煙も
もう少しだって我慢しなくてよくなるの
――それって最高だと思わない？",,Lady of the Night,,Lady of the Night,,Lady of the Night
あたし、こんなに幸せでいいのかしら,,Lady of the Night,,Lady of the Night,,Lady of the Night
"――あら、喋りすぎてごめんなさい
ところで何かご用だったのかしら？",,Lady of the Night,,Lady of the Night,,Lady of the Night
見逃す,,Lady of the Night,,Lady of the Night,,Lady of the Night
連行する,,Lady of the Night,,Lady of the Night,,Lady of the Night
"あたしがレジスタンス――？
何よそれ、初耳だわ",,Lady of the Night,,Lady of the Night,,Lady of the Night
"知らないことを情報提供しろなんて言われても
困っちゃうわよね
今は面倒なことに関わっている暇はないの",,Lady of the Night,,Lady of the Night,,Lady of the Night
"誰だか知らないけど
忠告してくれてありがとね！
レジスタンスとやらの騒ぎが収まるまで
大人しくしておくわ――",,Lady of the Night,,Lady of the Night,,Lady of the Night
"知らないことを情報提供しろなんて言われても
困っちゃうわよね
今は面倒なことに関わっている暇はないの",,Lady of the Night,,Lady of the Night,,Lady of the Night
"誰だか知らないけど
忠告してくれてありがとね！
レジスタンスとやらの騒ぎが収まるまで
大人しくしておくわ――",,Lady of the Night,,Lady of the Night,,Lady of the Night
ところで、まだ何か用かしら？,,Lady of the Night,,Lady of the Night,,Lady of the Night
なんでもない,Nothing,Lady of the Night,,Lady of the Night,,Lady of the Night
やっぱり連行する,,Lady of the Night,,Lady of the Night,,Lady of the Night
"え――連行？
あたしは何もしてないわ",,Lady of the Night,,Lady of the Night,,Lady of the Night
"レジスタンス――
まぁ、名前くらいは聞いたことあるけど
情報提供なんて言われても、知らないわ！",,Lady of the Night,,Lady of the Night,,Lady of the Night
"でも――でも侯爵様に逆らった方が
大変なことになるのよね？
なんだかよく分からないけど従うわ――",,Lady of the Night,,Lady of the Night,,Lady of the Night
ねぇ、すぐ終わるのよね？,,Lady of the Night,,Lady of the Night,,Lady of the Night
"――あ！　あんたは――
覚者さんじゃないか、久しぶりだな！
俺のこと覚えてるか？",,Thug Leader,,Thug Leader,,Thug Leader
"俺が渡した台帳、役に立ってるかい？
あ、返さなくていいぜ！
今はそれを作ってる暇がないからな",,Thug Leader,,Thug Leader,,Thug Leader
"俺、新しい仕事を始めたんだよ！
戦争で移り住んできた人たちに
仕事や住処なんかを斡旋するんだ――
へへ、覚者さんみたいにメガドに貢献したくてさ",,Thug Leader,,Thug Leader,,Thug Leader
"俺のことをゴロツキなんて呼ぶ奴は
もうほとんどいないんだぜ――へへ
あ、ところで俺に何か用か？",,Thug Leader,,Thug Leader,,Thug Leader
見逃す,,Thug Leader,,Thug Leader,,Thug Leader
連行する,,Thug Leader,,Thug Leader,,Thug Leader
"え――
レジスタンスだって？",,Thug Leader,,Thug Leader,,Thug Leader
"おいおい、こんなにメガドに尽くしてる俺に
一体誰がそんなことを！
ぶん殴ってやる！",,Thug Leader,,Thug Leader,,Thug Leader
"――あぁ、すまん覚者さん
俺は、メガドの全てを愛してるんだ
なぁ覚者さんなら信じてくれるよな？
そんな危険で迷惑な奴らと一緒にしないでくれ！",,Thug Leader,,Thug Leader,,Thug Leader
"レジスタンスめ――
一体なんでわざわざ、やっと落ち着いたメガドを
荒らそうとするんだ？",,Thug Leader,,Thug Leader,,Thug Leader
"しかも、俺がそのメンバーだなんて――
誰だそんなことを言った奴は！
ぶん殴ってやる！",,Thug Leader,,Thug Leader,,Thug Leader
"――あぁ、すまん覚者さん
俺の愛を疑われたようで気分が悪くてさ
なぁ覚者さんなら信じてくれるよな？
そんな危険で迷惑な奴らと一緒にしないでくれ！",,Thug Leader,,Thug Leader,,Thug Leader
"――で、どうしたんだ？
俺に何か用か？",,Thug Leader,,Thug Leader,,Thug Leader
なんでもない,Nothing,Thug Leader,,Thug Leader,,Thug Leader
やっぱり連行する,,Thug Leader,,Thug Leader,,Thug Leader
"れ、連行――？
侯爵さまが、俺を疑ってるのか？",,Thug Leader,,Thug Leader,,Thug Leader
"くそ、一体どうしてそんなことに？
俺はこんなにメガドに尽くしているのに
なんでわかってくれねぇんだ――",,Thug Leader,,Thug Leader,,Thug Leader
"――よし！　やってやろうじゃねえか
俺がメガドへの愛を直接ぶつけてやりゃあ
侯爵さまも目が覚めるはずだぜ！
連行だろうがなんだろうが、望むところだ！",,Thug Leader,,Thug Leader,,Thug Leader
"おや？
あなたの顔、どこかで見たことが――",,Vernon,,Vernon,,Vernon
"息子のお友達だったかな――？
――むう、思い出せんわい
申し訳ないのう",,Vernon,,Vernon,,Vernon
"あぁ、そうそう、息子の友達で思い出した
実はのう――
息子が数年ぶりに帰って来たんじゃ！",,Vernon,,Vernon,,Vernon
"ワシャ、てっきり死んだものかと――
あの子が目の前に現れた時は
ついに幻が見えるようになったかと思ったわい",,Vernon,,Vernon,,Vernon
"あの子ったら、会えなかった分の親孝行などと
肩を揉んだり料理をしたり――
昔からあんなに甲斐甲斐しく働く子だったかの？
まぁ、きっと良い出会いがあったのじゃろうなぁ",,Vernon,,Vernon,,Vernon
"――はて、そういえば
何かご用があったのですかな？",,Vernon,,Vernon,,Vernon
見逃す,,Vernon,,Vernon,,Vernon
連行する,,Vernon,,Vernon,,Vernon
"――なんですって？
最近、耳が遠くなりましてなぁ",,Vernon,,Vernon,,Vernon
"れじすたんす、とやらはどこの方ですかな？
ワシがその――レジなんとかさんと
間違えられて、連れて行かれそうだったと？",,Vernon,,Vernon,,Vernon
"なんともご親切に
御忠告、ありがとうございます
残り短い余生、できれば息子の傍に
いてやりたいものですからなぁ――",,Vernon,,Vernon,,Vernon
"れじすたんすさんは
一体どのような悪いことをされたんですかなぁ",,Vernon,,Vernon,,Vernon
"いやはや、それにしても
間違えられるなんて――",,Vernon,,Vernon,,Vernon
"なんともご親切に
御忠告、ありがとうございます
残り短い余生、できれば息子の傍に
いてやりたいですからなぁ――",,Vernon,,Vernon,,Vernon
ところで、なにかご用ですかな？,,Vernon,,Vernon,,Vernon
なんでもない,Nothing,Vernon,,Vernon,,Vernon
やっぱり連行する,,Vernon,,Vernon,,Vernon
"なんですかな？
れんこう――",,Vernon,,Vernon,,Vernon
"れ、連行ですと！？
一体どこへ連れて行くおつもりですか",,Vernon,,Vernon,,Vernon
"ま、まさか――
牢獄は嫌じゃああ！
牢獄だけはやめてくだされー！",,Vernon,,Vernon,,Vernon
"覚者かい
フン――言わなくても分かっているよ",,Johoya,,Johoya,,Johoya
"どうせ、<NPC 681>の狸親父の
言いなりになって
無実の奴らを連れてこうって魂胆だろ",,Johoya,,Johoya,,Johoya
"――で、あたしの順番って訳かい
ケッ、好きにしな
遅かれ早かれ、こうなると思ってたのさ――",,Johoya,,Johoya,,Johoya
見逃す,,Johoya,,Johoya,,Johoya
連行する,,Johoya,,Johoya,,Johoya
"へぇ――本当にいいのかい？
<NPC 681>の汚さは十分わかっていると
思っていたけどねぇ",,Johoya,,Johoya,,Johoya
"ま、でもその判断に感謝するよ――
あたしはまだまだやりたいことがあるんだよ
<NPC 681>に協力するのも気に食わんしね",,Johoya,,Johoya,,Johoya
