old,speaker,english,speaker,english,speaker
"あれ？
こんなところで会えるなんて！",Lise,,Lise,,Lise
"まあ、それはそれとして――
わたし、遺跡の探索をしようと思っているの",Lise,,Lise,,Lise
"知ってる？
この辺り、昔エルフが住んでいたんだって
彼らの残したものに、もしかしたら私が知り
たいことのヒントがあるかも――",Lise,,Lise,,Lise
"――って思うんだけど、魔物がちょっと
面倒なのね
探索しようにも",Lise,,Lise,,Lise
"先行って――倒してくれない？
もちろん、お礼は任せて！",Lise,,Lise,,Lise
"あれ？
こんなところで会えるなんて！",Lise,,Lise,,Lise
"まあ、それはそれとして――
わたし、遺跡の探索をしようと思っているの",Lise,,Lise,,Lise
"エルフ達が残した不思議な知識の中に、
もしかしたら私が探しているもののヒントが
あるかも――",Lise,,Lise,,Lise
"――って思うんだけど、魔物がちょっと
面倒なのね
探索しようにも",Lise,,Lise,,Lise
"先行って――倒してくれない？
もちろん、お礼は任せて！",Lise,,Lise,,Lise
"あ、でも魔物、かなり厄介そうだから
ダメそうなら断ってくれてもいいよ",Lise,,Lise,,Lise
"あれ？
こんなところで会えるなんて！",Lise,,Lise,,Lise
"まあ、それはそれとして――
わたし、遺跡の探索をしようと思っているの",Lise,,Lise,,Lise
"エルフ達の知識や技の中に、
私が探しているものの手掛かりが
あるかも――",Lise,,Lise,,Lise
"――って思うんだけど、魔物がちょっと
面倒なのね
探索しようにも",Lise,,Lise,,Lise
"先行って――倒してくれない？
あ、でも魔物、ありえないくらい
強いと思うから――",Lise,,Lise,,Lise
うん、もちろん断ってくれてもいいよ,Lise,,Lise,,Lise
"おつかれさま！
これでわたしにも遺跡の探索が
できるようになったわ",Lise,,Lise,,Lise
ありがとうね！,Lise,,Lise,,Lise
"おつかれさま！
これでわたしにも遺跡の探索が
できるようになったわ",Lise,,Lise,,Lise
"結構大変だったでしょ？
ありがとうね！",Lise,,Lise,,Lise
"おつかれさま！
ずいぶん時間がかかると思ったら
本当に大変だったみたいね",Lise,,Lise,,Lise
感謝するわ――ありがとう！,Lise,,Lise,,Lise
"じゃあ、遺跡探索の準備しなくちゃ
忙しいなあ、わたし",Lise,,Lise,,Lise
"そんなに大変なの？
サボってない？",Lise,,Lise,,Lise
"リズ様の頼み事――
引き受けて頂けるとありがたいのですが",Plum,,Plum,,Plum
"このような辺境でお会いできたのも
なにかのご縁――
どうかお願いします",Plum,,Plum,,Plum
"ありがとうございます――！
くれぐれも気をつけて",Plum,,Plum,,Plum
"申し訳ありません
リズ様はかなり図々しいお方なのですが
それを自覚されておらず――",Plum,,Plum,,Plum
どうか見捨てないであげてください,Plum,,Plum,,Plum
