old,speaker,english,speaker,english,speaker
"実は、折り入ってお願いがあるのです
大切なモノを失くしてしまいまして――
どうにかして探してきていただきたいのです",Rolf,,Rolf,,Rolf
"無理は重々承知ですが
お引き受けいただけないでしょうか――",Rolf,,Rolf,,Rolf
"レスタニアの子供たちに見せようと
大切に保管していたのですが――",Rolf,,Rolf,,Rolf
"魔物の類がこっそり奪っていったのでしょうか
困ったものですね――",Rolf,,Rolf,,Rolf
"見つけてくださったのですね！
ああ、感謝いたします――",Rolf,,Rolf,,Rolf
"ところで――今回の紛失の原因が分かったのです
どうやら島内で金品を奪い回っている
少し風変わりな魔物がいるようで――",Rolf,,Rolf,,Rolf
"調査隊内でも、金品を奪われた隊士が
何名か出たと聞いています",Rolf,,Rolf,,Rolf
"これ以上被害が出ないよう
問題の魔物がこの辺りに近寄らないように
していただけないでしょうか――",Rolf,,Rolf,,Rolf
"魔物なのに金品を狙うとは
少し変わっていると思われませんか？
何かの突然変異でしょうか――",Rolf,,Rolf,,Rolf
"ありがとうございます
これで被害に遭う人も減っていくでしょう
魔物のせいで泥棒騒ぎが起きるなんて
心が痛みますからね――",Rolf,,Rolf,,Rolf
