old,speaker
フィンダムの住民たちはどんな様子だ？,Joseph
"我々とは歩んできた歴史が違う
よって、生きる上での思想も異なることだろう",Joseph
"せっかくの機会だから、よく学んで来るといい
しかし、おかしな影響を受けぬようにな
特に、エリオットやリズは心配だ",Joseph
ロイグの安否はまだわからないのだな？,Joseph
"世界の存亡という大きな危機の前では
個人の行方など小さな問題かもしれん",Joseph
"しかし、だからこそ、忘れるな？
常に心に留めておくのだぞ",Joseph
"フィンダムの問題解決のために
すでに動き出している人たちがいるという
ことだよね？",Klaus
"それがセシリーのお父さんということは
彼女にも何か役割があったのかもなあ",Klaus
"村中を訊いて回ったのですが
父の行き先はまだわかりません",Cecily
"わたしは、故郷のモルフォールへ
帰ろうと思います
道中、父の手がかりを探すつもりですが――",Cecily
"隊長、お願いです
わたしとは別の道で、モルフォールを
目指してください",Cecily
"エラン水林一帯の調査に出向いていた
エリアマスターのミューセルが、礎近くの一軒家
“守り人の庵”に戻ってきたそうです",Cecily
"ミューセルはあの辺りの情報に精通しています
彼女と会い、話しを聞いて頂けませんか？",Cecily
"父――あるいは父が残した痕跡が
見つかるかもしれません",Cecily
"我々ダナの者は皆、勇敢な戦士だが
竜と戦うことだけはできないいのだ",Pisarr
"もちろん、恐怖心が原因ではない
竜との戦いなど、想像の外
我らの感情としては禁忌が最も近い",Pisarr
"当面の目的は、セシリーの父親ガラダの
捜索ってことでいいな？",Gurdolin
"ここの人たち、勇敢な戦士というのは
ウソじゃないと思うけど――",Lise
"考えているのは、武器がぶつかり合う
戦いのことばかりで、相手の素性とか
真相を探るとか、全部、人任せみたい",Lise
"ロイグはどこにいるんでしょうねえ
無事だといいなあ",Elliot
"そうですか
セシリーが無事に帰ってきたのですね",Musel
そして、あなたが噂のレスタニアの覚者さま――,Musel
"ええ、はい――
残念ですが、エラン水林に族長ガラダが訪れた
形跡はありません",Musel
"おそらく、まだ誰も足を踏み入れたことのない地へ
向かわれたのかも知れません",Musel
"ひとまずは、あなたもセシリーを追い
モルフォールへ向かわれると良いでしょう",Musel
"モルフォールへ向かうには
水林の桟橋に立つ、船頭のトレアサにお会いください",Musel
この守り人の庵は、あなたをいつでも歓迎します,Musel
"ミューセルの紹介ですね
分かりました、対岸へ渡しましょう",Toreasa
"客人よ、何もないところだが
我が家だと思って寛いでくれ",Mordred
"ロイグ？　俺はあまり良い印象がないな
ほら、なんだか、暗いだろう？
気づかなかったかい？",Dingus
"人は“芯なる樹”、精霊竜ウィルミア
そしてこの大地の奉仕者です",Arthfael
"我々は“芯なる樹”を中心とする“精霊の地”を守り
精霊竜の世話をして暮らしてきました",Arthfael
"しかし、今、すべてを失うかもしれないという恐怖に
直面しています",Arthfael
"“芯なる樹”が病に侵されても
豊かな竜力が癒やすだろうと期待していましたが
病はそんな生易しいものではなかった",Arthfael
"そこで精霊竜は、自らの、浄化の力で
“芯なる樹”を癒やそうとしたようです",Arthfael
"しかし竜の力を持ってしてもかなわず――
病は竜の正気まで奪ってしまいました",Arthfael
"――今の我々に残された希望は
古文書の記述の中からガラダが見つけた
《原始の雫》だけなのです",Arthfael
"あらゆる毒素を中和するという
“芯なる樹”が誕生した時代の水――
それが《原始の雫》です",Arthfael
"みなさんも我々と一緒に
ガラダが《原始の雫》を手にして
帰還することを祈って頂ければ――",Arthfael
"《原始の雫》は書物に記述があるだけで
実際にはどうなのか――",Arthfael
"そう不安視する者も多いようですが
わたしは信じています",Arthfael
"出立を止めはしないが
しっかり休んでからにしてくれ",Milan
"なかなか――
思い通りに、事は進んでくれませんね",Cecily
"ここに初めて来た時はまだ子供で――
しかも、迷子になって、たどり着いたんです",Cecily
"それがいつの間にか――
迷うと、ここに来るようになりました",Cecily
"ガラダはまだ戻らないというわけか
助けが必要なのかもしれないな",Pisarr
まだ待機か？　気にくわねえな,Gurdolin
隊長、わたし、やっと理解できたかも,Lise
"わたしたちが協力しているのは
フィンダムを救うための戦いなんだけど
同時に、フィンダムの人たちが自分自身を
変えようとする戦いでもある",Lise
"よくないことが起こっても
運命だから仕方がない――
報いだから当然――",Lise
"そんな風に考えて受け入れてしまう
流されるような生き方との戦い",Lise
これ、わたしとしては応援するしかないな,Lise
"族長のガラダは皆からの信頼が厚いようです
早く会ってみたいですね",Elliot
というか、会えないと最悪の事態ですよね――,Elliot
"原始の雫――
古代の湧水地でのみ採取可能な物質――",Klaus
ごめん、僕の知識にはまったくないね,Klaus
無事で何よりだ,Joseph
ふむ――なんと――,Joseph
"大地は病み、竜は正気を失う――
竜力は腐り、毒と化して世界を巡る――
想像を絶する災害だな",Joseph
"セシリーが我々の下に来たのは――
そのようなことがレスタニアにも起こりうるという
警告なのかもしれんぞ",Joseph
"だとすれば、我々はフィンダムの竜に
感謝すべきだろうな",Joseph
