old,new,speaker,english,speaker,english,speaker
"やあ、今年もハロウィンの季節がきたんだが――
実はシェリーちゃんの様子が変なんだ",,Angelo,,Angelo,,Angelo
"怒ってるわけでも無さそうだし
喋ると何だか妙に怖いしで
ああなっている理由がさっぱりわからない
頼む、君も様子をみてくれないか",,Angelo,,Angelo,,Angelo
"ヨウヤク、コノキセツガキタワネ
コトシコソハ――オカシヲ、タクサン――
フフフフ――フフフフフ――",,Shelly,,Shelly,,Shelly
"ワタシガ、ヘン――？
フフフフフ、オカシナコトヲ――イウノネェ
ホラ、マチガイナクしぇりーヨ",,Shelly,,Shelly,,Shelly
"ソンナコトヨリ
オカシ、チョウダイ",,Shelly,,Shelly,,Shelly
"ほら！　な！？
やっぱり様子がおかしいだろう
頼む、彼女に何がおこったのか調べてくれ！
このままでは今年のハロウィンは中止だぁ！",,Angelo,,Angelo,,Angelo
"そういえば、ここに来る途中に聞いたんだが
《ゴーストランタン》というものがあるらしい
かざすと真実の姿を照らし出すという
不思議な力をもったランタンだそうだ",,Angelo,,Angelo,,Angelo
"それを何とかして入手できないだろうか――
えーっと、いつもの！
何でも交換してくれる彼！
彼のところで調べてきてくれ",,Angelo,,Angelo,,Angelo
"おやおや、覚者さん
ずいぶん急いでどうなさいました
――本日はどのようなご用件で？",,Gregory,,Gregory,,Gregory
"なるほど、《ゴーストランタン》でございますか
――あることにはありますよ、ええ",,Gregory,,Gregory,,Gregory
"こちら少々"いわく付き"の品なので
あまり表には出していないのですがね――
へっへへ、他ならぬ覚者さんの頼みですからねぇ
ええ、交換とさせていただきましょうか",,Gregory,,Gregory,,Gregory
"そりゃ、いくら覚者さんといえど
タダで差し上げるわけにはいきませんよ
相応の品をお持ち下されば
その対価としてお譲りいたしますとも――へへ",,Gregory,,Gregory,,Gregory
"持ってきていただく品物は――
そうですね、今しか手に入らない
《おばけマシュマロ》でいかがです
なんでも、魔物を倒すと手に入るそうで",,Gregory,,Gregory,,Gregory
"おお、とてもよくお似合いで――
ただし、以前にも申しました通り
そのランタンは多少"いわく付き"の品でして
あやしげなものを照らす際には、ご注意を",,Gregory,,Gregory,,Gregory
"おおお、それがゴーストランタンか！
早速シェリーちゃんを照らして
――と思ったのだが、当のシェリーちゃんが
どこかへ行ってしまったのだ",,Angelo,,Angelo,,Angelo
"追いかけたのだが、フラフラしてる割に
意外と足が速くて――
み、見失ってしまって――",,Angelo,,Angelo,,Angelo
"方向的にはテル村の方へ
行ったんじゃないかと思うんだがね
――頼む、彼女を探してきてくれ！",,Angelo,,Angelo,,Angelo
"ああ、覚者さん
ついさっき、不思議な恰好の美女が
ブツブツ独り言を言いながら
井戸の方に歩いていったのを見たんだよ",,Norman,,Norman,,Norman
"何事かと思って後を追ったんだけど
いくら覗いても井戸の中には
誰もいないんだ",,Norman,,Norman,,Norman
"真っ暗だし、探すのをやめて出てきたよ
何か明るく照らすものがないとダメだな",,Norman,,Norman,,Norman
"そこの井戸に女性が入っていくのを見たけど
暗くて何も見えないから、
何か明るく照らすものをもって行った方がいい",,Norman,,Norman,,Norman
"ナ、ナアニ？　コンナトコロマデ――
ワタシニ、ナニカヨウ？",,Shelly,,Shelly,,Shelly
"ココニハ、アヤシイモノナンテ
ナニモナイワ
――シンジテクレルワヨネ？",,Shelly,,Shelly,,Shelly
信じない,Don't believe,Shelly,,Shelly,,Shelly
信じる,Believe,Shelly,,Shelly,,Shelly
"アラ、ウフフフ
オホホ――ァアハハハハハ",,Shelly,,Shelly,,Shelly
"バレテイタノネ
ミノガシテアゲヨウト
オモッタノニ",,Shelly,,Shelly,,Shelly
ソウヨ、ワタシハしぇりーヨ,,Shelly,,Shelly,,Shelly
