old,speaker
"最近、島内で凶悪な魔物を頻繁に見かける
という情報が相次いでるわ",Clarissa
"そのせいで、この駐屯地で負傷者を休ませる
場所が追いつかなくてね――",Clarissa
"あなた、ちょっと討伐してきてくれないかしら
これ以上負傷者が出たら、本当にもたないわ",Clarissa
"――わかっていると思うけれど
あなたにまで倒れられたら本末転倒よ
今回は一度も膝をつかずに
討伐することを心がけてちょうだい",Clarissa
"そうね、魔物を倒したら
討伐に参加した人全員で
一度ここに戻ってきてくれるかしら
様子を見ておきたいわ",Clarissa
"――わかっていると思うけれど
あなたにまで倒れられたら本末転倒よ
今回は一度も膝をつかずに
討伐することを心がけてちょうだい",Clarissa
"そうね、魔物を倒したら
討伐に参加した人全員で
一度ここに戻ってきてくれるかしら
様子を見ておきたいわ",Clarissa
その顔は――やりきったのね,Clarissa
"その不撓不屈の精神、他の隊士にも
見習わせたいわ、ありがとう",Clarissa
"これでしばらくは、休ませる場所にも余裕ができる
心からのお礼の品も用意したわ
受け取ってちょうだい",Clarissa
"惜しかったわね――でもよくやったわ
これでしばらく負傷者も減るはずよ",Clarissa
"一応お礼も用意したわ
つまらないものだけど受け取って",Clarissa
敵との戦闘で一度も死亡状態になりませんでした,The White Dragon
依頼者からの報酬が多くなります,The White Dragon
パーティメンバーが死亡状態になりました,The White Dragon
依頼者からの報酬が下がります,The White Dragon
