old,speaker
"最近このあたりの魔物の動きが活発でな
どこかに格好の棲み家があるんだろうが
未だ突き止められていない――",Gort
"このままじゃ、ここらへんに残った村人が
全滅するかもしれん
頼む、調査に協力してくれ",Gort
"ただし、村人たちを不安にさせたくはない
お前も調査の途中で力尽きて
話を大事にしないよう頼むぞ",Gort
"調査が済んだら、俺のところに集まって
調査内容を報告してくれ
それじゃあ、頼んだぞ",Gort
"もともと物騒な場所なんだがな
これ以上危険になったら、さすがに笑い事じゃない",Gort
"だが、いたずらに村人たちを
不安にさせたくはない
お前も調査の途中で力尽きて
話を大事にしないよう頼むぞ",Gort
"調査が済んだら、俺のところに集まって報告してくれ
それじゃあ、頼んだぞ",Gort
"魔物の棲家を見つけるどころか
見事、魔物を根絶やしにまでしてくれたのか！
完璧だ――かなりのやり手だな",Gort
"選りすぐりの素晴らしい報酬を用意した
感謝の気持ちとして受け取ってくれ",Gort
"魔物との戦闘中に倒れた戦士らしき者を
見たという噂が流れてきたぞ
――どうやら、辛い調査になったようだな",Gort
"魔物を討伐してくれたのはありがたいが
倒れている間に逃げ出した魔物もいただろうから
根本的な解決にはならなかったようだな",Gort
"一応、粗品で礼はする
これでも何かの足しにはなるだろう",Gort
敵との戦闘で一度も死亡状態になりませんでした,The White Dragon
依頼者からの報酬が多くなります,The White Dragon
パーティメンバーが死亡状態になりました,The White Dragon
依頼者からの報酬が下がります,The White Dragon
