old,new,speaker,english,speaker,english,speaker
"やぁ、キミか！
この間の潜入任務のときは助かったよ",,Sonel,,Sonel,,Sonel
"敵戦力の現状も目の当たりにしたし
《第一防衛区画》の攻略を進めないとね",,Sonel,,Sonel,,Sonel
"もちろん！
今回もキミの席は空けてあるから
心配は無用さ！",,Sonel,,Sonel,,Sonel
受注キャンセル時会話（仮）,,Sonel,,Sonel,,Sonel
"ようし、まだまだやることはたくさんあるが
まずは奴らの戦力を削ることが先決だ",,Sonel,,Sonel,,Sonel
"潜入の準備はできている
戦いの方は――まだちょっと遠慮したいけどね",,Sonel,,Sonel,,Sonel
さて、今回はどうするかな――,,Sonel,,Sonel,,Sonel
《兵舎》を攻略する,"Capture ""Barracks""",Sonel,,Sonel,,Sonel
《集会場》を攻略する,"Capture ""Meeting Spot""",Sonel,,Sonel,,Sonel
準備に戻る,Return to preparation,Sonel,,Sonel,,Sonel
"《兵舎》は敵の寝床のようだね
兵隊にとって"睡眠"は重要だ",,Sonel,,Sonel,,Sonel
"どんなに屈強なオークと言えど――
快適な睡眠なくして
最大限の力は発揮できないだろう",,Sonel,,Sonel,,Sonel
"作戦のポイントはそこにある
さぁ、行こう！",,Sonel,,Sonel,,Sonel
"《集会場》は敵が多く集まる場所だ
危険ではあるが、戦力を一気に削るチャンスが
どこかにあるはずだ",,Sonel,,Sonel,,Sonel
"潜入し、その糸口を探す
さぁ、行こう！",,Sonel,,Sonel,,Sonel
"この潜入任務では、ボクとキミの二人だけだ
他に頼れる者はいない
しっかり準備してきてくれよ",,Sonel,,Sonel,,Sonel
"よし――敵の気配はない
今のうちに、すばやく行動に移ろう",,Sonel,,Sonel,,Sonel
"ここにある３つのテントそれぞれに
ボクが"ちょっとした細工"を施す",,Sonel,,Sonel,,Sonel
"平たく言えば――
"寝心地を悪くしてオークくんの睡眠を妨害する"
という、とてもシンプルな作戦さ",,Sonel,,Sonel,,Sonel
"兵士にとって、睡眠不足は大敵だからね
地味だけど、確実に戦力を削れること間違いなし！
というわけさ",,Sonel,,Sonel,,Sonel
"テントの細工はボクが担当する
昨晩「どうすれば寝心地が悪くなるか」を考えるのが
あまりに楽しくて、ちょっと寝不足気味だけどね",,Sonel,,Sonel,,Sonel
"そうそう、重要なことを言い忘れていた
ボクは１つのことに集中してると
周りのことはまったく見えなくてね",,Sonel,,Sonel,,Sonel
"キミは、敵が来たらボクの所へ来て知らせて欲しい
近づいて話しかけてくれれば、テントの中に隠れるよ",,Sonel,,Sonel,,Sonel
"隠れている間は当然細工はできない
安全を確認したら、またボクにタッチしてくれ
テントの外に出て、細工を再開するのでね",,Sonel,,Sonel,,Sonel
"それと、もう一つ頼みたいことがあるんだ
向こうで話そう",,Sonel,,Sonel,,Sonel
"テントの細工はボクに任せてくれ
《生乾きの布》を探すのは、キミに任せるとしよう",,Sonel,,Sonel,,Sonel
"よしよし、いいかい？
昨晩いろいろと考えていたのだが――",,Sonel,,Sonel,,Sonel
"《生乾きの布》――
こいつに可能性を感じるんだよね
ボクの中で"使い方"のイメージはすでにある",,Sonel,,Sonel,,Sonel
"とにかく、近くにある"布"を探して
使えそうなものがあれば持って来て欲しい",,Sonel,,Sonel,,Sonel
"オークくんが巡回してることもあるだろうから
見つからないように気をつけてくれ",,Sonel,,Sonel,,Sonel
"もちろん、ボクのことも気にかけてくれよ！
どちらかが見つかっても、戦闘は避けられないからね",,Sonel,,Sonel,,Sonel
それじゃあ、作戦開始だ！,,Sonel,,Sonel,,Sonel
"よし、小さいテントはこんなもんかな！
キミが持って来た"アレ"がいい仕事をしたよ
まぁ、詳しくは聞かない方がいいだろうね！",,Sonel,,Sonel,,Sonel
さて、今のところ敵の姿はないようだが――,,Sonel,,Sonel,,Sonel
《兵舎》に残って作戦を続ける,"Remain in ""Barracks"" and continue the tactics",Sonel,,Sonel,,Sonel
《第一の門》を攻略する,"Capture ""First Gate""",Sonel,,Sonel,,Sonel
撤退して成果を確認する,Withdraw and review results,Sonel,,Sonel,,Sonel
"そうだね、もう少しだけ粘ろう！
次は――あの中くらいのテントにしよう",,Sonel,,Sonel,,Sonel
"要領は先ほどと同じだ
どれどれ、まずは"寝床チェック"を――",,Sonel,,Sonel,,Sonel
"ちょうどボクも、同じことを考えていたところさ！
これまでの作戦の成果で十分弱体化されていれば
少数の戦力でも勝てる見込みはある",,Sonel,,Sonel,,Sonel
さ、気を引き締めて行こう！,,Sonel,,Sonel,,Sonel
"そうだね、確かに無理は禁物だ
この作戦は少しずつの積み重ねが重要だからね
今回はこれで引き上げるとしよう",,Sonel,,Sonel,,Sonel
"テントの細工はボクに任せてくれ
今必要なのは《オオワラカミツキ》だ
"わら"の中を探すといい",,Sonel,,Sonel,,Sonel
"よしよし、いいかい？
これはさっき"わら"に突っ込んでいて
思いついたんだけど――",,Sonel,,Sonel,,Sonel
"《オオワラカミツキ》――
こいつが効果的だと思うんだよね
"使い方"のイメージがどんどん膨らんでいる",,Sonel,,Sonel,,Sonel
"え！知らないのかい？！
《オオワラカミツキ》を！
ここアッカーシェランじゃおなじみのヤツさ",,Sonel,,Sonel,,Sonel
"そうだな――
そいつは"わら"の中でよく見かけるが
良く似た種がいるから注意が必要だ",,Sonel,,Sonel,,Sonel
《ワラカミツキモドキ》,,Sonel,,Sonel,,Sonel
"《ワラカミツキモドキ》
《ニセワラカミツキ》",,Sonel,,Sonel,,Sonel
"《ワラカミツキモドキ》
《ニセワラカミツキ》
《ワラカミツキダマシ》",,Sonel,,Sonel,,Sonel
"こいつらではダメだ
なんていうか――
その時の"インパクト"が今ひとつでね！",,Sonel,,Sonel,,Sonel
"必要なのは本家本元の
《オオワラカミツキ》さ！
大丈夫、実際見れば一発でわかるよ",,Sonel,,Sonel,,Sonel
"もちろん、ボクのことも気にかけてくれよ！
どちらかが見つかっても、戦闘は避けられないからね",,Sonel,,Sonel,,Sonel
それじゃあ、作戦開始だ！,,Sonel,,Sonel,,Sonel
"よし、中くらいのテントはこんなもんかな！
キミが持って来た"アレ"がね――
いやいや、この話は後にしよう",,Sonel,,Sonel,,Sonel
さて、今のところ敵の姿はないようだが――,,Sonel,,Sonel,,Sonel
《兵舎》に残って作戦を続ける,"Remain in ""Barracks"" and continue the tactics",Sonel,,Sonel,,Sonel
《第一の門》を攻略する,"Capture ""First Gate""",Sonel,,Sonel,,Sonel
撤退して成果を確認する,Withdraw and review results,Sonel,,Sonel,,Sonel
"そうだね、もう少しだけ粘ろう！
最後は――いよいよあの一番大きなテントだ",,Sonel,,Sonel,,Sonel
"要領は先ほどと同じだ
どれどれ、まずは"寝床チェック"を――",,Sonel,,Sonel,,Sonel
"ちょうどボクも、同じことを考えていたところさ！
これまでの作戦の成果で十分弱体化されていれば
少数の戦力でも勝てる見込みはある",,Sonel,,Sonel,,Sonel
さ、気を引き締めて行こう！,,Sonel,,Sonel,,Sonel
"そうだね、確かに無理は禁物だ
この作戦は少しずつの積み重ねが重要だからね
今回はこれで引き上げるとしよう",,Sonel,,Sonel,,Sonel
"テントの細工はもちろんボクがやる
《熟成爆弾カボチャ》、こいつを探して来てくれ",,Sonel,,Sonel,,Sonel
"よしよし、いいかい？
これは試してみる価値はあると思うんだが――",,Sonel,,Sonel,,Sonel
"《熟成爆弾カボチャ》――
こいつの存在は無視できないね！
たまに自分の想像力が恐ろしくなるくらいさ",,Sonel,,Sonel,,Sonel
"え？　さすがにこんなとこに
そんなものあるわけないって？",,Sonel,,Sonel,,Sonel
"実はね――
作戦の一環として何日か前に
いくつか展望城から投げ込んでおいたのさ！",,Sonel,,Sonel,,Sonel
"ボクが扉越しにこの耳で集めた情報から
やつらは"カボチャが嫌い"と踏んでいてね
この日のために準備をしておいた",,Sonel,,Sonel,,Sonel
"おそらくだけど――
この辺りに落ちたはずだからさ
探して来ておくれよ！",,Sonel,,Sonel,,Sonel
"いつも通り、オークの巡回には注意してくれ
それじゃあ、作戦開始だ！",,Sonel,,Sonel,,Sonel
