old,speaker,english,speaker,english,speaker
おまえとガルドリンには別命がある,Joseph,,Joseph,,Joseph
"ブリア海岸に巨大な魔物の死骸が
打ち上げられたそうだ",Joseph,,Joseph,,Joseph
おそらく嵐が運んできたのだろうが問題は――,Joseph,,Joseph,,Joseph
"――どうにも奇妙な話なのだが――
その魔物、これまでに一度も目撃されたことが
ないらしいのだ",Joseph,,Joseph,,Joseph
"古参の騎士や、早耳の覚者ばかりか
近隣の古老も初めて見る死骸に首を捻るばかり",Joseph,,Joseph,,Joseph
"そこで、魔物との対戦経験豊富なおまえたちに
詳しい検分を依頼したい",Joseph,,Joseph,,Joseph
"本当に未知の魔物であれば
改めて、本格的な調査隊を組織することになる",Joseph,,Joseph,,Joseph
"魔物の検分はもちろんだが
ガルドリンと行動を共にすることにも意味がある
うまくやってくれよ？",Joseph,,Joseph,,Joseph
"誰も知らない魔物――
レスタニアにまだそんなものがいたとはね",Klaus,,Klaus,,Klaus
"ああ、お察しの通りさ
僕はワクワクしているよ",Klaus,,Klaus,,Klaus
"巡る竜力が暗き闇に触れたようだ
しかし、その正体はわからぬ",The White Dragon,,The White Dragon,,The White Dragon
心して行くがよい,The White Dragon,,The White Dragon,,The White Dragon
ったく、なんだって俺なんだ？,Gurdolin,,Gurdolin,,Gurdolin
"まあ、たまには爺さんの言うことも
きいてやらないとな
じゃ、ブリア海岸で落ち合おうか",Gurdolin,,Gurdolin,,Gurdolin
"未知の魔物なんているもんか
大方、育ちすぎか何かよ
俺はそっちに賭けるぜ",Gurdolin,,Gurdolin,,Gurdolin
"噂を聞いて、ジッとしていられなくてね――
たまらないな、この腐臭",Fabio,,Fabio,,Fabio
"で、どう？
あの魔物は、どこかで見たことがある奴かい？
ほら、もっと近くで見てくるといい",Fabio,,Fabio,,Fabio
"もっと近くへ行けよ
意見を聞かせてくれ",Fabio,,Fabio,,Fabio
残念ながら力尽きたのは魔物だけではない,Gerd,,Gerd,,Gerd
"嵐の中、魔物の犠牲になった村人たちもいる
我々騎士団があらかた見つけ出したはずだが――",Gerd,,Gerd,,Gerd
貴殿も、もし気づいたら、教えてくれ,Gerd,,Gerd,,Gerd
"ひどい嵐だったな――
気のせいだろうが、悪意さえ感じたよ",Gerd,,Gerd,,Gerd
"この臭いに比べればオークどもの臭いなど
まるで香水だぜ",Gurdolin,,Gurdolin,,Gurdolin
"海岸の小娘が光って――あたりが真っ白になって
気づいたらここにいた――この流れで合ってるよな？",Gurdolin,,Gurdolin,,Gurdolin
となると、ここはどこだって話だ,Gurdolin,,Gurdolin,,Gurdolin
"が、その前に――
俺はひどく背中を打って、どうやらすぐには
動き出せねえらしい",Gurdolin,,Gurdolin,,Gurdolin
"おまえが一緒で良かったぜ
そのあたりを見てこいよ
ここがどこかわからねえと、帰り道もわからねえ",Gurdolin,,Gurdolin,,Gurdolin
"ま、あの空の不気味な光も気になるが――
イテテテ――とりあえず、おまえに任せるわ",Gurdolin,,Gurdolin,,Gurdolin
"とにかく、ここが――イテテテ
ここがどこなのか――それを調べろ",Gurdolin,,Gurdolin,,Gurdolin
謁見の間はやっぱり緊張しちゃうね,Lise,,Lise,,Lise
"でも、これからはそうも言ってられないから
なるべく顔を出すようにしなくちゃ",Lise,,Lise,,Lise
"ふたりで牽引して、この隊を
最強の覚者隊にしましょう！",Elliot,,Elliot,,Elliot
"こんなことは君にしか話せないんだけどさ――
レオのことを少し気にかけていて欲しいんだ",Klaus,,Klaus,,Klaus
"一緒にディアマンテスに立ち向かった時のことを
覚えているだろう？
あのレオが神殿を離れる理由なんて
ないと思うんだよね",Klaus,,Klaus,,Klaus
"覚者よ――
鍛え、強さを求め、備えるのだ",The White Dragon,,The White Dragon,,The White Dragon
"たとえ風が止まり、雨があがっても
嵐はすぐそこにある",The White Dragon,,The White Dragon,,The White Dragon
"例の島――
おまえとガルドリンが瞬時に到着したという
あの島はどこにあるのか――",Joseph,,Joseph,,Joseph
"ブリア海岸で死んでいた魔物は
どうやらその島から来たらしく
しかも、単独ではない",Joseph,,Joseph,,Joseph
そして島で遭遇したという黒い鎧の騎士――,Joseph,,Joseph,,Joseph
事態は単純な魔物退治では済まないのだろうな,Joseph,,Joseph,,Joseph
"認めたくはないが
またもやレスタニアに危機が訪れたということか",Joseph,,Joseph,,Joseph
"白竜の回復を見守る平穏な余生を
送るつもりだったが、瞬時に十年老いた気分だ",Joseph,,Joseph,,Joseph
おまえたち――頼りにしているぞ,Joseph,,Joseph,,Joseph
