old,speaker
"お前か
こんな所に来るとは物好きだな",Arisen Corps Regimental Soldier
"物好きな連中なら、この先に大勢いるぞ
言葉は通じない奴らだがな",Arisen Corps Regimental Soldier
"これも覚者の使命の一つには違いない
奴らを倒す為に力を貸してくれ
このまま墓地で大人しくしていてもらうと
しよう",Arisen Corps Regimental Soldier
"お前か
こんな所に来るとは物好きだな",Arisen Corps Regimental Soldier
"物好きな連中なら、この先に大勢いるぞ
言葉は通じない奴らだがな",Arisen Corps Regimental Soldier
"これも覚者の使命の一つには違いない
奴らを倒す為に力を貸してくれ
地上に出られてはかなわん、奴らには
墓地に居続けてもらわなければ",Arisen Corps Regimental Soldier
"お前か
こんな所に来るとは物好きだな",Arisen Corps Regimental Soldier
"物好きな連中なら、この先に大勢いるぞ
言葉は通じない奴らだがな",Arisen Corps Regimental Soldier
"これも覚者の使命の一つには違いない
奴らを倒す為に力を貸してくれ",Arisen Corps Regimental Soldier
"だが、油断するなよ
奴らは手強い
ひとつ間違えば、俺たちがこのまま
地下墓地に永住する羽目になるぞ",Arisen Corps Regimental Soldier
おお、もう倒してきたのか？,Arisen Corps Regimental Soldier
"これも覚者の使命、とは言ったが
どうせなら日の当たる場所で
思い切り戦いたいものだな",Arisen Corps Regimental Soldier
おお、もう倒してきたのか？,Arisen Corps Regimental Soldier
"これも覚者の使命、とは言ったが
どうせなら日の当たる場所で
思い切り戦いたいものだな",Arisen Corps Regimental Soldier
"とりあえずは、奴らを日の下に
出さなかったことで良しとするか",Arisen Corps Regimental Soldier
おお、もう倒してきたのか？,Arisen Corps Regimental Soldier
"これも覚者の使命、とは言ったが
どうせなら日の当たる場所で
思い切り戦いたいものだな",Arisen Corps Regimental Soldier
"ともあれ
お互いここの骨にならずにすんで何よりだ",Arisen Corps Regimental Soldier
"しかし、何も墓の中に
住みつく事はないだろうに",Arisen Corps Regimental Soldier
いい迷惑だな,Arisen Corps Regimental Soldier
