old,new,speaker
"今日も引き続き、<NPC 681>の元へ
《潜入調査》を頼む",,Mephis
"ヤツはお前を信頼しているような面をしているが
腹の底では邪魔だと思っていることを忘れるな
特に、憲兵には用心しろ――",,Mephis
準備ができたら、声をかけてくれ,,Mephis
"さて、それじゃ――
昼の《潜入調査》を開始するか？",,Mephis
はい,Yes,Mephis
いいえ,No,Mephis
"十分な準備をしておけ
場合によっては戦闘の可能性もある",,Mephis
"よし、分かった
<STG 473>までの近道を教えてやろう
それから、これは大事なことだが――",,Mephis
"この任務中に<COL ff2600>《リム転移》を行うと
任務領域範囲外へ出たことになり、任務は失敗する </COL>
目立つ行動は避ける必要があるんだ――
気を付けてくれ ",,Mephis
"だが、<COL ff2600>任務を中断したいときは例外だ
覚者の力を使って、自力で帰ってきてくれ
</COL>俺には導いてやることができないからな",,Mephis
これはこれは覚者殿！,,Navido
"また来てくださったということは
執政業務の手伝いの件、引き受けて
くださるということでよろしいかな？",,Navido
"いやいや、これはめでたいことです！
英雄である覚者殿と、街の執政者たる
クルト家が心を一つにしたとなれば
民たちもより心強く思うことでしょう",,Navido
"それでは早速ですが、一つ
お願いできますかな？",,Navido
"昨日のオーク騒動を受け、急遽
街の警備兵の交代時間を変更しましてな
覚者殿には、兵たちにその変更を
通達に行っていただきたいのです",,Navido
"百戦錬磨の覚者殿にこのような
些事をお願いして申し訳ない
いかんせん人手が足りておらず――",,Navido
"覚者殿に通達をお任せしたい兵士は
＜３＞名おります
警備箇所を地図に記してさしあげましょう",,Navido
"その他、なにか出来事がございましたら
ご報告よろしくお願いいたしますぞ",,Navido
"昨日のオーク騒動を受け、急遽
街の警備兵の交代時間を変更しましてな
覚者殿には、兵たちにその変更を
通達に行っていただきたいのです",,Navido
"百戦錬磨の覚者殿にこのような
些事をお願いして申し訳ない
いかんせん人手が足りておらず――",,Navido
"覚者殿に通達をお任せしたい兵士は
＜３＞名おります
警備箇所を地図に記してさしあげましょう",,Navido
"その他、なにか出来事がございましたら
ご報告よろしくお願いいたしますぞ",,Navido
"おや、あなたは――！
何か私にご用でしょうか？",,Megado Guard
"警備交代時間の変更、ですか――？
なんと、そんな業務連絡を
英雄である覚者殿がわざわざ！？",,Megado Guard
"――いえいえ、ありがとうございます！
確かにご連絡承りました！",,Megado Guard
"はっ！
――って、あ、あなたは
あのメガドを解放した覚者様！？",,Megado Guard
"お、お、お会いできて光栄です！
あの、自分、覚者様に憧れて
少しでも近づきたくて兵士に志願したんです",,Megado Guard
"――はっ！　す、すみません
自分に何かご用だったんでしょうか",,Megado Guard
"――警備交代時間の変更？
わ、わざわざすみません！
あの、確かに承りました！",,Megado Guard
"メガドの英雄であるあの方に
こんなお使いをさせるなんて
やはり<NPC 681>様はすごいお方なんだ――",,Megado Guard
"――は！？
こ、こ、これは覚者殿！
お勤めご苦労様です！",,Megado Guard
"母ちゃんに教えてやらなきゃな――
<NPC 681>様、俺が覚者さんに
憧れてたの知ってて会わせてくれたのかな？",,Megado Guard
"――――
うわ！
まだいらっしゃったんですか！？",,Megado Guard
"おいおい、そいつが
ぶつかってきたんだ！",,Jan
"全く、憲兵ってのは王国兵と違って
前を見て歩くこともできねえのか？",,Jan
"あなたは――覚者様？
ちょうど良かった！",,Megado Guard
"実は今、市民と憲兵が揉めていて
止めようにも止められなくて
困っていたんです！",,Megado Guard
"憲兵は侯爵様直属の私兵なので
どのように対応したらいいか
私一人では判断しかねていたのです――",,Megado Guard
"覚者様、申し訳ありませんが
私が応援を呼びに行っている間に
乱闘にならないよう治めていてください！
お願いします！",,Megado Guard
"盗賊風情が――
あまり憲兵隊を舐めるなよ？
俺が一つ命令しさえすれば、お前など
一生牢獄暮らしなんだぞ！",,Military Police
"――あ？
なんだ貴様は、見世物じゃないぞ！",,Military Police
"コイツが先にぶつかってきたんスよ
しかも謝りもしねえ――",,Military Police
"おいコイツまさか――
噂の“レジスタンス” とかいう
奴なんじゃねえか！？",,Military Police
"覚者さん、あんた――
面倒事に引き寄せられちまう体質か？",,Jan
"この件にあんたは関係ないんだ
早いとこ、立ち去った方がいいぜ
下手するとあんたまで――
このイカれた憲兵どもに捕まっちまう",,Jan
"憲兵ってのは自分の裁量で
一般人を逮捕できるのさ
だがそうする基準は曖昧で悪質だ――
王国兵も関わりたがらねぇ",,Jan
"装備や見た目は似ているが全く違うモンさ
なんでこんな奴らを飼ってる侯爵が
あれだけ敬われてるんだか――",,Jan
なんだ、貴様――,,Military Police
"まさか――そこの無礼な盗賊を
庇うつもりじゃないだろうな
一緒に執行妨害で連行されたいのか？",,Military Police
<NPC 3259>を庇う,Stick up for <NPC 3259>,Military Police
そっとしておく,Keep silent,Military Police
"――あ！
せ、先輩――覚者はやばいッス",,Military Police
"確か、侯爵の屋敷に
直接出入りしてたような――
これが侯爵の耳に入ったらまずいッスよ",,Military Police
フン、臆病者め,,Military Police
"ほう――いい度胸だな
憲兵に楯突くとどうなるか教えてやる！",,Military Police
"あぁ、そんな――
一歩遅かったか",,Megado Guard
"でも覚者様、あなたが治めて
くださったんですね
<NPC 3259>が無事で良かった――",,Megado Guard
"いやぁ、実は憲兵の横暴には
辟易していたんですよね
立場的にあんまり大きな声では
言えないんですけど――",,Megado Guard
"そういえば、覚者様は
なぜこんな場所に？",,Megado Guard
"――え
警備交代時間の変更？
なんだ、そんなことだったんですね",,Megado Guard
"こんな騒動に巻き込んですみません――
確かに承りました
ありがとうございます！",,Megado Guard
"あんた、余計なことにばかり
首を突っ込んでたら、いつか死ぬぜ？
――でも、今回は助かった",,Jan
"俺はこう見えて
結構義理堅い方なんだ
次会った時には、借りを返すよ",,Jan
"覚者様
あなたが治めてくださったんですね
さすがです――！",,Megado Guard
"憲兵は確かに疎まれてますけど
あそこまで感じの悪い奴なんて珍しいんですよ
あれじゃ、まるでゴロツキだ――！",,Megado Guard
"くそ――！
覚えてろよ",,Military Police
せ、せんぱぁーい！,,Military Police
"ちょっと、何があったのぉ？
騒がしいったらありゃしないわ",,Serine
