old,new,speaker
"今日は新たな魔軍を駆逐する作戦を
砦内にいる兵士たちに指示する必要がある
よかったら一緒に手伝ってくれないか？",,Sonel
"兵士たちは――
<STG 451>の中で指示を待っている
寝ずに練った作戦なので
早々と伝えたいので協力を頼む！",,Sonel
【選択】了解した,,Sonel
少し考えさせてくれ,I will think a bit,Sonel
"夜寝ずに考えた作戦だから眠い――
眠くならないうちに指示を出したいから
さっそく砦内で兵士たちを探すぞ！",,Sonel
"兵士たちは各々――
各砦の持ち場で出撃準備していると思うので
周囲をよく見回しながらいこう",,Sonel
"また――申し訳ないが
眠くなると休憩したいので
――早目に回りきってしまおう！",,Sonel
"眠くならないうちに
兵士全員に指示がだせてよかった！
これで心置きなく寝る事ができる！",,Sonel
"ちょっと――眠気が――
限界に来たようだ",,Sonel
"<STG 451>に戻り
一度休憩して出直しさせてくれ",,Sonel
"新たな任務を了解しました――
準備が整い次第
出発します",,Sonel
眠くならないうちに――兵士たちを探そう！,,Sonel
無事――指示を出せてよかった！協力ありがとう！,,Sonel
やばい――眠くなってきた――早く見つけよう,,Sonel
もう眠気が限界だ――休憩させてくれ,,Sonel
"ではさっそく<STG 451>で
待ち合わせましょう
ぜひ協力お願いする！",,Sonel
"わかりました
また協力できそうだったら
よろしくお願いする",,Sonel
"兵士たちは各々――
各砦の持ち場で出撃準備していると思うので
周囲をよく見回しながらいこう",,Sonel
"また――申し訳ないが
眠くなると休憩したいので
――早目に回りきってしまおう！",,Sonel
"ではさっそく<STG 451>で
待ち合わせだ",,Sonel
"砦内の広場で待ってるぞ
ぜひ協力お願いする！",,Sonel
"任務を忠実に遂行する――
これこそ我が国のためだ
必ず魔軍を駆逐してやるんだ",,Sonel
"砦前の陣地を占拠していた
魔軍の残党たちを
掃討したらいいのですね",,Sonel
"了解しました
前線の仲間と協力して
任務に当たりたいと思います",,Sonel
"まだまだ砦周辺の魔軍を
追い払ったとはいえ――
安心できないなあ",,Sonel
"さっそく前線の仲間と
協力して任務に向かうよ",,Sonel
"砦周辺の警護ですか？
了解しました",,Sonel
"私に任せてもらったら
大丈夫ですので
さっそく向かいたいと思います！",,Sonel
"警護とはいえ――
油断せずにしっかり任務に励むよ",,Sonel
"そういえば――
<STG 451>で<NPC 582>が探してたぞ
新たな作戦についてらしいので
聞いてやってくれ",,Jasper
"<NPC 582>も――
魔軍を砦周辺から追い払って
さらに激務となっているようだ",,Jasper
"ぜひ多忙な彼に協力して
用事を聞いてやってくれ",,Jasper
