old,new,speaker,english,speaker,english,speaker
"ねえ、頼まれてくれないかな
大丈夫、簡単なことだから",,Klaus,,Klaus,,Klaus
"この神殿の中でお店を続けるには
営業許可証が必要なんだ
定期的に審査があって
通れば許可証が発行される仕組み",,Klaus,,Klaus,,Klaus
"で、審査官の報告を受けて
許可証を発行するのが僕の仕事なんだけど
配達が間に合いそうにないんだ
それで、君に許可証の配達を頼みたいってわけ",,Klaus,,Klaus,,Klaus
"悪いんだけど頼まれてくれないかな
大丈夫、簡単なことだから",,Klaus,,Klaus,,Klaus
"この神殿の中でお店を続けるには
営業許可証が必要なんだ
定期的に審査があって
通れば許可証が発行される仕組み",,Klaus,,Klaus,,Klaus
"で、審査官の報告を受けて
許可証を発行するのが僕の仕事なんだけど
配達が間に合いそうにないんだ",,Klaus,,Klaus,,Klaus
"だから、君に頼みたいのは許可証の配達
ちょっと配達先が多いんだけど――",,Klaus,,Klaus,,Klaus
"あのさ――頼みがあるんだけど――
大丈夫、簡単なことだから",,Klaus,,Klaus,,Klaus
"この神殿の中でお店を続けるには
営業許可証が必要なんだ
定期的に審査があって
通れば許可証が発行される仕組み",,Klaus,,Klaus,,Klaus
"で、審査官の報告を受けて
許可証を発行するのが僕の仕事なんだけど
配達が間に合いそうにないんだ
だから、君に頼みたいのは許可証の配達",,Klaus,,Klaus,,Klaus
"すっごく簡単なことだと思うんだけど
ええと、申し訳ない！
配達先がすっごく多いんだ",,Klaus,,Klaus,,Klaus
"はっきり言って大変だと思う
でも、君にしか頼めないんだ――この通り！",,Klaus,,Klaus,,Klaus
"ああ、お待ちしていましたよ
配達ご苦労さまです",,Ferguson,,Ferguson,,Ferguson
"わあ、やっと届いたね
これがないとご婦人たちをお迎えできないからね
危ない危ない",,Morris,,Morris,,Morris
"まったく――クラウスさん、どうせまた本に
のめり込んで仕事を忘れたんでしょうね",,Kittredge,,Kittredge,,Kittredge
"困るんですよ
覚者さんからも、しっかりしろと言って
やって下さい",,Kittredge,,Kittredge,,Kittredge
"くそ、遅いんだよ！
てめえのせいで商機を逃すとこだったじゃねえか！
礼なんか言わねえよ！　ふん！",,Vicelot,,Vicelot,,Vicelot
"はぁ――なかなか許可証が来ないから
今度こそダメだと思ったぞ
どうやって家族を養おうか――なんてな
まだ胃がキリキリする",,Tonio,,Tonio,,Tonio
"助かったー！
なかなか届かないからこっちから取りに行こうと
思っていたところさ",,Colette,,Colette,,Colette
"クラウスに、次からはもっと早くしろって
伝えてくれよな",,Colette,,Colette,,Colette
"えー、なにコレ？　営業許可証？
じゃあ、店主に渡しておくわ
それでいいのよね",,Nancy,,Nancy,,Nancy
"ああ、営業許可証ね
配達ご苦労さま――あれ！？
もしかして、覚者さま？",,Cameron,,Cameron,,Cameron
"覚者さまがこんなのを配達してるんですか？
うーん、さすがにもうちょっとお仕事を
選ばれた方が――",,Cameron,,Cameron,,Cameron
"ありがとう、助かった！
そして、ごめん！
まだ配達が残っているんだ
もう少しだけ頼むよ",,Klaus,,Klaus,,Klaus
"その――神殿内じゃなくて
グリッテン砦宛なんだけどさ
ごめん、この通り！",,Klaus,,Klaus,,Klaus
"ありがとう
楽な仕事だっただろ？
こういうの、これからも頼ませてほしいんだ
持ちつ持たれつさ！",,Klaus,,Klaus,,Klaus
"お疲れさま！
ちょっと多かったよね――
本当に助かったよ",,Klaus,,Klaus,,Klaus
"これからは、こんなことにならないように
気をつけなくちゃ",,Klaus,,Klaus,,Klaus
"――申し訳ない――本当に助かった
いや、助かりました
君がいてくれなかったら――そう考えたら
本当にゾッとするよ",,Klaus,,Klaus,,Klaus
"店を開けなかった店主たちに
どんなことをされるか――
ああ、怖っ！",,Klaus,,Klaus,,Klaus
"でも、そうなっても自業自得だからね
次からは気をつけるよ",,Klaus,,Klaus,,Klaus
"あの――悪いけど急いでくれるかな？
許可証がないとみんな困るからね
うん、僕が悪い――それはわかってるよ――うん",,Klaus,,Klaus,,Klaus
"クラウスからの使いだと？
覚者のお前が配達とは、
奴もずいぶん偉くなったものだな",,Talcott,,Talcott,,Talcott
"ともかく許可証は受け取った
わざわざすまないな",,Talcott,,Talcott,,Talcott
