old,speaker,english,speaker,english,speaker
"おや？　そこいくあなたは覚者かな
少し話を聞いてもらえないだろうか",Christoph,,Christoph,,Christoph
"この古い古い城の中には、当然だが
古い時代のものが沢山あってね――",Christoph,,Christoph,,Christoph
"それを、適当で結構なんだが
見つくろってここに持ってきてくれないか？",Christoph,,Christoph,,Christoph
"もちろん礼はするさ
ああ、売り払ったりはしないよ
純粋に、研究が目的なんだ",Christoph,,Christoph,,Christoph
"おや？　そこいくあなたは覚者かな
少し話を聞いてもらえないだろうか",Christoph,,Christoph,,Christoph
"この古い古い城の中には、当然だが
古い時代のものが沢山あってね――",Christoph,,Christoph,,Christoph
"それを、目についただけかき集めて
ここに持ってきてくれないか？",Christoph,,Christoph,,Christoph
"もちろん中には魔物がいるから
十分に注意するんだ
史料にもしものことがあったら大変だからね",Christoph,,Christoph,,Christoph
"おや？　そこいくあなたは覚者かな
少し話を聞いてもらえないだろうか",Christoph,,Christoph,,Christoph
"この古い古い城の中には、当然だが
古い時代のものが沢山あってね――",Christoph,,Christoph,,Christoph
"それを、片っ端から手当たり次第
ここに持ってきてくれないか？",Christoph,,Christoph,,Christoph
"中は魔物の巣窟らしいから
しっかりと準備をしてから行ってくれ
それと、史料が血で汚れないよう気をつけてくれよ",Christoph,,Christoph,,Christoph
"ほう――ほうほう――
良い物が手に入った
これはなかなかだ！",Christoph,,Christoph,,Christoph
"おっと――これはなかなか――
うん、貴重な史料が手に入った
頭を下げたかいがあったというものだね",Christoph,,Christoph,,Christoph
"おお！　これは！？　素晴らしい資料だ！
こんなものが残っていたとは！",Christoph,,Christoph,,Christoph
"――こうしてはいられない！
さっそく研究の続きに戻らなければ――！",Christoph,,Christoph,,Christoph
"いやぁ――成果が楽しみだよ
ほら、早く城の中へ行ってくれ",Christoph,,Christoph,,Christoph
