old,speaker
"島内でまた、魔物がど派手に
暴れているそうだな",Sven
"なに――
ここにいる部隊が動けばすぐにでも
解決できることだ",Sven
"ただ、俺は周りから信頼を
得ているお前の力を見てみたい――",Sven
"試すようなことを言ってすまん
――いい気はしないと思うが
くだんの魔物、討伐してきてくれないか？",Sven
"お前は覚者の中でも
一際才覚のある存在と聞いている
ならば、一度も倒れずに戻ってこられるだろう？",Sven
"討伐から帰ったら
俺のところに集合してくれ
報酬を用意して待っているからな",Sven
"お前は覚者の中でも
一際才覚のある存在と聞いている
ならば、一度も倒れずに戻ってこられるだろう？",Sven
"討伐から帰ったら
俺のところに集合してくれ
報酬を用意して待っているからな",Sven
"これは――見事だな
思っていた以上の実力だ！",Sven
"なるほど、周りから信頼を得るはずだ
俺も負けてられん、明日からまた鍛錬だ――",Sven
"ああ、とっておきの報酬の品を用意しておいたぞ
受け取ってくれ！",Sven
"お前の力はその程度だったのか――？
なんでもそつなくこなせばいいと思っているな
そんなことではいつか痛い目を見るぞ",Sven
"何も渡さないわけにはいかなからな
粗品を用意した
これを鍛錬の糧にでもしてくれ",Sven
敵との戦闘で一度も死亡状態になりませんでした,The White Dragon
依頼者からの報酬が多くなります,The White Dragon
パーティメンバーが死亡状態になりました,The White Dragon
依頼者からの報酬が下がります,The White Dragon
