old,speaker
"隊長、リンウッドのあたり、魔物がわんさか増えて
大変なことになってるみたいですよ",Elliot
騎士団から、応援要請がありました,Elliot
"引き受けるかどうかは別にして
話だけは聞いてくださいよ
騎士団本部で副団長が待ってます",Elliot
"少し前までの騎士団と覚者の対立は
俺に言わせればくだらない話ですよ",Elliot
"そもそもの立場が違いますからね
どっちが上か下かなんて話は意味がありません",Elliot
"組織力では騎士団だが、戦闘力となると
やはり覚者だ
快く力を貸してやってくれ",Joseph
"島探しは騎士団と冒険心に富んだ
船乗りたちが中心の予定だったけど
侵食魔退治に騎士達を取られてね――",Klaus
正直、広大無辺な海で困惑しているところさ,Klaus
"隊長、騎士団員たちの間で人望あるよね
騎士団長に気に入られてるんでしょ？
それって、すごいことだよね",Lise
"リンウッドというのは遠いのですか？
人は大勢住んでいるのですか？
早く行った方がいいですよね？",Cecily
"おお、あんたが来てくれるなら心強い
まず、状況を説明させてくれ",Heinz
"“侵食魔”はわかるか？
あの嵐の夜以来出没するようになった
正体不明の魔物だ",Heinz
"毒に身体を侵食されたような見た目だから
いつの間にか“侵食魔”と呼ばれるようになった",Heinz
"そいつらの影響で、昔からレスタニアに棲む
魔物も何かに侵食されているようだ
これもまとめて“侵食魔”と呼んでいる",Heinz
"目下、この“侵食魔”どもが、各地で暴れて
我々騎士団は対応に追われているというわけだ",Heinz
"さて“侵食魔”は
あんたとガルドリンが見てきた島から
渡ってきたという説が有力だ",Heinz
"黒騎士が操っているという者もいるが
真偽の程はまだわかっていない",Heinz
その答えも例の島にあるらしいが、しかし――,Heinz
"“侵食魔”討伐に追われる我が騎士団は
例の島探しに人手を割けずにいる
な？　これは由々しい問題だろう？",Heinz
"取り引きを迫るわけではないが
我々もほとほと困っている
リンウッドへ行ってゲルト騎士団長の部隊を
手助けしてほしいのだ",Heinz
"あのあたりの“侵食魔”退治が終われば
我々は島探しの人員を確保できるようになる
――考えてみてくれ",Heinz
"交換条件を出したようで気が引けるが――
何しろ、侵食魔が多すぎるのだ
悪く思わないでくれ",Heinz
"あんたらに礼を欠く物言いをしたことが
あったかもしれないが忘れてほしい
俺も忘れようとしているところだ――懸命にな",Duke
"わたしの親友もリンウッドの魔物退治に
参戦しているのだ",Logan
"おまえが応援に駆け付ければ
彼らも心強いだろうよ",Logan
おお、援軍か？,Gerd
"“侵食魔”の強さが桁違いでな
村人を避難させようとしていたところだ",Gerd
"しかし、貴殿の加勢があれば百人力！
もうひと押しだけしてみるか",Gerd
さあ、敵は、あっちだ,Gerd
"貴殿はまた腕を上げたという評判だ
見せてもらおうか！",Gerd
魔物よ、鎮まれ！,Gerd
騎士たちよ！　我に続け！,Gerd
覚者よ！　存分に戦え！,Gerd
いいぞ、いいぞ！,Gerd
押せ押せ～！,Gerd
気迫で攻めろ～！,Gerd
ひるむな！,Gerd
前へ！　前へ！,Gerd
とどめを刺して名をあげよ！,Gerd
白竜の騎士、ここにあり！,Travers
怯むな～！,Travers
団長！　俺を見てますか～！,Travers
おらー！,White Knight
こっち見ろ、こっち！,White Knight
騎士団を舐めるなあ～！,White Knight
統率の右腕と共闘とは光栄至極！,White Knight
この戦い、一生忘れまじ,White Knight
我が人生、戦場に見つけたり！,White Knight
救援、感謝する,Gerd
"さあ、神殿に戻ろうではないか
次の任務が我々を待っているはずだ",Gerd
"頼みを聞いてくれて感謝している
むろん、約束は守るよ
島探し担当の増員は期待してくれ",Heinz
"礼をいうよ
さすが覚者だ",Duke
"どうやら、わたしを苛つかせる覚者は
ガルドリンだけだということがはっきりした
原因がわかれば、あとひと息だ",Duke
"ごくろうだったな
向こうでの活躍は聞いている",Logan
"おそらく魔物退治はこれ一度で終わりでは
ないだろう――その時はよろしく頼むぞ",Logan
"隊長が騎士団をどうこう言わない人で
良かったですよ",Elliot
"問題は覚者同士の対立ですよね
たとえばガルドリンと俺とか――",Elliot
"いやいや、俺、抑えてますから大丈夫！
ええ、大丈夫ですとも",Elliot
"ご苦労だった
時に、ゲルトの、おまえへの信頼は本物だな
一時はどうなることかと肝を冷やしたものだが――",Joseph
"おつかれさま
島探し部隊が大幅に増員されることを
期待しようか",Klaus
"いい機会だから話しておこう
今後についての提案だ",Gerd
"現在、騎士団は侵食魔をレスタニアから
駆逐するために東へ西へと部隊を展開している
村々を拠点とした警備網を作るのが当面の目標だ",Gerd
"しかし、侵食魔の排除は
あくまでも対症療法にすぎない",Gerd
"痛みは和らげることはできるだろうが
病巣を排除することはできないだろう",Gerd
"提案というのは他でもない
各地に跋扈する侵食魔の退治は
我々騎士団に任せてくれ",Gerd
"貴殿ら覚者は、このレスタニアを
あの嵐の夜以前の状態に
戻す道を見つけてほしい",Gerd
"そもそも、侵食魔とはなんだ？
そこからして、まだわかっていないのだ",Gerd
"手分けをして――時に協力し合って
レスタニアを危機から救い出そうではないか",Gerd
"我々が信頼と友情で結ばれていれば
レスタニアは安泰だ",Gerd
"騎士と覚者はレスタニアを乗せた荷車の両輪
どちらが速くても、遅くても、真っ直ぐに進めない",Joseph
"ディアマンテスを巡る一連の戦いで
共闘したことが、騎士と覚者を分かつ溝を
埋めたのだとすれば――",Joseph
"死んだ者、残された者の無念も
幾分か、報われるだろうよ",Joseph
