old,speaker
"神殿の上を飛ぶことが許されるのは
白竜様と鳥たちだけです",Mysial
空を震わせたあの巨大なもの――,Mysial
"あの石塊を飛ばしたのが何者であれ
けして許されることはありません",Mysial
今の衝撃の正体を早く突き止めないとね！,Klaus
他のことも、とにかく急いだ方が良さそうだ,Klaus
"名前が出たディアマンテスのことだって
よく知る必要があるし――
これは忙しいぞ！",Klaus
"よし、落ち着こうではないか
落ち着いて、状況を確認するのだ",Joseph
"もちろん、白竜の口から
ディアマンテスの名が出たとなれば
敵の正体に関してはもはや疑念の余地はない",Joseph
"しかし、３００年以上前に消失した者が
いかにしてこの世に干渉するのか――
その目的はいかなるものか",Joseph
闇雲に動いても奴の思惑に乗るだけ,Joseph
"ディアマンテスの真意を推し量り
最善の対抗策を講じるために――",Joseph
"さあ、クラウス
有識者に声をかけてくれ
急ぎ、対策の検討に入ろうではないか",Joseph
"あなたの意志を尊重します――
でも、みんなの期待に応えることも
大切だと思いますよ？",Mysial
