old,speaker
"おや――その格好、よその覚者さんですか
あなたもハーブを採りにいらしたのですかな？
実は、ここにはあまり来たことがなくてね
迷っていたので、他の人に会えて安心しました",Inataya
"昔は、戦士として腕を鳴らしたものですが――
さすがにこの歳になると体力も落ちて
立っているだけでもやっとです",Inataya
"覚者さん、申し訳ないのですが
少し、お手を貸していただけますかね？
さっきからこちらを虎視眈々と狙っている
魔物がいるようでしてね――",Inataya
"覚者さんの足手まといには
ならないようにしますから
出来るだけ早く――片付けてしまいましょう",Inataya
"あらまぁ、イナタイヤは見つかったんですね
良かった――あなたに頼んで、正解でした
あの人、いつもぼんやりしてるくせに
無茶するから！",Zolta
"――え？　生き生きしていたって？
あら、そうなんですか――
何か、これからの趣味でも見つけたのかしら
ふふふ、帰って来るのが楽しみですね",Zolta
"まぁ――無理しすぎて動けなくなるなんて！
とはいえ、無事で安心しました
あの人も、ずっと若いつもりでいるんですから
心配するこっちの身にもなってほしいですね",Zolta
"――戻ってきたら、最高のハーブを使って
美味しい料理で労ってあげようかしら
たっぷり、年寄り扱いしてあげないとね",Zolta
"あぁ、この間の覚者さん！
森の侵食魔の件は、本当に立派でしたねぇ
あなたの良い噂はもう村中に広まってますよ！",Zolta
"だけどねぇ――
《<STG 817>》を調査する人で
このモローも賑やかになったでしょう？",Zolta
"それで、「みんないるから大丈夫！」なんて
気が大きくなったのか、《<STG 817>》まで
ハーブを採りに行ってしまったお友達が
帰って来ないのが気になっているんですよ",Zolta
"ねぇ覚者さん、あなた
様子を見に行ってきてくれません？
イナタイヤっていう人なんですけど――
あなたが行ってくれれば安心ですよ！",Zolta
"もしあの人を見つけたら、できるだけ
早く安全を確保してあげてね
その代わり――もし無事に帰って来られたら
とっておきのお礼を用意してますからね！",Zolta
"《<STG 817>》へ行ったイナタイヤの
様子を見て来てくれません？",Zolta
"ハーブを採りに行くだけって言ったって
老人ひとりで大丈夫かしら――
でもあなたが行ってくれるならもう安心ですね
お願いしますよ！",Zolta
"おお、助けてくださって感謝致します――
ゾルタがあなたを？
おやおや、それなら彼女にも感謝しないと",Inataya
"いやはや、現役だったのは随分と前なのに
身体はまだ覚えていたようで
自然と、動いてしまいましたよ！
あなたを見ていたら昔を思い出しました――",Inataya
"おっと、忘れていました――ハーブでしたな
すぐに集めたら戻りますので、お先にどうぞ
――ゾルタによろしくお伝えください",Inataya
"ゴホ、ゴホ――おお
助けてくださったのですかな――ありがたい
おかげで九死に一生を得ました",Inataya
"戦士として鳴らしていたのも今は昔――
途中で動けなくなってしまうとは
寄る年波には勝てませんな
ゴホ、ゴホ――",Inataya
"申し訳ないが、息が整うまで
ここで休ませてもらってもよろしいかな",Inataya
久しぶりに腕が鳴りますわい！,Inataya
"うう――
身体の節々が痛んできました",Inataya
"アイタタタ、腰が――
年寄りはここまでのようです",Inataya
