old,speaker
"ち――
どこにやったのか全然思い出せねえ",Gunther
"貴重な品が手に入ったんで、こっちに
しまっといたんだがどうにも見当たらねえ――",Gunther
"なぁ、お前、心当たりねぇか？
ったく、どこにいっちまったんだか――",Gunther
"誰かが持って行ったのか――
いや、この調査隊に貴重品を
勝手に持っていくようなヤツいるわけねぇ
となると魔物の仕業か――？",Gunther
おお、これだこれだ！,Gunther
"どこにあったんだ？
俺がうっかり置き忘れたのか――？",Gunther
"まぁいい、それはそうと
ついでに魔物の退治を頼まれてくれねぇか？
礼は用意してあるからよ",Gunther
"さっきは探し物してて慌てちまったが
本当はこっちの件を頼みたかったんだ",Gunther
"ついで、なんていうのも気軽すぎたか？
ちょうどお前が良いタイミングで来たから
頼んじまったが――",Gunther
"探し物さえしてなきゃ、まず魔物退治を
頼みたかったんだ",Gunther
"やっぱりお前は大した腕を持ってるみてぇだな
こいつは約束の礼の品だ
お前の役に立つといいんだがな",Gunther
