old,new,speaker,english,speaker,english,speaker
"やぁ、隊長！
いつもながらボクのところに来るタイミングが
完璧すぎて恐ろしいくらいだ！",,Sonel,,Sonel,,Sonel
"例の《大演習場》を攻略する作戦を
一晩で立てたんでね、聞いてくれないかい？",,Sonel,,Sonel,,Sonel
ボクとしてはね、なかなかいいと思うんだ！,,Sonel,,Sonel,,Sonel
"よしよし！　恐ろしいほどに完璧な即答だね！
ちなみに今回の作戦だけど――",,Sonel,,Sonel,,Sonel
"あの広い《大演習場》に散り散りになってる
オークくんたちを集めて
一気に一網打尽にできないかと思ってね",,Sonel,,Sonel,,Sonel
"《第一防衛区画》の《集会場》では
主に櫓周辺に見張りが固まっていたけど――",,Sonel,,Sonel,,Sonel
"先日の偵察任務で見た限りでは
広い範囲に分散していたからね
こいつらをなんとか一か所に集めたいんだ",,Sonel,,Sonel,,Sonel
"《大演習場》なら、何かしら兵器の類が
置いてあると睨んでいる
そいつを利用するのさ",,Sonel,,Sonel,,Sonel
"今回は潜入任務になる
準備の程、よろしく頼むよ！",,Sonel,,Sonel,,Sonel
"《大演習場》の攻略は
今までの中で一番
規模が大きいものになるだろう",,Sonel,,Sonel,,Sonel
"こちらはいつでも大丈夫だが
隊長も準備できたかな？",,Sonel,,Sonel,,Sonel
準備はできている,,Sonel,,Sonel,,Sonel
――少し待ってほしい,...I want to wait awhile,Sonel,,Sonel,,Sonel
"よし！　それじゃあ
《大演習場》攻略開始だ！",,Sonel,,Sonel,,Sonel
"ボクはここで待ってるから
いつでも声をかけてくれ！",,Sonel,,Sonel,,Sonel
"ここまでは問題ない――
今回は、いよいよこの壁の中へ入る",,Sonel,,Sonel,,Sonel
"《大演習場》は身を隠す場所が少ないからね
ボクは、隊長から少し離れて行動するよ",,Sonel,,Sonel,,Sonel
"なぁに、いつもの"ボク独自の潜入スタイル"
ってやつさ
隊長は、自分のタイミングで進んでくれ",,Sonel,,Sonel,,Sonel
"あ、なんだ隊長か
驚かせてすまない",,Sonel,,Sonel,,Sonel
"隠れるのにちょうどいい隙間を見つけてね
こうして潜入技術の発展に勤しんでいたのさ",,Sonel,,Sonel,,Sonel
"え？　敵の武具を見つけた？
うーん、全部バラバラに分解してやれば
多少はやつらに損害を与えられるかもしれないが",,Sonel,,Sonel,,Sonel
"それよりも――
すぐそこの檻を見たかい？
どうやらここにも同志が囚われているようだ",,Sonel,,Sonel,,Sonel
"ここは収容所の類ではない――
わざわざこんなところへ
連れてくる理由が気になる",,Sonel,,Sonel,,Sonel
"隊長――
広場の反対側に大砲があるのには
気づいたかな？",,Sonel,,Sonel,,Sonel
"嫌な予感がするんだ
急いで大砲のある場所へ向かおう",,Sonel,,Sonel,,Sonel
"隊長、見てくれ――
さっき言ったのはあそこの"大砲"だ
よく見ると――他のものと少し機構が違うな",,Sonel,,Sonel,,Sonel
"置かれている弾も
いつもやつらが使っているものと異なる",,Sonel,,Sonel,,Sonel
"もしかすると――
威力の高い改良型の大砲で
その試し撃ちでもするつもりなのかもしれない",,Sonel,,Sonel,,Sonel
"そして、ボクの予想だと
その弾の向かう先は――
囚われている同志だ",,Sonel,,Sonel,,Sonel
"幸い、そこの大砲係はまだ準備に手間取っている
危機的状況ではあるが――
逆にそいつを利用しようと思う",,Sonel,,Sonel,,Sonel
"あの大砲を使えば、広場にいる奴らを
まとめて吹き飛ばすことができるはずだ",,Sonel,,Sonel,,Sonel
"ここから飛び出して大砲を奪うのは
あまりにリスクが大き過ぎる――
が、ボクに１ついい考えがある",,Sonel,,Sonel,,Sonel
"あ、見つかってしまった！
と、思ったら隊長じゃないか",,Sonel,,Sonel,,Sonel
"ここ、絶対に見つからない
自信があったんだけどなぁ",,Sonel,,Sonel,,Sonel
"ちょっと待って、今外に出るから
て――あれ、おかしいな
出れないぞ？",,Sonel,,Sonel,,Sonel
"あ、杖かな――
背中の"相棒"が丸太の隙間に
挟まってしまったようだ",,Sonel,,Sonel,,Sonel
"こんなところから失礼するが
その投石器ではやつらを一網打尽にするには
ちょっと威力不足だ――小型の物だからね",,Sonel,,Sonel,,Sonel
"大砲、投石器、攻城槌に攻城塔など――
近年は開発も進み、敵味方問わず
戦況を左右する重要な要素さ",,Sonel,,Sonel,,Sonel
"ボクは参謀官だからね
こう見えて、あらゆる種類の兵器は
チェックしてその評価を――",,Sonel,,Sonel,,Sonel
"え？　丸太がしゃべってるようにしか見えない？
まぁ、今はそうだろうね！",,Sonel,,Sonel,,Sonel
"奴は、他のオークの声を聞いて
大砲の向きを調整している
それを利用すれば――",,Sonel,,Sonel,,Sonel
"大砲の向きを変えられる"かもしれない,,Sonel,,Sonel,,Sonel
"ボクは、多少ならやつらの言葉が分かる
日々、扉越しに会話を聞いていたからね
そいつが役立つ時が来たようだ",,Sonel,,Sonel,,Sonel
