old,speaker,english,speaker,english,speaker
"参った――いやぁ、参った
神殿に運ぶはずの装備品を
落としてしまったようだ",White Knight,,White Knight,,White Knight
"魔物どもに襲われて我が身を守るのが
精一杯――とても荷物なんて
かまっていられなかった――",White Knight,,White Knight,,White Knight
"なんてことがバレたら俺のメンツは
丸つぶれだ",White Knight,,White Knight,,White Knight
どうだろう――手伝ってくれないか？,White Knight,,White Knight,,White Knight
"参った――いやぁ、参った
神殿に運ぶはずの装備品を
落としてしまったようだ",White Knight,,White Knight,,White Knight
"魔物どもに襲われて我が身を守るのが
精一杯――とても荷物なんて
かまっていられなかった――",White Knight,,White Knight,,White Knight
"なんてことがバレたら俺のメンツは
丸つぶれだ",White Knight,,White Knight,,White Knight
"どうだろう――手伝ってくれないか？
荷物はひとつじゃないし
魔物もいるだろうが――なあ、頼む！",White Knight,,White Knight,,White Knight
"参った――いやぁ、参った
神殿に運ぶはずの装備品を
落としてしまったようだ",White Knight,,White Knight,,White Knight
"魔物どもに襲われて我が身を守るのが
精一杯――とても荷物なんて
かまっていられなかった――",White Knight,,White Knight,,White Knight
"なんてことがバレたら俺のメンツは
丸つぶれだ",White Knight,,White Knight,,White Knight
どうだろう――手伝ってくれないか？,White Knight,,White Knight,,White Knight
"荷物はひとつじゃないし
しかも、えらい強い奴もいる",White Knight,,White Knight,,White Knight
"加えて、あんたは俺なんかに
なんの義理もない",White Knight,,White Knight,,White Knight
"わかってる、わかってるんだ！
でも、騎士仲間には頼めないんだ
頼む、この通りだ！",White Knight,,White Knight,,White Knight
"あ？　装備品？
――これは違うだろ？
――あ？　コレだってのか",Bob,,Bob,,Bob
"回収すんのかよ――けっ
せっかく飲み代になると思ったのによ――
ほら、持ってきな！",Bob,,Bob,,Bob
"おお！　ありがたい！
これで俺の面目も保てるよ
ありがとうな！",White Knight,,White Knight,,White Knight
"おお！　集めてくれたのか！
そう、これだ、これだよ",White Knight,,White Knight,,White Knight
"ケガもしていないようだな――
うん、ありがとう",White Knight,,White Knight,,White Knight
これで俺の面目も保てるよ！,White Knight,,White Knight,,White Knight
"おお！　集めてくれたのか！
そう、これだ、これだよ",White Knight,,White Knight,,White Knight
"頼んでおいて今さらだが
厄介な魔物もいただろう？",White Knight,,White Knight,,White Knight
"無茶な頼みを聞いてくれて
本当に感謝しているよ",White Knight,,White Knight,,White Knight
"これで面目も保てるしな
いや、ありがとう",White Knight,,White Knight,,White Knight
"おお、ご苦労さん
俺はこのあたりを探してみるよ",White Knight,,White Knight,,White Knight
