old,new,speaker
"セシリーが島へ行きたいと言い出した時――
なんとも言えず嫌な予感がしたのに
わたしは止めようともしなかった",,Joseph
"心のどこかに、今の状況を望む気持ちが
あったのだろう
いやはや、我ながら浅ましいわ",,Joseph
"なあ――
眠るセシリーを守ってやってくれ
彼女に害を為す者、事があらば
全て追い払ってほしい",,Joseph
"わたしからの頼み――
セシリーへの贖罪だ",,Joseph
"セシリーを見守ってやってほしい
目覚めた時におまえがいれば安心だろう","I want you to watch over Cecily.
It would be best if you were there when she wakes up.",Joseph
"黒騎士の動向は不明だけど
セシリーのこの状態を知ったらどうするだろうね",,Klaus
"騎士団には声をかけておいたけど
もしもの時は、やっぱり君が頼りだ
用心だけはしておいてよ？",,Klaus
"おい、黒騎士野郎に仕返しだ
さっさと動かねえと
白竜の覚者は腰抜けだと思われるぜ？",,Gurdolin
"セシリーのところへ行きました？
あんなことになっちゃって――
俺、悔しいですよ――悔しいです！",,Elliot
セシリーの呼吸が深すぎて不安になるでしょう？,,Pamela
"でも、回数――つまり呼吸の間隔は安定しているの
良い兆候だと思うわ",,Pamela
"ロイグのお薬を作ってくれたカミュさんに
診てもらったの",,Mayleaf
そうしたら、できることは何もないって――,,Mayleaf
なあ、レオを頼ってみないか？,,Loeg
"新たな――さらなる力を探しているという
レオの話を覚えているだろう？",,Loeg
"その力があれば、君たちは黒騎士に
勝てるはずだ",,Loeg
"もちろん、レオとの間に
わだかまりがあることは知っている",,Loeg
"――さしでがましいようだが
わたしに和解の仲立ちをさせてくれ",,Loeg
"禊の神殿で会えるように手配しておいた
レオは、きっと来るはずだ",,Loeg
"“禊の神殿”で会いたい――
ダウ渓谷へ行く騎士団の人たちに
レオへの親書を預けたんだ",,Loeg
"セシリーはまだあきらめてない
ねえ隊長、わたし絶対にあきらめないから！",,Lise
（弱々しい呼吸の音が聞こえる）,,Cecily
――冴えない顔だな,,Leo
竜力の淀みに立ち入るには特別な道具が必要だ,,Leo
"ポーン郷にある異界の狭間の深層に入り
“竜の泪”と呼ばれるオーブの欠片を
探し集めてくれ",,Leo
わたしはセシリーのところへ帰るよ,,Loeg
"レオの話をよく聞いて
必要とあらば折り合いをつけてくれ
セシリーのためだ",,Loeg
"異界の狭間、深層への入り口は
既に開かれている――",,Alvar
心迷わぬように進むといい,,Alvar
早かったな,,Leo
では、竜の泪は預からせてもらう,,Leo
"そんな顔をするな
持ち逃げなどしない
古文書で調べることが、まだある",,Leo
"ジョゼフやクラウスに預ければ手際よく調べる
だろうがこれは自分自身で学び、理解したい",,Leo
"おまえたちの割り込みを受け入れてやるんだ
それくらいの勝手は認めろ",,Leo
"持ち逃げなど姑息な真似はしない
俺を信じろ",,Leo
ちゃんと話はつけたんだろうね？,,Loeg
"レオには訊きたいこと――
言いたいことが色々あるけど
今は我慢するよ",,Lise
セシリーのためだもの！,,Lise
"レオの野郎を見張ってなくて大丈夫か？
俺が行っとくか？",,Gurdolin
"レオからの連絡が待ち遠しいですね
ええ、必ず連絡をくれると信じてます",,Elliot
"竜の泪か――
俄然興味が沸いてくるね",,Klaus
"セシリーの容態は一進一退と言ったところだ
そっちの首尾は？",,Joseph
"ふむ――業腹だが、レオが約束を違えぬと
期待するしかないだろうな",,Joseph
