old,speaker
"やあ、ご機嫌ようッ！
この前は大いに盛り上がったね
俺もシェリーちゃんに貰ったもこもこニットで
心まであったかだったよ",Angelo
"さて、先日は紳士たちを招待したから
今回は淑女の皆さまのため
素敵な催しを考えてみたんだ",Angelo
"――ついでといってはなんだが
我が愛しのシェリーちゃんへの
プレゼントを準備する手伝いも頼みたくて、ね",Angelo
"なに、いい加減自分で何とかしろ？
いいじゃないか！　君と俺の仲だろう！",Angelo
"と言う訳だ
まずは《パッションパピルス》を
一つでいいから見つけてきてくれ
詳しくは後で話そうじゃないか！",Angelo
"《パッションパピルス》の在り処？
それは――人間が一から探すのは大変でね
魔物が持っているのを失敬するのが
最良ってヤツだ",Angelo
"アンジェロったら、今回何をするのか
なにも教えてくれなかったの
「サプライズ」が大事なんですって",Shelly
"嬉しいし楽しみなんだけど
何だかちょっと心配になっちゃう――
無理したり、危ないことをしなければいいんだけど",Shelly
"まずは《パッションパピルス》を
一つでいいから見つけてきてくれ",Angelo
"人間が一から探すのは大変だから
魔物が持っているのを失敬した方が
いいんじゃないかね
君の腕力なら十分に可能さ！",Angelo
"アンジェロ、今年は何をくれるのかしら
きっと今回の衣装みたいに
かっこよくキメてくれるつもりなのよね",Shelly
"おお！　無事に
《パッションパピルス》が手に入ったのか！
ではそれを集めて――
“紙”を作ることにしよう",Angelo
"そしてその“紙”に甘い言葉を並べて――
そう、“思いの丈を込めた手紙”にするんだ！
どうだ、イケてるアイデアだろう？",Angelo
"どうせなら文字も
美しい飾り文字にしたいところだな
これは職人に任せた方が良さそうだ",Angelo
"グレゴリー氏に鑑定交換で
《ロマンチックな手紙》として
仕上げてもらえないか、相談してきてくれ",Angelo
"うまく話がついたら
教えてくれたまえよ！",Angelo
"グレゴリー氏に鑑定交換で
《ロマンチックな手紙》として
仕上げてもらえないか、相談してきてくれ",Angelo
"うまく話がついたら
教えてくれたまえよ！
待ってるからな！",Angelo
"またもやあの二人のお使いで？
しかも《パッションパピルス》を使った恋文とは
へっへへ――これまた古風な――",Gregory
"いえいえ、商売ですから
儲けが出るなら何も言いませんとも
近頃の女性に好意的に受け止められるかは
保証しませんがね",Gregory
"――とにかく、承知しました
《パッションパピルス》をお持ちくだされば
すぐに《ロマンチックな手紙》として
仕上げられるよう、職人を手配しておきますよ",Gregory
"――とにかく、承知しました
《パッションパピルス》をお持ちくだされば
すぐに《ロマンチックな手紙》として
仕上げられるよう、職人を手配しておきますよ",Gregory
"おお、とてもいい出来じゃないか！
何日も頭をひねった言葉の数々
甘いスイーツを食べ飽きただろうシェリーちゃんも
これなら大喜びに違いない",Angelo
"わかってるわかってる
君が手紙を渡す相手だろう？
ちゃんと考えているとも！
今すぐ、呼んでくるからな！",Angelo
