old,speaker,english,speaker,english,speaker
"北部のオークどもに動きがあったようだ――
お前も戦に備えて準備してくれ",Alan,,Alan,,Alan
"オークとの戦争がはじまったなら
再度、私の元に訪れてエントリー
しにきてくれ",Alan,,Alan,,Alan
"グリッテン砦にて戦争が始まるみたいです
レスタニアニュースで確認くださいね",Seneka,,Seneka,,Seneka
"詳しい情報は《中央広場》にいる白衛騎士団の
アランさんをお訪ねください",Seneka,,Seneka,,Seneka
"グリッテン砦で戦争が始まるらしいですわ
弟は大丈夫かしら、心配だわ",Hilde,,Hilde,,Hilde
"まもなく砦で戦がはじまるって本当ですか！？
あー私も覚者さまのようになって
戦場を駆け抜けてみたいな",Cameron,,Cameron,,Cameron
"もうすぐグリッテンで戦がはじまるそうだ
戦場ではとにかく気を抜くなよ",Archibald,,Archibald,,Archibald
"オークの奴らめ
何度攻め入ろうとも無駄なこと
次も返り討ちにしてくれる",Vanessa,,Vanessa,,Vanessa
"ヒルデ姉さんには無理するなといわれているけれど
次の戦で戦果を上げて昇進したいと思っているんだ",Dikka,,Dikka,,Dikka
"戦は稼ぎ時でもあるんだ――
思い切って投資すれば
それだけ得られるものも大きいぞ",Ridley,,Ridley,,Ridley
"グリッテン砦の防衛は
バートランド平原でも重要な任務だ",Scherzo,,Scherzo,,Scherzo
"優秀な戦果を収めたものには
それに応じた報酬も与えられるので
ぜひ防衛隊に参加してくれ",Scherzo,,Scherzo,,Scherzo
