old,speaker
"あれ、お前どこかで会ったような
――いや、気のせいか
こんなところにいたら、危険だぞ",Arisen Corps Regimental Soldier
"俺は――獲物を追っていたら、
うっかり怪我をしてしまって休んでいたんだ
もし良かったら、手を貸してくれないか？",Arisen Corps Regimental Soldier
"実は、血の匂いで魔物が集まってきたようでな
俺一人じゃ、生きて帰れそうにない
――一緒に戦ってほしいんだが、頼めるか？",Arisen Corps Regimental Soldier
"結構血を流してしまったからな――
あまり長くは戦えないかもしれない
だから、なるべく早く終わらせよう――いいな？",Arisen Corps Regimental Soldier
"無事なのね！？
あぁ、本当に良かったぁ
あ、いや、ど――同僚が死んだりしたら
その分私の仕事が増えるでしょ！",Arisen Corps Regimental Soldier
"コホン――とにかく
この件のお礼は改めてちゃんとするわ
本当に、アンタには感謝してるんだからね",Arisen Corps Regimental Soldier
"あ、あいつはどうなったの？
まさか間に合わなかったとか
言わないでしょうね！？",Arisen Corps Regimental Soldier
"――命に別状は無さそうなのね
本当に良かった――
もっと早く助けてよと言いたいところだけど――
アンタも精一杯やったんでしょ？",Arisen Corps Regimental Soldier
"なによ――
心配するに決まってるでしょ！
せっかく一緒の任務に就けたのに――
こんなところで死んだら、一生恨んでやるから",Arisen Corps Regimental Soldier
"あれ、アンタ――どこかで会った？
気のせいか――ま、いいわ
困っていることがあるんだけど、
同じ覚者のよしみで聞いてくれない？",Lightly-Equipped Female Soldier
"私たち、エラン大門が開かれたって聞いて
最近来たばかりなの
だから、土地勘があんまり無くてね――",Lightly-Equipped Female Soldier
"少し前に狩りに出かけた覚者仲間が
しばらく帰って来ないのよ
きっと、水林は入り組んでいるから
変なところに迷い込んで帰れなくなっているのね",Lightly-Equipped Female Soldier
"アンタ、こっち来て長いんでしょ？
悪いんだけど――捜索を依頼したいの
彼は《<STG 818>》の方へ向かったみたい",Lightly-Equipped Female Soldier
"もし見つけたら、急いで助けてあげてよね
何日も飲まず食わずだろうから――
彼に倒れられると、こっちも困るし
――絶対に、生きて帰してよ",Lightly-Equipped Female Soldier
"少し前に出かけた覚者仲間が
しばらく帰って来ないのよ
きっと、迷い込んで帰れなくなっているのね",Arisen Corps Regimental Soldier
"彼は《<STG 818>》へ向かったみたい
もし見つけたら、急いで助け出してあげてね
怪我でもされるとホラ、戦力も落ちちゃうし
色々不便で――と、とにかくお願いね！",Arisen Corps Regimental Soldier
"お前のおかげで、何とか帰れそうだ！
痛みも収まって来たし――本当に感謝するよ
ところで、こんな所で何してたんだ？",Arisen Corps Regimental Soldier
"え、彼女が依頼したって？
そうだったのか――いや、感謝しないとな
素直じゃないからきっととぼけるだろうがね",Arisen Corps Regimental Soldier
"お――終わったのか？
そうか、よかった――協力ありがとう
俺のせいで、危険な目に遭わせてすまない",Arisen Corps Regimental Soldier
"少しふらつくが――何とか生きてるよ
血も止まって来たし
だが少し貧血気味で、立ち歩くのはまだ難しそうだ",Arisen Corps Regimental Soldier
"手負いの人間を背負って行けるほど
この森は甘くない――
俺のことは、ここに置いていってくれ
大丈夫――少し休んだら、必ず戻るよ",Arisen Corps Regimental Soldier
さぁ――レスタニアの覚者の力を見せてやろう！,Arisen Corps Regimental Soldier
"くっ――動けなくなる前に
早く倒さないと――",Arisen Corps Regimental Soldier
すまない――あとは任せた,Arisen Corps Regimental Soldier
