old,new,speaker
"あの、覚者さま！
急ぎのご報告があるんです
解放軍の方からの伝言が――！",,Bruce
"ここ数日、どうにも魔物たちの動きが不穏だという
報告が各地の兵士から寄せられていたらしく――
そこで、数人の兵士がフィールドに出て
様子を探っていたそうなのですが！",,Bruce
"なんと、予想よりも早くに魔軍が動きだし
フィールドに出ていた方々が
魔物と交戦して食い止めている状態です！",,Bruce
"どうか、今も戦っている彼らの場所に行って
魔軍からの襲撃阻止にご協力いただけないでしょうか
とにかく、急ぎとのことなんです！",,Bruce
"どこで誰が交戦中か、ですか？
もちろんお話します！
しかし、全員分お話している時間はありません
交戦地を聞きたい方はどなたか、一人に絞ってください",,Bruce
アンナの交戦情報,Anna's battle information,Bruce
ダーナの交戦情報,Dana's battle information,Bruce
バーサの交戦情報,Versa's battle information,Bruce
"こっちは陽動で、本命は《メガド遺跡》の方よ！
あたしはこっちの魔軍を食い止めておくから
あんたは魔軍の本隊をお願い！",,Anna
"こっちは陽動で、本命は《メガド遺跡》の方よ！
あたしはこっちの魔軍を食い止めておくから
あんたは魔軍の本隊をお願い！",,Anna
"いやぁ、突然重大な伝言を頼まれて
心臓が潰れそうに緊張しました",,Bruce
"しかし、さすがは覚者さまですね！
襲撃に来ていた魔軍を
事前に壊滅させたなんて
おとぎ話の英雄のようです――",,Bruce
"さっき遺跡の奥の方で
魔物の声が聞こえたけど大丈夫なの？
私？　私は別の任務で来てるんだ
あんた、手が空いてるなら奥を確認してきてよ",,Dana
"ああ、援軍に来てくれたの？
よかった――魔軍のやつらはちょうど
遺跡の奥に兵を集めているところみたい
叩くなら兵が集まりきっていない、今がチャンスだよ",,Versa
"ついさっき到着した
エルトンって名前の兵士にも伝えてあるわ
力になってくれるはずよ",,Versa
"さっき遺跡の奥の方で
魔物の声が聞こえたけど大丈夫なの？
私？　私は別の任務で来てるんだ
あんた、手が空いてるなら奥を確認してきてよ",,Dana
"援軍が来てくれてよかったよ――
魔軍のやつらはちょうど
遺跡の奥に兵を集めているところみたい
叩くなら兵が集まりきっていない、今がチャンスだよ",,Versa
"<NPC 601>さんは
少し前から動向を探っていたらしいですよ
魔軍の情報について、ある程度は
詳細に話してくれると思います",,Bruce
"今は、この塔を出て左の森にある
《慈恵の斎場》を抜けた先で
魔物と交戦しているはずです",,Bruce
"<NPC 596>さんは
今回の襲撃を気にしていたというより
“巻き込まれた”ようです――
一応、魔軍の情報は持っているでしょうが
期待できるかどうか",,Bruce
"今は、メガド遺跡群内で
交戦しているはずです",,Bruce
"<NPC 604>さんは
今回の襲撃をかなり気にしていたようで
相当細かく調べていた様子でしたね",,Bruce
"今は、《ニルビリス大橋》の近くで
身を潜めているはずですよ",,Bruce
"こっちは陽動で本命はメガド遺跡の方よ
早く行った行った！",,Anna
"遺跡の奥の方、あぶない気配がする――
手が空いてるなら見てきてよ
あんたが行ってくれるなら安心できるわ",,Dana
"今は襲撃準備中ってところだね
まだ魔物も少ないから
叩くなら今がチャンスだよ",,Versa
