old,speaker,english,speaker,english,speaker
"廃村のこと、ありがとう！
ミューセルさんも、覚者さんに
感謝してるって言ってたよ！",Enna,,Enna,,Enna
"それで――あの――
強い覚者さんにお願いがあって――",Enna,,Enna,,Enna
"実は、そこにいるボクのおばあちゃんが――
《<STG 814>》に恐ろしい魔物たちが
入っていくのを見た！　って言うんだ",Enna,,Enna,,Enna
"きっと見間違いか、森に住む小さい魔物だと
思うんだけど――
ミューセルさんやディリスに言っても
不安にさせちゃうだけだと思うんだ",Enna,,Enna,,Enna
"だからあの――よかったら、覚者さんに
見て来てもらえないかな、と思って――
お――お願いします！",Enna,,Enna,,Enna
"《<STG 814>》に恐ろしい魔物たちが
入っていくのを見た！って
ゴビネットばあちゃんが言うんだ――",Enna,,Enna,,Enna
"見間違いか、森の小さい魔物だと思うんだけど
もし本当に危ない魔物だったら怖いから――
覚者さんに調べてきてもらいたいんだ",Enna,,Enna,,Enna
"わ、行ってきてくれたんだね！
――えぇ！？
本当に危険な魔物の群れだったの！？",Enna,,Enna,,Enna
"そっか――おばあちゃんに謝らなきゃ
やっぱり、覚者さんに行ってもらってよかったよ",Enna,,Enna,,Enna
"それにしても、覚者さんってすごく強いんだね
ボクも、戦士のサリヴァンさんがここに来る時に
戦い方を教えてもらってるんだけど――
剣を持つだけで精一杯だよ",Enna,,Enna,,Enna
"今度、覚者さんが戦っているところを見てみたいなぁ
――へへ、これはぼくからのお礼だよ！
本当にありがとう",Enna,,Enna,,Enna
