old,speaker,english,speaker,english,speaker
"覚者さんよォ――
こんな噂を聞いたことはあるかい？",Salamis,,Salamis,,Salamis
"「闇夜に溶け込む翼あり――
　羽ばたきと共に人が消え――
　結果、闇に潰えた村は数知れず――」",Salamis,,Salamis,,Salamis
"その羽ばたきの主がこのあたりに
巣くっているとかいないとか――",Salamis,,Salamis,,Salamis
"もし本当なら、手遅れにならないうちに
処分する――",Salamis,,Salamis,,Salamis
"それが覚者の義務だと
俺は思うけどな",Salamis,,Salamis,,Salamis
"あァ？　そうだろ
じゃ、お前がやるべきだよな？",Salamis,,Salamis,,Salamis
"覚者さんよォ――
こんな噂を聞いたことはあるかい？",Salamis,,Salamis,,Salamis
"「闇夜に溶け込む翼あり――
　羽ばたきと共に人が消え――
　結果、闇に潰えた村は数知れず――」",Salamis,,Salamis,,Salamis
"その羽ばたきの主がこのあたりに
巣くっているとかいないとか――",Salamis,,Salamis,,Salamis
"もし本当なら、手遅れにならないうちに
処分する――",Salamis,,Salamis,,Salamis
"それが覚者の義務だと
俺は思うけどな",Salamis,,Salamis,,Salamis
"しかしまあ――
噂が本当なら敵はかなり手強い
あんたが逃げても誰も文句は言わないぜ",Salamis,,Salamis,,Salamis
"覚者さんよォ――
こんな噂を聞いたことはあるかい？",Salamis,,Salamis,,Salamis
"「闇夜に溶け込む翼あり――
　羽ばたきと共に人が消え――
　結果、闇に潰えた村は数知れず――」",Salamis,,Salamis,,Salamis
"その羽ばたきの主がこのあたりに
巣くっているとかいないとか――",Salamis,,Salamis,,Salamis
"もし本当なら、手遅れにならないうちに
処分する――",Salamis,,Salamis,,Salamis
"それが覚者の義務だと
俺は思うけどな",Salamis,,Salamis,,Salamis
"ここだけの話――
俺からこの話を聞いた覚者たちは
みんな姿を消してしまった――",Salamis,,Salamis,,Salamis
"逃げ出したのかやられちまったのか――
前者だと俺は信じたいがな",Salamis,,Salamis,,Salamis
"へえ――なんだよ！
噂は本当だったのか！？
ひえ――",Salamis,,Salamis,,Salamis
"へえ――なんだよ！
噂は本当だったのか！？",Salamis,,Salamis,,Salamis
"正体はやっぱり魔物？
へえ――そうか――
あんた凄いよ――",Salamis,,Salamis,,Salamis
覚者の中の覚者だな！,Salamis,,Salamis,,Salamis
"おお――無事だったか！
なんだと？　退治した？",Salamis,,Salamis,,Salamis
"ということは噂は本当だったのか？
いや――すまん――
俺も信じていなくてな",Salamis,,Salamis,,Salamis
"正体はやっぱり魔物？
へえ――そうか――
あんた凄いよ――",Salamis,,Salamis,,Salamis
"覚者の中の覚者だな！
よし、俺はこれからは
闇に潜む翼じゃなくて凄腕の覚者――",Salamis,,Salamis,,Salamis
あんたの噂を広めるぜ！,Salamis,,Salamis,,Salamis
"気をつけろよ――
闇に潜む翼だ――ひひひ――",Salamis,,Salamis,,Salamis
