old,speaker
"やぁ、どこかで会ったかい？
君もレスタニアから来たんだろう？
それなら、どこかで会ったかもしれないね",Christoph
"ところで、こんなところで一体何を？
私といえば――この侵食とやらを調べ回っているんだ
新たな大陸の話を聞いて、じっとしていられなくてね
色々と手を回して何とかフィンダムまで来たんだ",Christoph
"だけど、この粉っぽい空気は肌に合わないね――
かなり疲れてしまったよ
今魔物に襲われたら、あんまり戦えなさそうだ",Christoph
"――うわぁ！　魔物だ！
き、君――悪いけど手伝ってくれるかい？
私もやれるだけやってみるが――
ダメになるまえに、片付けたいものだよね",Christoph
"覚者さん、どうだった！？
あぁ――よかった、助かったんだ！
やっぱりあの見た目でも、戦士だったんだね",Thorin
"もし怪我でもされたら
僕のせいみたいなものだからね――
心配で、ずっと考えていたのさ",Thorin
"――なんて、偽善みたいに聞こえるかな
それでもいいさ
モルフォールでみんな穏やかに過ごせるのなら――
それが僕の、一番の望みだよ",Thorin
"怪我をしていても、命は助かったのか
良かった――それだけでも
行ってもらった甲斐があるよ
本当にありがとう",Thorin
"せっかくモルフォールに来てくれたのに
そんな目に遭うなんて――
――僕のせいだな",Thorin
"彼が帰ってきたら、お見舞いに行かないと――
覚者さん、本当にありがとう
君がいなきゃ、それすらできなかったからね",Thorin
"やぁ、覚者さん
サリヴァンを助けてくれて、本当に感謝してるよ
そう簡単には死んだりしなさそうな人だけど
万が一ってことがあると悲しいからね",Thorin
"ところで、覚者さんの大陸には
やっぱりいろいろな人がいるんだね
さっきなんて、長くて動き辛そうな衣を纏った人が
剣も持たずにフラフラと森へ入っていったよ",Thorin
"きっと、ああいう人に限ってものすごい力を
持っているんだろうね
いやぁ、感心するよ
――え？　その人が向かった先かい？",Thorin
"《<STG 951>》の方だけど――
もしかして、止めてあげるべきだったかな
――これは困ったことになったぞ
取り返しがつかなくなる前に助けないと",Thorin
"僕はこれから外出の護衛に行く約束があって――
なんとか彼が倒れる前に、急いで
助け出してあげてくれないかな
申し訳ないんだけど、頼めるかい？",Thorin
"《<STG 951>》の方へ行った人は
無事だったのかい？",Thorin
"いや、急かせてすまない
一度心配になるとずっと気になっちゃうからね
彼が無事であることを祈るよ",Thorin
"ふぅ――杖を揮うのは久しぶりだったけど
意外と何とかなるものだね
君、手伝ってくれて助かったよ！",Christoph
"それにしても――酷い有様だね
モルフォールの人たちには良くしてもらったんだ
彼らの故郷がこんな悲惨な状況だなんて――
胸が痛むよ",Christoph
"君、モルフォールの人に言われて
来てくれたんだろう？
侵食について何か分かれば
彼らの役にも立てるんだがな――",Christoph
"私はもう少しだけサンプルを採取していくよ
大丈夫、魔物が来たら逃げるくらいの元気はある
先に帰っててくれ",Christoph
"う、うぅ
君が――全て倒してくれたんだね？
あ、ありがとう――",Christoph
"やっぱり、かなり腕が鈍っていたみたいだよ
調べ事ばかりしていたからかな――",Christoph
"研究対象として“侵食”はすごく魅力的だったし
モルフォールの人々の力にもなりたかったけど
僕は、もう少し――
自分の身の丈を見直すべきかもしれないな",Christoph
"君、すまないが――
ここでもう少し頭を冷やしていきたいんだ
――一人にしてほしいってことさ",Christoph
"職業柄、体力には自信無くてね――
早く終わらせてしまおう",Christoph
"うう――だめだ
呂律が回らなくなってきた",Christoph
"すまない――少し鈍り過ぎたようだ
あとは頼んだよ――",Christoph
