old,speaker,english,speaker,english,speaker
"ネド王子が覚者ではない場合のことを
あれこれ考えてみたのだが――",Joseph,,Joseph,,Joseph
"それ以前に、安否さえもわからない状況だ
無事を祈らずにはいられんな",Joseph,,Joseph,,Joseph
"なにしろ、アッカーシェランの情勢の正常化が
我々の平和にも繋がるわけだ",Joseph,,Joseph,,Joseph
"行って、王子の捜索を優先するように
進言してみるのはどうだ？",Joseph,,Joseph,,Joseph
"王子の無事を祈る気持ちにうそ偽りはないが
まずは安否の情報が欲しいところだ",Joseph,,Joseph,,Joseph
"わたしにとってはレスタニアの平穏が最優先
この先に起こることは可能な限り早めに
知っておきたいからな",Joseph,,Joseph,,Joseph
"ネド王子の存在がどれほどの希望を
人々にもたらすのか――
それは僕たちにはわからないけど",Klaus,,Klaus,,Klaus
一番重要なことは――,Klaus,,Klaus,,Klaus
"王子は次の竜になれるのかという
ことだよね",Klaus,,Klaus,,Klaus
メイロワ将軍がさっそく張り切っているよ,Gillian,,Gillian,,Gillian
"あなたたちのこと、かなりあてにしているから
将軍のお相手、よろしく",Gillian,,Gillian,,Gillian
さーて、張り切って、貸しを作ろうぜ,Gurdolin,,Gurdolin,,Gurdolin
"俺の見たとろ、あの将軍は
恩義には必ず報いようとする典型だ",Gurdolin,,Gurdolin,,Gurdolin
"メイロワ将軍、なんだかうれしそう
何があったのかな？",Lise,,Lise,,Lise
"将軍がああいう人で良かったですよね
ジョゼフ様みたいだったら――",Elliot,,Elliot,,Elliot
おっと、これ以上はやめておこう,Elliot,,Elliot,,Elliot
"解放軍には、特に指令は出ていない
今のところ、将軍は全軍を動かすつもりは
ないらしいな",Quintus,,Quintus,,Quintus
戻ったか！,Meirova,,Meirova,,Meirova
"わしのこの破顔を見ればわかるだろうが
ネド王子の居場所がわかったのだ",Meirova,,Meirova,,Meirova
"ほれ、わしらの初対面の村――
あの村の民達がティネス砦に移されたという
情報を掴んだ",Meirova,,Meirova,,Meirova
"民達の中には、多くの子供の姿があったらしい
王子はきっとその中に紛れ、潜んでいるはず！",Meirova,,Meirova,,Meirova
"いやー、気が急いて仕方がないわ
ほれ、ティネス砦へ行くぞ",Meirova,,Meirova,,Meirova
"目的地はティネス砦――と言ってもわからんか
地図で確認してくれ",Meirova,,Meirova,,Meirova
"あなたたちの戦闘能力をあてにして
作戦を考えてみたんだ",Gillian,,Gillian,,Gillian
精鋭部隊によるティネス砦強襲作戦――,Gillian,,Gillian,,Gillian
"防戦一方だったわたしたちが攻勢に転じれば
向こうも混乱するだろうからね",Gillian,,Gillian,,Gillian
