old,speaker
《原始の雫》をガラダから奪った者――,Joseph
"その者の闇の深さが
悪しき者たちに利用されなければよいが――",Joseph
"かつて仲間だったイリスの闇は
ディアマンテスに悪用され――",Joseph
"そのディアマンテスが抱えていた闇も
何者かの餌食にされたのかもしれん",Joseph
"もしもフィンダムでも同じ事が
繰り返されているのであれば――
我々の経験が役に立つことだろう",Joseph
"さあ、早く行ってやりなさい
もし闇を抱えている者がいるならば
明るい日差しの下に引っ張り出してやるのだ",Joseph
"誰の仕業にせよ、優先すべきは、やはり
《原始の雫》の回収ということになろう",Joseph
"もし、力尽くで奪回する必要があるのなら――
いいな？　未来に禍根を残すなよ",Joseph
"ガラダが意識を取り戻していたら
君はきっと、会って話すことになるだろうね",Klaus
"いいかい？
絶対に揉めないようにね",Klaus
"僕もフィンダムを探索したいんだから
その時のために、友好的な関係で
いてもらわなくちゃ",Klaus
おお、想像どおり、良い顔をしておるわ,Gearóid
"父が意識を取り戻しました
隊長、ぜひ、話を聞いてください",Cecily
君たちもロイグを知っているのだろう？,Gearóid
"もし友情を結んだのなら――
申し訳ないが、諦め、捨ててくれ",Gearóid
"ロイグが――？
やっぱり、信じられません",Cecily
"ロイグが使う魔物は
家畜が魔物化したもの――",Gurdolin
こりゃ、強さの見当がつかねえな,Gurdolin
"レスタニアで――
メイリーフの家で笑い合っていた時のロイグは
すっかり記憶を無くしていたと思いたいな",Lise
"ええ、やる時はやりますから、俺
知り合いだって、敵なら、仕方ないですよね",Elliot
ロイグ！　魔物を止めて！,Cecily
話しましょう？　ロイグ、話そう？,Cecily
こんなの、ちがうよ、ロイグ,Cecily
原始の雫、返して！,Cecily
こんなことをしても何も変わらない！,Cecily
今からでも――遅くないから！,Cecily
一緒にフィンダムを変えていこう？,Cecily
ロイグ、逃げて――雫を置いて、逃げて！,Cecily
もう、容赦はしないから,Cecily
あとひと息！,Cecily
ロイグ、これは違う、間違っている！,Cecily
ロイグ！　考えなおして,Cecily
セシリー、すっかりレスタニアに染まったな,Loeg
苦しめ――両親のように、わたしのように！,Loeg
叫べ――楽には終わらせないぞ,Loeg
やってしまえ！　倒せ！,Loeg
父さん、母さん、見物だろう？,Loeg
精一杯戦って――絶望するがいいさ！,Loeg
わたしの後ろ盾を知っているか？,Loeg
薄々は気づいているんだろう？,Loeg
ふふふ――いい気味だ,Loeg
心に刻まれた恨みはけして消えない！,Loeg
ふふふ――今この時も大地は朽ちていくぞ！,Loeg
おまえたちの死が崩壊のとば口だ！,Loeg
"モルフォール村に戻り、父に事の次第を
報告しなくてはなりません",Cecily
"《原始の雫》の使い方を教えてもらって――
もちろん、ロイグの処遇も相談しないと",Cecily
"混乱の原因を作ったのは確かにロイグでしょう
でも、あの人を追い詰めたのは、わたしたちの
ようです",Cecily
"見たな？　見たよな！？
ロイグの奴、黒い霧に包まれて――",Gurdolin
あの霧は――あれはどう見ても黒騎士の――,Gurdolin
"いや、んな馬鹿な！
黒騎士はきっちり倒したはずだ",Gurdolin
ねえ、隊長、ロイグを助けてあげなくちゃ,Lise
"黒騎士に“見捨てる気か”とかなんとか
怒っていたよね？
つまり、背後で事態を操っているのは――",Lise
"隊長、ロイグとか黒騎士のことは
一度忘れませんか？",Elliot
"《原始の雫》のこと、俺たちまだ何も
知りませんから！",Elliot
"あなたたちが見聞きしたことはすでに
ここまで届いている",Mordred
"ガラダはそれを受けて
族長同士の会談を召集した",Mordred
"あなたたちも急ぎ、会談の場に
向かってくれ",Mordred
"時は待ってくれません
溜息をついている時間なんてありませんよね",Cecily
"レスタニアの覚者たちよ
心苦しい限りだが、このフィンダム
まだまだ安定への道半ば――",Gearóid
最後まで、我々とともに歩んでくれ,Gearóid
"あと少しですよ、隊長
《原始の雫》が芯なる樹を――
ひいてはこのフィンダムを浄化してくれます",Cecily
"その後の美しいフィンダムを
皆さん、ご案内しますからね",Cecily
さぁ、ひとまずはレスタニアに戻ろうぜ,Gurdolin
ロイグのしたことは許せないけど――,Lise
"わたしは憎めないな
フィンダムの人たちはどう裁くつもりなんだろう",Lise
"あははは
なんだかセシリーが大きく見えますよね
ここで居心地悪そうにしてた時とは
別人のようです",Elliot
"そうか、あのロイグが――
人の心の奥底なんて、分からんものよ",Gerd
"して、その芯なる樹とやらを治療できれば
侵食が止むかも知れんのだな",Gerd
"ああ、任せておけ
レスタニアは、必ず守り抜いて見せようぞ",Gerd
"なぜかな――
あんたなら、きっとやり遂げてくれるって
思っちまうんだよ",White Knight
白衛騎士団の士気は、未だ健在だ,White Knight
"《原始の雫》というのは、とてつもない
力を秘めているんだろうね
レスタニアにもあればなあ",Klaus
"ほう――
セシリーがフィンダムの未来を託されるとは！",Joseph
"初対面の時の頼りない印象が強いが――
人は立場によって作られるものだ",Joseph
未来を託されし者は、自ずと自身を定めるのであろう,Joseph
あとひと息というところかな？,Joseph
"いやいや、当面、レスタニアの様子を気にしつつ
暮らした方が良さそうだな",Joseph
