old,speaker
"砦の北から東の小塔へ抜ける
地下通路があるのは知っているか？
旧騎士団の連絡路だ",Arisen Corps Regimental Soldier
"少人数でダウ渓谷へ向かうには、
この地下通路を使用しているのだが――",Arisen Corps Regimental Soldier
こんな所にまで魔物が潜り込んでいるのが現状だ,Arisen Corps Regimental Soldier
"いざという時に備え、奴らの数を減らしておきたい
今から向かってくれ",Arisen Corps Regimental Soldier
"砦の北から東の小塔へ抜ける
地下通路があるのは知っているか？
旧騎士団の連絡路だ",Arisen Corps Regimental Soldier
"少人数でダウ渓谷へ向かうには、
この地下通路を使用しているのだが――",Arisen Corps Regimental Soldier
"こんな所にまで魔物が潜り込んでいるのが現状だ
前にも退治したんだが、また少々危険な
魔物が増えてきたようでな",Arisen Corps Regimental Soldier
"いざという時に備え、奴らの数を減らしておきたい
今から向かってくれ",Arisen Corps Regimental Soldier
"砦の北から東の小塔へ抜ける
地下通路があるのは知っているか？
旧騎士団の連絡路だ",Arisen Corps Regimental Soldier
"少人数でダウ渓谷へ向かうには、
この地下通路を使用しているのだが――",Arisen Corps Regimental Soldier
"こんな所にまで魔物が潜り込んでいるのが現状だ
おまけに、随分と大物が居座ってるらしく
このままでは最悪封鎖だ",Arisen Corps Regimental Soldier
"なんとかして、使える状態にしておきたい
今から向かってくれ",Arisen Corps Regimental Soldier
"よくやってくれた！
手間を取らせたな",Arisen Corps Regimental Soldier
"これからも頼らせてもらいたい
よろしくお願いする",Arisen Corps Regimental Soldier
"よくやってくれた！！
おかげで悩みの種が一つ減ったよ",Arisen Corps Regimental Soldier
"これからも頼らせてもらいたい
よろしくお願いする",Arisen Corps Regimental Soldier
"よくやってくれた！！
同じ覚者として誇りに思う",Arisen Corps Regimental Soldier
"これで、通路を閉鎖する必要はないだろう
あの連絡路が使えないとなると
相当面倒だからな",Arisen Corps Regimental Soldier
"これからも頼らせてもらいたい
よろしくお願いする",Arisen Corps Regimental Soldier
"今そちらには、我々の手は割けない
どうか頼んだぞ",Arisen Corps Regimental Soldier
