old,speaker
"ファビオには会ったか？
たった今までいたのだが――
おまえを探していたぞ",Joseph
"次は酒場を探すと言っていたから
行ってみたらどうだ？",Joseph
"とはいえ、何やらコソコソした様子で
おまえを探している理由もなんだかんだと
ごまかしていた
変なことに巻きこまれるなよ",Joseph
"ファビオは酒場だろう
おかしなことに巻きこまれるなよ",Joseph
さっきファビオとひさしぶりに話したよ,Klaus
"ファビオはいつも商売のタネを探しているよね
知り合ったころはどうかと思っていたけど
最近は感心しているんだ",Klaus
"ああ、いたいた！
頼みたいことがあってあんたを探していたんだ",Fabio
"実はさ――このあいだ、地図を手に入れたんだ
それも、ただの地図じゃない
我らの友、レオが残した地図だ",Fabio
"しかも、半分ほど破れているな？
好奇心がはち切れそうだろう？
これは調べずにはいられないよな",Fabio
"その第一歩として、レオと親しかった
グリッテン砦のヴァネッサの意見を聞きたい
な？　一緒にグリッテン砦へ行こうぜ",Fabio
知ってるだろ？　おれはヴァネッサが苦手でね,Fabio
"おれなんかきっと嫌われている――
そう思うと、ふたりきりはキツい",Fabio
"あんたが新人の頃はいろいろ世話したよな？
その時の恩を、今、ちょーっと返してくれ",Fabio
ああ――よく来たな,Vanessa
"悪いな
ここでの仕事を片付けて、なるべく早くに
わたしも行けるようにする",Vanessa
"新しい地図にあった印は、やっぱり
この洞窟だよな――",Fabio
"これを見てくれ
つなぎ合わせた地図から読み取ると――",Vanessa
"どうやら、この洞窟の、さらに奥に
何かがあるらしい",Vanessa
"おそらく――危険な魔物がいるのだろう
レオはその魔物退治をひとりでやっていた
そういう奴だ、あいつは",Vanessa
"よし、我々の手でレオの憂いを断ってやろう
行くぞ――",Vanessa
くぅ――出た出た！,Fabio
これがレオの心残りか！？,Vanessa
"何か手がかりがあるかもしれない
手分けして探そう",Vanessa
レオめ、ここに何を隠したんだ？,Fabio
"また別の場所へのメッセージか――
おれたちもしかして、からかわれてるのか？",Fabio
"いや、レオはそういう性格じゃないしなあ
とにかく、このメッセージの場所は――",Fabio
この洞窟入口近くの、滝を望む崖あたりかな,Fabio
"新たな情報の示す先はこのダウ渓谷の
滝の麓というわけだな",Vanessa
さあ、行こうか,Vanessa
