old,speaker,english,speaker,english,speaker
"白竜の傷は深く、深刻な状況だ
竜力の流出はなはだしく
自然治癒はおそらく難しい",Joseph,,Joseph,,Joseph
"しかも、巡る竜力が消えてしまえば
大地は枯れ果て――",Joseph,,Joseph,,Joseph
"いや、それよりも先に、おまえたち覚者に
影響が及ぶはずだ
覚者と白竜の絆は竜力によるもの
だからな",Joseph,,Joseph,,Joseph
"ともあれ、急ぎ、その擬竜を探して
竜力を白竜の元へと持ち帰ってくれ",Joseph,,Joseph,,Joseph
"擬竜を探して、竜力を調達し
白竜の傷ついた身体に注ぐのだ",Joseph,,Joseph,,Joseph
効果に期待しようではないか,Joseph,,Joseph,,Joseph
"君たち覚者の力は白竜あってのもの
優先すべきは白竜様の回復だよ？",Klaus,,Klaus,,Klaus
ごめん、言うまでもないよね,Klaus,,Klaus,,Klaus
――この傷は――深い――,The White Dragon,,The White Dragon,,The White Dragon
我が身――滅する明日も――あり得る――,The White Dragon,,The White Dragon,,The White Dragon
"擬竜んところ行くんだろ？
だったら、禊の神殿だな？",Gurdolin,,Gurdolin,,Gurdolin
隊長、わたし、思ったより辛いかも――,Lise,,Lise,,Lise
頭が――痛くて――重くて――,Lise,,Lise,,Lise
急ぎましょう隊長,Elliot,,Elliot,,Elliot
"俺たちまで動けなくなったら
レスタニアは大変なことになります",Elliot,,Elliot,,Elliot
"ブラッドオーブ探しはもちろんだが
騎士団は大勢いる",Gerd,,Gerd,,Gerd
"できそうなことがあれば言ってくれ
なんでもする用意がある",Gerd,,Gerd,,Gerd
"俺が――もっとうまく立ち回っていれば
白竜様は――くそっ",Fabio,,Fabio,,Fabio
白竜様、大丈夫だよね？　よくなるよね？,Mayleaf,,Mayleaf,,Mayleaf
"よその大陸から来た騎士が神殿まで
入ってくるなんて",Pamela,,Pamela,,Pamela
なんて怖ろしい時代なのかしらね,Pamela,,Pamela,,Pamela
"俺たちも戻りましょう
ここには何もありません",Elliot,,Elliot,,Elliot
"リズは任せて――
胸を張ってそう言えたらいいのだけれど――",Pamela,,Pamela,,Pamela
リズ、頑張れ――頑張れ！,Mayleaf,,Mayleaf,,Mayleaf
"もう地味にブラッドオーブを
探すしかねえのかね――",Gurdolin,,Gurdolin,,Gurdolin
"リズはいつも明るいから
こうなると余計に――はぁ",Elliot,,Elliot,,Elliot
隊長さん、お願い,Mayleaf,,Mayleaf,,Mayleaf
"リズやガルドリン――覚者さんたちみんなが
良くなる方法を探して
急いで探して！",Mayleaf,,Mayleaf,,Mayleaf
"ガルドリンは意識を取り戻しましたが
そのまま診療所に預けてきました",Elliot,,Elliot,,Elliot
隊長と俺でなんとかするしかありませんよ,Elliot,,Elliot,,Elliot
"リズはまるで深い眠りの中にいるみたい
話しかけても揺らしても目覚めないの",Pamela,,Pamela,,Pamela
"黒騎士がアッカーシェランに現れたのは
君たちを引きつけるためだろうね",Klaus,,Klaus,,Klaus
"悪しき竜の思惑が先か、黒騎士が先か
なんとも言えないけど――",Klaus,,Klaus,,Klaus
"幸いブラッドオーブは次々と
運び込まれている",Gerd,,Gerd,,Gerd
"しかし、効果はさほどでもないようだ
なんとも歯がゆいぞ！",Gerd,,Gerd,,Gerd
"まだ――竜力は巡っているか？
今のうちに――ぞんぶんに――",The White Dragon,,The White Dragon,,The White Dragon
"かつて白竜が、黄金竜との戦いで
傷ついた時――",Joseph,,Joseph,,Joseph
"白竜の力は衰え
その結果、悪しき魔物が力をつけた",Joseph,,Joseph,,Joseph
"幸いにして覚者、騎士団の献身により
白竜は命を繋ぎ、事なきを得たが――",Joseph,,Joseph,,Joseph
"はて、今回はどうであろうな
覚者が次々と倒れているという報告が
舞い込んできている",Joseph,,Joseph,,Joseph
"竜が死に、力が継承されなければ
世界は滅ぶと考えられているが――",Joseph,,Joseph,,Joseph
"ああしかし、これが狙いだったとは！
悔しい――不覚だ！",Joseph,,Joseph,,Joseph
