old,new,speaker,english,speaker,english,speaker
"輸送隊のおかげで、ティネス砦の
食料事情はしばらく安心！
解放軍の人たちに体力付けてもらわないとね！",,Carrie,,Carrie,,Carrie
"でも、ティネス砦は安心でも
《隠れ村ピレモス》では未だに食料不足なんだって",,Carrie,,Carrie,,Carrie
"ピレモスに残ってる人たちだって
みんな事情があってのことなのに
怖い思いをしてる上に、食料も無いなんて――",,Carrie,,Carrie,,Carrie
"輸送隊が運んできてくれた食料を
分けてあげたいけど
"ティネス砦の料理番"として
それはできないんだよね",,Carrie,,Carrie,,Carrie
"ねぇ、前みたいに私が食料を集めるから
それをピレモスに届けられないかな
あなたが手を貸してくれるなら、だけど――",,Carrie,,Carrie,,Carrie
"食料集めとピレモスへの運搬に
手を貸してくれるの？",,Carrie,,Carrie,,Carrie
"ありがとう！
――あなたなら
きっとそう言ってくれると思ってたわ！",,Carrie,,Carrie,,Carrie
それじゃあ、さっそく出発してもいい？,,Carrie,,Carrie,,Carrie
出発する,Depart,Carrie,,Carrie,,Carrie
――少し待ってくれ,...wait a little while,Carrie,,Carrie,,Carrie
"ピレモスへは山道を抜けなきゃいけないんだ
その分、山の幸が手に入るだろうから
食料を集めつつピレモスに向かえば効率もいいはず！",,Carrie,,Carrie,,Carrie
"山の魔物が出るとは思うけど――
ううん、こんなこと言ってちゃ何もできないよね！
さあ、行こう！",,Carrie,,Carrie,,Carrie
"ピレモスの人たちが
お腹を空かせてるだろうから
なるべく早めにお願いね",,Carrie,,Carrie,,Carrie
"それじゃあ、いつも通り食料を探すね
――魔物が出た時は、よろしく！",,Carrie,,Carrie,,Carrie
"よーし、この辺りで食べられそうなものは
大体集め終わったはず――
次は野営地まで行ってみようか",,Carrie,,Carrie,,Carrie
"あのさ――さっきから誰かに
後をつけられてる気がするんだけど
これってアタシの気のせいじゃないよね？",,Carrie,,Carrie,,Carrie
"魔物ならとっくに襲ってきてそうだし――
もしかして、道に迷った人とか？",,Carrie,,Carrie,,Carrie
"ちょっと気になるよね
この辺りを探してみない？",,Carrie,,Carrie,,Carrie
フゴゴ――,,Peco,,Peco,,Peco
（ゴブリンは元気が無いようだ）,,Peco,,Peco,,Peco
"（キャリーはゴブリンに
　食料を差し出そうとしている）",,Peco,,Peco,,Peco
キャリーを見守る,Watch over Carrie,Peco,,Peco,,Peco
キャリーを止める,Stop Carrie,Peco,,Peco,,Peco
"フガ！　――食ベモノ！
フグググ――！",,Peco,,Peco,,Peco
（見知らぬゴブリンは食料を受け取った）,,Peco,,Peco,,Peco
（しかし――食料に手を付ける様子はない）,,Peco,,Peco,,Peco
グガ！？　タ、食ベモノ――,,Peco,,Peco,,Peco
（がっかりしたようだ）,,Peco,,Peco,,Peco
ググ――ヨカッタ、食ベモノ！,,Peco,,Peco,,Peco
"（喜んでいるようだが
　食料には手を付けないようだ）",,Peco,,Peco,,Peco
"さっきのゴブリン――
おなか――すいてたんだよね？",,Carrie,,Carrie,,Carrie
"あんなにうれしそうに受け取ったのに
全然食べなかったね",,Carrie,,Carrie,,Carrie
"それにどこかおびえてるような感じだった
アタシたちが怖かったのかな？
その割に、食料は受け取ってたけど――",,Carrie,,Carrie,,Carrie
何か事情でもあるのかなぁ,,Carrie,,Carrie,,Carrie
"変わったゴブリンのことは気になるけど
アタシたちを待ってる人がいるもんね
先、行こっか",,Carrie,,Carrie,,Carrie
"ここら辺、魔物多いのかな
けど、何かありそうな気がするんだ――
ちょっと掘ってみる間、そばにいてね",,Carrie,,Carrie,,Carrie
"ピレモスの人たちにちょっとでも多く
食料を届けてあげたいから――",,Carrie,,Carrie,,Carrie
"食料、そこそこ集まったかなぁ
これだけあればピレモスの人たち
みんなで分けられると思う",,Carrie,,Carrie,,Carrie
"まぁ、魔物もたくさん出たけどね！
あなたがいなかったら
今頃アタシなんて魔物のえじきになってたかも――",,Carrie,,Carrie,,Carrie
"あのね――
ちょっと気になってたんだけど
"覚者"って何する人なの？",,Carrie,,Carrie,,Carrie
"砦にも兵隊さんはたくさんいるけど
みんなこの大陸の人達だし
あなたはどうして戦ってるのかなって思って――",,Carrie,,Carrie,,Carrie
白竜や仲間、この世界の人々のため,,Carrie,,Carrie,,Carrie
戦うのが好きだから,,Carrie,,Carrie,,Carrie
報酬がもらえるから,,Carrie,,Carrie,,Carrie
"そうなんだ――
じゃあいつも
誰かのために戦ってるのね",,Carrie,,Carrie,,Carrie
"あなたが強い理由――
分かった気がするな",,Carrie,,Carrie,,Carrie
"アタシもおんなじように
誰かのために
何かできる人になりたいんだ",,Carrie,,Carrie,,Carrie
"おっと――
こうしちゃいられない！
ピレモスの人達のところへ行かなきゃ！",,Carrie,,Carrie,,Carrie
"うーん――
アタシは戦えないから
よくわからないけどさ",,Carrie,,Carrie,,Carrie
"一見魔物と戦ってるように見えて
なんていうか――
"自分"と戦ってる気がするんだ、あなたは",,Carrie,,Carrie,,Carrie
""誰よりも強くなりたい"
"もっと強い敵を倒したい"
って思う自分とさ",,Carrie,,Carrie,,Carrie
"まぁ――
"戦う理由"は人それぞれだと思うけどね！",,Carrie,,Carrie,,Carrie
"こうやってでっかい袋背負って
必死に食料集めてみんなに届けるのが
アタシの"戦い"なのかも！",,Carrie,,Carrie,,Carrie
"そして――
目指す目的地はもう目の前！
さぁ――ピレモスへ行くよっ！",,Carrie,,Carrie,,Carrie
"報酬――かぁ
思ってたより結構現実的なのね
あなたって",,Carrie,,Carrie,,Carrie
"アタシ――
料理くらいしか
作ってあげられないけど",,Carrie,,Carrie,,Carrie
"明日から来なくなったり
しないよね？",,Carrie,,Carrie,,Carrie
"おっと――
あんまりここで話込んでると
ピレモスへ行くのが遅くなっちゃうね！",,Carrie,,Carrie,,Carrie
"さ、もう目と鼻の先！
みんな待ってるはずだから、行こっか！",,Carrie,,Carrie,,Carrie
"やったぁ！
ピレモスの人に渡す食料の調達と
ここまで無事運んでくること、両方できたね！",,Carrie,,Carrie,,Carrie
"ピレモスの物資管理は<NPC 2802>さん
っていう人が担当してるらしいんだ",,Carrie,,Carrie,,Carrie
"アタシは荷ほどきをしておくから
<NPC 2802>さんに
声をかけてきてくれない？",,Carrie,,Carrie,,Carrie
"アタシは荷ほどきをしておくから
物資管理担当の<NPC 2802>さんに
声をかけてきてくれない？",,Carrie,,Carrie,,Carrie
ええっ、食料の支援に来てくれたの！？,,Andrea,,Andrea,,Andrea
"――助かったわ
毎日ギリギリの生活で
もう食料が底を尽きかけてたの",,Andrea,,Andrea,,Andrea
