old,speaker,english,speaker,english,speaker
3種の宝石を集めると、より強大な竜が現れるという噂だ,Zerkin,,Zerkin,,Zerkin
さらなる大物を狙うならば、挑戦するがいい！,Zerkin,,Zerkin,,Zerkin
"噂の大物が現れたぞ！
《エルダードラゴン・ブレイズ》のおでましだ！",Zerkin,,Zerkin,,Zerkin
討伐できれば戦功をはずむぞ！,Zerkin,,Zerkin,,Zerkin
勇敢なる覚者よ、竜族を狙うのだ！,Zerkin,,Zerkin,,Zerkin
さすれば大物、エルダードラゴンをおびき出せるはずだ！,Zerkin,,Zerkin,,Zerkin
《時番》を発見したら優先的に討伐するのだ！,Zerkin,,Zerkin,,Zerkin
奴らを倒せば残り時間が延長されるぞ,Zerkin,,Zerkin,,Zerkin
おお！　ついにエルダードラゴンのお出ましだ！,Zerkin,,Zerkin,,Zerkin
覚者たちよ、戦果を目指すなら討伐だ！,Zerkin,,Zerkin,,Zerkin
