old,new,speaker,english,speaker,english,speaker
"よし！
袋がパンパンになるまで
食料も詰め込んだ！",,Carrie,,Carrie,,Carrie
“幻の食材”探し、いつでも出発できるよ！,,Carrie,,Carrie,,Carrie
"ようし！
そうこなくっちゃね！",,Carrie,,Carrie,,Carrie
"ローナには
「一週間は帰って来ないかも」
って言って大食堂任せてるから大丈夫！",,Carrie,,Carrie,,Carrie
"ブラッドに言ったら
なんかすっごく怖い顔するから
「ロスギルに出張料理番しに行く」
って言い張って来たんだ",,Carrie,,Carrie,,Carrie
"さ、あとは
あなたの準備を待つのみ！",,Carrie,,Carrie,,Carrie
"それじゃあ、出発する？
アタシはいつでも大丈夫だよ！",,Carrie,,Carrie,,Carrie
出発する,Depart,Carrie,,Carrie,,Carrie
――少し待ってくれ,...wait a little while,Carrie,,Carrie,,Carrie
"檻の場所は前とほとんど同じみたいだから
さっそくそこまで向かうよ！",,Carrie,,Carrie,,Carrie
"せっかく盛り上がったのに――！
早くしないと、“幻の食材”が
幻そのものになっちゃうよ",,Carrie,,Carrie,,Carrie
"情報提供してくれた
<NPC 4773>の話によるとね
仕掛けたエサを目当てに現れるんだって",,Carrie,,Carrie,,Carrie
"さっそく仕掛けた檻の場所を
調べて見ようよ",,Carrie,,Carrie,,Carrie
"ふぅ――
いや～、驚いたね！
あんなの初めて見たよ",,Carrie,,Carrie,,Carrie
"あんなでっかくて――
しかも、白いイノシシ！",,Carrie,,Carrie,,Carrie
"あの頑丈な檻をぶっ壊すだけあって
すっごいパワーだったし！",,Carrie,,Carrie,,Carrie
"スニーカーさんが食べたかった鍋は
作ってあげられないけど
これで“幻の食材”の謎が解けたね！",,Carrie,,Carrie,,Carrie
"さ、さっそくこのことを教えに
盗賊のアジトへ向かおう！",,Carrie,,Carrie,,Carrie
"あ！　キャリーの姐さんたち！
ちょうどいいところに！",,Sunika,,Sunika,,Sunika
"え？
“幻の食材”の正体が分かったって？",,Sunika,,Sunika,,Sunika
"俺にとっちゃあそれも大事ですが！
たった今、それどころじゃなくなって
しまいやして！",,Sunika,,Sunika,,Sunika
"姐さんたちに命がけで運んでもらった食料が――
ゴブリン一家のやつらに
根こそぎ盗まれちまったんでさ！",,Sunika,,Sunika,,Sunika
"普段ならこの俺が
一匹たりとも逃さず捕まえるとこですが
この通り、先日の足のケガで――",,Sunika,,Sunika,,Sunika
"せめて“どんくさい一匹”だけでも
捕まえられたら良かったんですがね――",,Sunika,,Sunika,,Sunika
"そいつだけ他と違う見た目で目立つし
何より盗んだ食料全部落として行っちまうほどで
――まぁ、そいつにも逃げられちまいましたが",,Sunika,,Sunika,,Sunika
"逃げた方向から察するに――
やつら、きっと“根城”にしてる
遺跡に行ったに違いありませんぜ",,Sunika,,Sunika,,Sunika
"姐さんたちにいただいた大事な食料――
どうか取り返してくれやせんか！？",,Sunika,,Sunika,,Sunika
"さっそく<NPC 4773>に
“幻の食材”の正体を伝えてあげなくっちゃ",,Carrie,,Carrie,,Carrie
"いくら腹ペコだからって
人の物を盗むなんて許せないけど――",,Carrie,,Carrie,,Carrie
"ゴブリンたちの中にいた
“一匹だけどんくさいの”って
もしかして――",,Carrie,,Carrie,,Carrie
ペコのことじゃない！？,,Carrie,,Carrie,,Carrie
"きっと、きっとそうよ！
でも、どうしてそんなことを――
悪いことする子じゃないと、信じてたのに",,Carrie,,Carrie,,Carrie
"ううん――
絶対、何か事情があるはずよ！",,Carrie,,Carrie,,Carrie
"ねぇ、お願い！
アタシを――
ゴブリン一家のとこへ連れてって！",,Carrie,,Carrie,,Carrie
"姐さんの食料盗まれちまうなんて
ほんと、どう詫びたらいいか――",,Sunika,,Sunika,,Sunika
"え？　ええ――
確かに見ましたぜ、“どんくさいゴブリン”",,Sunika,,Sunika,,Sunika
"見た目も行動も、何もかも目立って
仕方ないやつでしたが
そいつすら逃がしちまう始末で――",,Sunika,,Sunika,,Sunika
"幸い、逃げ遅れたそいつのおかげで
向かった場所が“遺跡”だと分かりやしたから
今となっては、ある意味感謝してますがね",,Sunika,,Sunika,,Sunika
"とにかく！
大事な食料、あんたと姐さんで
どうか取り返してくだせぇ！",,Sunika,,Sunika,,Sunika
"ペコ、だいじょうぶ！？
何があったの！？",,Carrie,,Carrie,,Carrie
"ボス――？
そいつがあなたをこんな目に合わせたの？
ペコがいったい何をしたっていうの
――許さない！　ぜったい許さない！",,Carrie,,Carrie,,Carrie
"フゴゴ――フグ！
（どうやら同じ仲間にやられたようだ）",,Peco,,Peco,,Peco
"ペコ――あなた――
今まであげた食料も、さっきのでっかい
ゴブリンに全部取り上げられてたのね？",,Carrie,,Carrie,,Carrie
"食料をあげてるのに、いつも怯えながら
帰っていくからおかしいと思ってたんだ",,Carrie,,Carrie,,Carrie
"――でも、これでペコも自由！
これからはお腹いっぱい食べていいんだよ！",,Carrie,,Carrie,,Carrie
"さて、アタシたちもそろそろ行こう！
盗賊さんたちに、これを届けなきゃ",,Carrie,,Carrie,,Carrie
"あ！
キャリーの姐さんたち！
良かった、ご無事で！",,Sunika,,Sunika,,Sunika
"中々戻って来られねぇもんだから
ずっと心配してやした",,Sunika,,Sunika,,Sunika
"食料も全部取り返してもらったうえに
“幻の食材”の正体まで――",,Sunika,,Sunika,,Sunika
"これまでお世話になった分も含め
このご恩、絶対に忘れることはありません
いつか――必ず姐さんたちのお役に立つと
お約束いたしやしょう",,Sunika,,Sunika,,Sunika
"ふぅ――
何とかなったねー！",,Carrie,,Carrie,,Carrie
"スニーカーさんが待ってるはずだから
早く報告しに行こう",,Carrie,,Carrie,,Carrie
"ん？　今すぐお役に立とうと思うと――
やっぱり盗みの分野なら
何でもござれですが――",,Sunika,,Sunika,,Sunika
"食料も無事に取り戻したし！
“幻の食材”の正体も分かったし！
ペコも自由になれたし！",,Carrie,,Carrie,,Carrie
何もかも、ぜーんぶ解決だね！,,Carrie,,Carrie,,Carrie
"さ！
アタシたちは砦に帰ろ！",,Carrie,,Carrie,,Carrie
"いやぁ、今日一日いろんなことがあったけど
みんなうまくいって良かったぁ！",,Carrie,,Carrie,,Carrie
"檻をぶち破って暴れ回る“幻の食材”に――
盗賊から食料を盗むゴブリンたち",,Carrie,,Carrie,,Carrie
"それから――
自由になったペコ！",,Carrie,,Carrie,,Carrie
この大食堂だってもうすぐ元通りだし――,,Carrie,,Carrie,,Carrie
"何もかも、ぜんぶ――
あなたがいてくれたおかげだね！",,Carrie,,Carrie,,Carrie
"ほんと――ほんとにね
ありがとう！",,Carrie,,Carrie,,Carrie
檻、このあたりにあると思うんだけど――,,Carrie,,Carrie,,Carrie
まだ近くにいるはずよ！　探そう！,,Carrie,,Carrie,,Carrie
檻壊して脱走したの――このでっかいイノシシ！？,,Carrie,,Carrie,,Carrie
戻ってどうするか相談しない？,,Carrie,,Carrie,,Carrie
