old,speaker,english,speaker,english,speaker
"さぁ、各地から
イケてるメンズをスカウトしてきたわ
プレゼントの準備はいいかしら",Shelly,,Shelly,,Shelly
"今年も"１人にだけ"プレゼントしてね
他の人にはプレゼントできないから
よーく考えてから渡すのよ",Shelly,,Shelly,,Shelly
"それじゃあさっそく、全員から
アピールを聞いてみましょう！",Shelly,,Shelly,,Shelly
"今年のメンズもなかなかのイケメン揃いじゃないか
まあ、シェリーちゃん的には
俺は"殿堂入り"らしくてね
はっはっはっは！",Angelo,,Angelo,,Angelo
"今年も"１人にだけ"プレゼントしてね
他の人にはプレゼントできないから
よーく考えてから渡すのよ",Shelly,,Shelly,,Shelly
"それじゃあさっそく、全員から
意気込みを聞いてみましょう！",Shelly,,Shelly,,Shelly
"その顔は、まだ誰に贈るか悩んでいるな？
じっくりゆっくり考えていいぞ",Angelo,,Angelo,,Angelo
"なんなら俺が貰ってもいいんだが
ほら～、隣にシェリーちゃんという天使がいるもので
いやぁ悪いね！　悪いね～！",Angelo,,Angelo,,Angelo
"ちゃんと気になる人にプレゼントできたみたいね
それじゃあ、今年の真に選ばれた男子が誰になるか
結果をお楽しみにね！",Shelly,,Shelly,,Shelly
"私？　私は今から
プレゼントを贈るところよ",Shelly,,Shelly,,Shelly
"誰にって――決まってるじゃない！
私にはアンジェロしかいないわ！",Shelly,,Shelly,,Shelly
"いやぁ、結果が楽しみだなぁ～！
ふっふっふ、そりゃあ余裕だよ
シェリーちゃんの一番は俺に決まってるからね",Angelo,,Angelo,,Angelo
"またコレか！
この手の祭りが始まると
エリオットがヤケにはりきりやがる
きっとまたうるせぇことになるぞ",Gurdolin,,Gurdolin,,Gurdolin
"それにしても、ここにずっと座ってるのも
なかなか辛いもんだぜ
この季節だからよ、風が冷てぇんだ",Gurdolin,,Gurdolin,,Gurdolin
"はぁ――で、お前も何か用意してんのか？
なんだよ、聞いてみただけだろうが",Gurdolin,,Gurdolin,,Gurdolin
"俺んところに持ってくるってなら
断る理由は無いけどよ",Gurdolin,,Gurdolin,,Gurdolin
"ここに呼ばれちゃ、誰が１位かって
"いつもの"賭けがやりにくいぜ",Gurdolin,,Gurdolin,,Gurdolin
"もしかして、ジョゼフあたりの策略か？
ここに俺の席を用意して
大人しくさせようって魂胆じゃねぇだろうな",Gurdolin,,Gurdolin,,Gurdolin
