old,speaker,english,speaker,english,speaker
"あぁ――覚者さん
最近、ずっと考えているんです
家族が見つかったら、何をしてあげようかって――",Sara,,Sara,,Sara
"きっとここまで来るのに
いくつも恐ろしい目に遭ったでしょうから
何でもいい――何かもてなしてあげたくて",Sara,,Sara,,Sara
"――贈り物
そう、贈り物をしたらいいんだわ――",Sara,,Sara,,Sara
"あの、覚者さん
《<QDEL NAME 0 3>》を
何とか調達できませんか？
きっとそれで、少しは気が紛れるはず――",Sara,,Sara,,Sara
"あの、覚者さん
良ければ――《<QDEL NAME 0 3>》を
調達してきて下さらないでしょうか",Sara,,Sara,,Sara
"家族と会えてからのこと――
幸せな未来のことを考えていないと
頭がおかしくなりそうなんです",Sara,,Sara,,Sara
"覚者さん――？
まぁ、お願いしたものを
持ってきてくださったんですね
ありがとうございます",Sara,,Sara,,Sara
"これで――
あと足りないのは、安全くらいでしょうか",Sara,,Sara,,Sara
"そういえば、最近＜<STG 1024>＞が
開いたそうですが
魔物も行き来するようになったそうですね",Sara,,Sara,,Sara
"もし＜<STG 1024>＞が開いたことを
知らない私の家族が近くを通ったら――
あぁ、恐ろしい想像をしてしまいます",Sara,,Sara,,Sara
"お願いです
あの場所に凶暴そうな魔物がいたら
退治してきてくださいませんか？",Sara,,Sara,,Sara
"もし＜<STG 1024>＞が開いたことを
知らない人が近くを通ったら――
あぁ、恐ろしい想像をしてしまいます",Sara,,Sara,,Sara
"お願いです
あの場所に凶暴そうな魔物がいたら
退治してきてくださいませんか？",Sara,,Sara,,Sara
"万が一、私の家族があの辺りを通って
魔物に襲われたらと思うと
胸がつぶれそうで――
どうか、お願いします",Sara,,Sara,,Sara
"＜<STG 1024>＞にいた魔物は
倒してきてくださったんですね？
それじゃあ、あの辺りはもう
安全なんですね？",Sara,,Sara,,Sara
"よかった、これで少しは気持ちが落ち着きました
家族を探すのに集中できます――",Sara,,Sara,,Sara
