old,new,speaker,english,speaker,english,speaker
レオの使いを名乗る者が来た,A person who claims to be a messenger for Leo has come.,Joseph,,Joseph,,Joseph
"準備を整えたレオが待っているから
来てくれとのことだ","They said Leo is ready, and waiting for you to arrive.",Joseph,,Joseph,,Joseph
"場所は禊の神殿だ
勝手知ったる場所だろうが用心は怠るな？","That place is the Temple of Purification, as you are
well aware, but yet you are not even a bit discouraged?",Joseph,,Joseph,,Joseph
"黒騎士の魔手からセシリーを
守る力が得られるのであれば
レオに関してはもう何も言うまい","If you are able, gain the power to protect Cecily
from the Black Knight's evil influence.
As for Leo, I have nothing to say about that matter.",Joseph,,Joseph,,Joseph
"大急ぎで調べたんだけど、竜の泪のことは
手掛かりすら掴めない――","I quickly examined it, but I have no clue what these
""Tears of the Dragon"" are...",Klaus,,Klaus,,Klaus
"ああ！　完全にお手上げだ！
いやいや待て待て――","Ah! I give up!
No no no wait...",Klaus,,Klaus,,Klaus
"今、どんな状況？
レオからの連絡はあったの？","Now, what is the situation?
Have you got in contact with Leo?",Lise,,Lise,,Lise
レオは必ずやってくれると信じてますよ、俺,I believe Leo will surely do it.,Elliot,,Elliot,,Elliot
"あなたがセシリーを助けてくれるって
言う人が大勢いるの","There are a lot of people saying you will help
Cecily.",Pamela,,Pamela,,Pamela
"実はわたしもそのひとり
期待が重たいかもしれないけど――
頑張ってね","Actually, I am one of them.
Although my expectations may be a high order,
I wish you good luck.",Pamela,,Pamela,,Pamela
"いつもお願いばかりでごめんなさい
でも、やっぱり、お願いするしかないの","I'm sorry to always ask things of you.
Nevertheless, as expected, all I can do is ask.",Mayleaf,,Mayleaf,,Mayleaf
セシリーを助けてあげて！,Please help Cecily!,Mayleaf,,Mayleaf,,Mayleaf
"これでダメならもう他に方法が――
いや、良い結果だけを考えることにするよ","Although, if there is no way to...
No, I will only hope for the best.",Loeg,,Loeg,,Loeg
"レオの言うとおり、力が手に入るのかもしれんが
わけのわからん力で身を滅ぼすなよ？","As Leo said, it may be an ordeal to acquire that force.
What if such a force could destroy you?",Gurdolin,,Gurdolin,,Gurdolin
（呼吸がひときわ深くなったようだ）,(Their breathing seems to have become noticeably deeper.),Cecily,,Cecily,,Cecily
気が急くか？　ああ、俺もだ,"Do you feel a need to hurry? Ah, I do as well.",Leo,,Leo,,Leo
俺達の望む力はこの先だ,The force we seek is just ahead of us.,Leo,,Leo,,Leo
"ああ――この時を俺は待ちわびていた
さあ、共に戦い手に入れよう","Ah...I was waiting for this time to come.
Now, let us fight as one.",Leo,,Leo,,Leo
"欲にまみれた愚か者め――
身の程を知るがよい――","Fool who is covered in desire...
Know your place...",Phantasmic Great Dragon,,Phantasmic Great Dragon,,Phantasmic Great Dragon
怯むな――これは白竜ではない！,Do not hesitate...This is not the White Dragon!,Leo,,Leo,,Leo
ふん、ずいぶん腕を上げたな,"Hmm, I raised my arms a fair bit there.",Leo,,Leo,,Leo
おい、少しは遠慮しろ,"Hey, hold on a moment.",Leo,,Leo,,Leo
ほう――見違えたな,Hoho...I hardly recognize you.,Leo,,Leo,,Leo
まだまだ負けないさ,I won't lose just yet.,Leo,,Leo,,Leo
おまえの初陣、思い出したぞ,"Your first battle, I remember it.",Leo,,Leo,,Leo
さあ、竜力を切り取ってやろうではないか！,"Come now, let us cut out the dragon's force!",Leo,,Leo,,Leo
竜力の継承は覚者の正当なる権利だ！,"The inheritance of the dragon force is the rightful
privilege of the Arisen!",Leo,,Leo,,Leo
竜から得た力で、竜の敵を倒すのだ！,"Vanquish the enemies of the dragon with the power
the dragon has granted you!",Leo,,Leo,,Leo
くっ――オレは思い上がっていたのか？,Ugh...was I so conceited?,Leo,,Leo,,Leo
強い――とてつもなく強いぞ――,Strong...So unbelievably strong...,Leo,,Leo,,Leo
引くな――勝敗を決めるのは意志の力だ,Pull through...Sheer willpower will decide the outcome.,Leo,,Leo,,Leo
"おまえが手に入れた力は竜力で
それは癒やしの力――","The power you have acquired is a dragon's force,
and it has a latent healing power...",Gurdolin,,Gurdolin,,Gurdolin
"俺ならセシリーの目を覚ましてやることに使うね
勝てるかどうかわからねえ黒騎士にぶつけて
おまえがやられたら目も当てられねえ","I'll try to use it to awaken Cecily.
I don't know if I can ",Gurdolin,,Gurdolin,,Gurdolin
"どうなっているの？
何か進展はあったの？","What's happened?
Have you made any progress?",Pamela,,Pamela,,Pamela
"セシリーの息が遠くなったよ？
大丈夫だよね？","Cecily's breathing is getting worse?
Are they not okay?",Mayleaf,,Mayleaf,,Mayleaf
"セシリーの呼吸の間がひときわ長くなってきている
もうあまり時間がない――","Cecily's breaths are getting longer and longer.
We do not have much time left...",Loeg,,Loeg,,Loeg
おかえり、隊長！,"Welcome back, Captain!",Lise,,Lise,,Lise
隊長――みんな待ちわびてます,Captain...everyone is waiting.,Elliot,,Elliot,,Elliot
"へぇ――
俺の意見が通るとはね","Really...
Pass my opinion on.",Gurdolin,,Gurdolin,,Gurdolin
良かった――ああ、本当に良かった,"It was great...Oh, it was really great.",Cecily,,Cecily,,Cecily
隊長、やったね！,"Captain, you did it!",Lise,,Lise,,Lise
"セシリー、記憶も戻ったって言ってましたよね！？
こりゃ、凄いことですよ！",,Elliot,,Elliot,,Elliot
"元気な若い娘ってのは
やっぱりどうにも苦手だぜ",,Gurdolin,,Gurdolin,,Gurdolin
まあ、死にそうなのよりずっといいけどよ,,Gurdolin,,Gurdolin,,Gurdolin
わたしが死にかけているあいだのこと――,,Cecily,,Cecily,,Cecily
"隊長さんと皆さんがしてくださったことを
聞かせてくださいね",,Cecily,,Cecily,,Cecily
やっぱりあなたはただ者じゃないわね！,,Pamela,,Pamela,,Pamela
"これでわたしも安心して眠れる～！！
あ――眠くなってきちゃった――",,Mayleaf,,Mayleaf,,Mayleaf
"竜の泪について何も分からないなんて
口惜しくてね",,Klaus,,Klaus,,Klaus
"レオの行動から推理して、ドリード城の書庫に籠もり
必死で調べたんだ",,Klaus,,Klaus,,Klaus
"セシリーはフィンダム大陸の覚者――
精霊竜の覚者か――",,Joseph,,Joseph,,Joseph
"我々は、フィンダムの覚者――やがて竜となる
“選ばれし者”を匿っていたというわけか！",,Joseph,,Joseph,,Joseph
"しかしこのレスタニア、今は白竜と黄金竜の
二竜が生きる常ならぬ事態",,Joseph,,Joseph,,Joseph
"そこに新たな竜が加わるとなれば
いったいどうなってしまうのか――",,Joseph,,Joseph,,Joseph
"セシリーには悪いが、フィンダムに
帰ってもらうにはどうしたら良いか
我々も知恵を絞り出さねばならんな",,Joseph,,Joseph,,Joseph
