old,new,speaker,english,speaker,english,speaker
"ピレモスの食料支援も順調順調♪
準備できたから行きたいな！",,Carrie,,Carrie,,Carrie
"よーし！
そうこなくっちゃね！",,Carrie,,Carrie,,Carrie
"アタシはいつでも大丈夫だから
準備できたら声かけてね！",,Carrie,,Carrie,,Carrie
"あ！もう準備できた？
それじゃあさっそく出発したいけど
ピレモスまでの道だけど――",,Carrie,,Carrie,,Carrie
"《穏やかな野原》は、砦の近くだし
何度か行ってて安心！
あんまりたくさんの食料は見つからないけどね",,Carrie,,Carrie,,Carrie
"《険しい山道》は、人通りも少ないし
なんだか手強い魔物が出そうだよ――
その分手付かずの食料はたくさん見つかるかも！",,Carrie,,Carrie,,Carrie
どっちに行くかは、あなたが決めて！,,Carrie,,Carrie,,Carrie
《穏やかな野原》（かんたん）,"""Calm Field"" (Easy)",Carrie,,Carrie,,Carrie
《険しい山道》（難しい）,"""Steep Mountain Path"" (Hard)",Carrie,,Carrie,,Carrie
"やっぱり、誰でも危ない橋は渡りたくないよね！
野原に橋は掛かってないけど！",,Carrie,,Carrie,,Carrie
"それじゃあ
散歩気分でフラっと出発！",,Carrie,,Carrie,,Carrie
"何かを得るためには、冒険しないとね！
手ごわい魔物――出ないといいなぁ",,Carrie,,Carrie,,Carrie
"あなたの後ろ
ピタっと張り付いてくからヨロシクね！",,Carrie,,Carrie,,Carrie
ちょっとこのあたりで食料さがしてみるね！,,Carrie,,Carrie,,Carrie
"ここはもう何もなさそうだね
ここから近い場所は――と",,Carrie,,Carrie,,Carrie
"《ブタの鳴く丘》は、魔物が出ることはあるけど
あなただったら“朝メシ前”かな！
食料は、あの子たちが食べてるからそんなにないよ！",,Carrie,,Carrie,,Carrie
"《野営地の外れ》は
魔物がよくいるから注意は必要だけど
それなりに食料もありそうだね",,Carrie,,Carrie,,Carrie
"うーん、今持ってる食料はこれだけあるけど
どっちがいいかな？",,Carrie,,Carrie,,Carrie
《ブタの鳴く丘》（かんたん）,"""Pig Oinking Hill"" (Easy)",Carrie,,Carrie,,Carrie
《野営地の外れ》（ふつう）,"""Camp Outskirts"" (Normal)",Carrie,,Carrie,,Carrie
"あなたって意外と
“地道にコツコツ派”
なんだねー",,Carrie,,Carrie,,Carrie
"お！
やっぱ食料、狙いたいよね！",,Carrie,,Carrie,,Carrie
"魔物に追っかけ回されたけど
隙を見て食料集めといたよ！",,Carrie,,Carrie,,Carrie
"ある程度なら、走りながらでも
食料探せるんだよね――アタシ！",,Carrie,,Carrie,,Carrie
"あ、そうそう！
ピレモスに行く前に
檻を見に行かない？",,Carrie,,Carrie,,Carrie
"ローナに罠を仕掛けてもらったからさ
何か捕れてるかもしれないし！",,Carrie,,Carrie,,Carrie
"ブタさんたちものんびりお食事中だし
今の所魔物、いなさそうだね",,Carrie,,Carrie,,Carrie
"よし！　食料探すよ！
ブタさんの嗅覚に、負けてられない！",,Carrie,,Carrie,,Carrie
"うーん、少しは食料見つかったけど
やっぱブタさんたちの方が上か！",,Carrie,,Carrie,,Carrie
"中でも三兄弟の二男坊“ミディ”は
食いしん坊だからね――",,Carrie,,Carrie,,Carrie
"ほら、あそこの一番まるっとした子！
あの子が“ミディ”で、あとは――",,Carrie,,Carrie,,Carrie
"いけない！
こんなことしてる場合じゃないよね！
檻の様子見て来て欲しいって頼まれたんだった！",,Carrie,,Carrie,,Carrie
"ローナが罠を仕掛けてくれてさ
何か捕れてるかもしれないって！
ピレモス行く前にちょっと寄って行こ！",,Carrie,,Carrie,,Carrie
"魔物に追っかけ回されたけど
隙を見て食料集めといたよ！
さて、ここから先だけど――",,Carrie,,Carrie,,Carrie
