old,speaker
"これほど戦況が変化しても姿を見せないとは
悪しき竜め、いったい何を考えているのか
皆目見当がつかんわ",Joseph
ここからの戦略は判断が難しいと思うよ,Klaus
"解放軍全体にみなぎる力と勢いを
どう評価するかだよね",Klaus
"僕が指揮官なら君たちの活躍を見込んで
次から次へと――",Klaus
"いや、ごめん
現場のことなんて何も知らないのに――",Klaus
"悪しき竜も動き出す頃合いだろう
その動向、見誤るなよ",The White Dragon
おかえりなさい、レスタニアの皆さん,Nedo
"皆さんのお力添えで見事取り戻したこの展望城を
ぜひご案内したいところですが",Nedo
"まずはメイロワ将軍から取り急ぎ、皆さんに
お話があるそうです",Nedo
"よく戻ってくれた、レスタニアの覚者たちよ
早速だが聞いてくれ",Meirova
"展望城を手に入れた我々が
次に目指すは王都メガド――",Meirova
"メガド突入のため
まずは北の地へ侵攻し、足掛かりを作らねばならん",Meirova
"それには城の背後にそびえ立つ険しい岩山を
縦断する必要があり、これは悩ましい問題で
あったが、解決の目処が立ったところだ",Meirova
"幸いなことに、城で飼育されていた使役獣が
従順な奴でな、こいつがおぬしらを乗せて
山を越えてくれるだろう",Meirova
"北の地とは、久しく連絡が途絶えており
どのような状態にあるか分からん",Meirova
"であるからして、まずは、おまえたちに
先に向かってほしいのだ",Meirova
"ジリアンらと行動を共にして欲しい
使役獣の乗り場で合流してくれ",Meirova
"一度にしゃべりすぎたか？
簡単に言うと、北の地に王都メガド攻略の
拠点を確保したいということだ",Meirova
"ジリアンと一緒に行ってくれ
使役獣乗り場は地図で確認できるはずだ",Meirova
使役獣に乗ったことはありますか？,Nedo
"ああ、初めてですか！
楽しいですよ
僕が保証します！",Nedo
"奪われた領地を取り戻すのもいいが
悪しき竜対策も考えないとね",Bertha
"ロスギルの村が落ち着いたから
戻って来たんだ",Gillian
"イェルハルド、なんだか若返ったみたいで
わたしの出番はなさそうだしね",Gillian
"そしていきなり使役獣さ
久しぶりだから緊張するよ",Gillian
"俺たちが行くのはいつだってギスギスした
無愛想な道だろ？",Gurdolin
今回も、快適にはほど遠いだろうな,Gurdolin
うれしいな、ついに使役獣に乗れるよ！,Lise
"使役獣はそりゃ楽しみですけど
いったいどんなところを通るんでしょうね",Elliot
もし敵襲になったらわたしを守ってくださいね,Lotta
