old,speaker
"ああ、あんた、覚者さんだろ？
知ってるさ、有名人だからな",Jan
"でも俺だってその筋じゃそれなりに有名なんだぜ？
勘の鋭さなら、王都内で
俺の右に出るヤツはいないね",Jan
"そんな俺の勘が、さっきから
ビンビンと告げてるのさ
――魔物どもがこの王都を目指して
迫りつつある、ってな",Jan
"ようやくメガドを取り戻せたってのに
また戦乱に巻き込まれるのはゴメンだぜ",Jan
"覚者さんよ、あんた
俺が今から言う場所に行って
ちょいとそいつらを退治してきてくれよ
いいだろ？",Jan
"俺の勘がさっきから告げてるのさ
――魔物どもがこの王都を目指して
迫りつつある、ってな",Jan
"覚者さんよ、あんた
俺が今から言う場所に行って
ちょいとそいつらを退治してきてくれよ",Jan
"俺は一緒には行けねぇぜ
適材適所ってやつだ
俺は索敵、あんたは戦闘
――それじゃ頼んだぜ",Jan
"な？　俺の言ったとおり魔物が迫ってきてただろ？
そいつを全部やっつけてきちまうんだから
あんたもたいしたもんだ",Jan
"それにしても、街の外からだけじゃなく
《<STG 462>》や《<STG 463>》からも
魔物が迫りつつあったとはな",Jan
"さすがの俺も想定外で察知が遅れちまった
現状に満足せず、まだまだ精進しないとな
覚者さんよ、お互いにせいぜい頑張ろうぜ",Jan
