old,speaker,english,speaker,english,speaker
――――ン？,Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
"―――ナんカ、ヨウカ？
寄るナ、ニンゲン――",Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
―――,Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
―――――,Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
"―――もしかして、気付かれた？
チッ――よりによって、覚者に見つかるとはね
キミと話してるの、他のゴブリンに見られたく
ないんだけどな",Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
"その顔――タダじゃ立ち去ってくれないようだね
なら、一個だけ情報をあげるから、協力してよ",Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
"さっきゴブリンたちが噂してたんだけど――
《盗賊の隠れ家》に突然魔物が住み着いたらしい",Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
"盗賊の隠れ家だってさ――お宝の匂いがするよね
だけど私は今戦えない、そこでキミの出番だ
魔物の討伐――受けてくれるよね？",Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
"行ってきてくれたんだね、どうだった？
――なんだ、近くの魔物が迷い込んできただけか
こっちは――まぁ、大した収穫はなかったよ",Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
"それにしても、邪険にして悪かったね
そうだ、お詫びに旅で見つけた良い物あげるよ
気に入ってくれると嬉しいな",Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
"ちょっと――いつまでここにいるつもりかな？
私はここで、まだ情報を集めたいんだ
キミが今行くべきは《盗賊の隠れ家》、だろう？",Suspicious Goblin,,Suspicious Goblin,,Suspicious Goblin
