old,speaker
"そうそう！
ちょうどいいところに来てくれたね！",Eugene
"ここらの商売敵に対抗するために
売り物を充実させようと思ってるんだけど
どうしても手に入らないものがあってね――",Eugene
"そこで、といっちゃなんだけど
良かったら手伝ってもらえないかと
思ってさ",Eugene
"覚者さんほどのお人なら、きっと楽に
集めて来られるもののはずさ",Eugene
"どうしてもあたし一人だと集めきれなくてね
ほら、このか細い腕じゃ――
なんてね、あははは！",Eugene
"だけど、中々集められなくて
本当に困ってたんだ
覚者さんが手伝ってくれるなら
こんなに心強いことはないよ",Eugene
"まぁまぁ、これは助かるよ！
覚者さんのおかげで商売繁盛間違いないね",Eugene
"ついでと言っちゃなんだけど――
坑道の奥深くに、今後の仕入れのために
どうしても邪魔な魔物がいるんだよ――
こっちもどうにかならない？",Eugene
"続けてのお願いで悪いね
報酬はもちろん大盤振る舞いするから
どうにかよろしく頼むよ",Eugene
"あんな視界の悪い中に魔物がいたら
命がいくつあっても足りないよ
素材を採りに行くには
到底割に合わないってものさ",Eugene
"いやぁ助かったよ
これでウチの店の未来も明るいね！",Eugene
"覚者さんも、キノザに立ち寄った時には
是非あたしの店で買い物してってね",Eugene
