old,new,speaker
来てくれたか――,,Mephis
"覚者、その――
戦う前にひとつ、謝りたいことがある",,Mephis
実は――,,Mephis
"<NPC 681>を倒す目的は
オークと癒着し、メガドを陥落させた
アッカーの敵だからだと
お前にずっと言っていた――",,Mephis
"だが、国のためだけに命をなげうてるほど
俺はできた人間じゃない
本当は――<NPC 681>に復讐したいことがあるんだ",,Mephis
"<NPC 681>の兄――
エミル侯爵の仇討ちだ",,Mephis
"俺は、エミル侯爵が作った救済院で育った
血の繋がりは関係なく、本当の家族のように――
いつかあの方のお役に立つために
騎士になるという夢もあった",,Mephis
"それを全て奪ったのが<NPC 681>だ
エミル様を殺し、故郷を奪った罪を償わせたい
――それが俺の本心だ",,Mephis
"騙すようなことをすまなかった
だが――頼む
もう少しだけ、力を貸してくれ",,Mephis
"この作戦は、今までとは違い全面衝突になる――
<COL ff2600>戦力に不安がある場合は、手練れの戦徒を
連れていくのも良いだろう<COL ff2600></COL>",,Mephis
あー、その――,,Mephis
力を貸してくれるのか？,,Mephis
はい,Yes,Mephis
いいえ,No,Mephis
そうか――,,Mephis
いいのか――？,,Mephis
"そうか――
ありがとな",,Mephis
"この作戦は、今までとは違い全面衝突になる
戦力に不安がある場合は、手練れの戦徒を
連れていくのも良いかもしれないぞ",,Mephis
"それじゃあ
始めるか、最後の集会",,Mephis
"いやぁ、緊張するな！
――え？",,Basit
"俺は戦わないぜ！
あのナイフは飾りだ、飾り！",,Basit
"がんばって！
――うーん、違うな",,Karen
がんばろうね！,,Karen
"いざという時のために
姉さんたちに手紙を遺してきたんだ",,Shem
"よし――うん、大丈夫
覚悟はできてる",,Shem
"俺は――
この日のために生きてきたって感じだ",,Jan
"大げさだって？
自分を奮い立たせるのは大切だぜ",,Jan
"なんだか実感湧きませんね～
本当にわたしたちが<NPC 681>さまを捕えれば
メガドは良くなるんでしょうか？",,Muget
"――ま、でも今さら後には引けませんし
とりあえず、襲ってくる敵を
ぜーんぶ薙ぎ払えばいいんですよね？",,Muget
"僕は戦いたくなかったから
情報兵になったんだけど――
剣の稽古くらい、しておけばよかったと
今は思うよ",,Raksha
"傍で見届けることはできないけど――
武運を祈ってるよ",,Raksha
"だいじょうぶ――だいじょうぶ――
覚者さんもみんなも
無事に帰ってきてくれるはず",,Esen
"わたし、カレンさんと
美味しいごはんいっぱい作って待ってるね",,Esen
え、なになに――！？,,Esen
作戦は、こうだ――,,Mephis
"まず、セムたちが<STG 473>の内外で騒ぎを起こし
警備兵たちを陽動する",,Mephis
"その後、俺と覚者が屋敷内に潜入して
囚われている人々を解放する――
オークがいる可能性もあるから、なるべく隠密にな",,Mephis
"そして最後に、警備兵どもを撒いたセムたちと
合流し――<NPC 681>を縛り上げる",,Mephis
――いいな？,,Mephis
大丈夫よ、きっとなんでもないわ――,,Karen
"こっちも一応、戦える構えはしておくよ
覚者さんは外の様子を見てきてくれる？",,Shem
なんだ――やけに外が騒がしいな,,Mephis
"どこぞの酔っ払いが騒いでいるだけだろうが
不安要因はできるだけ取り除こう
覚者、すまんが様子を見てきてくれないか？",,Mephis
なんか――聞き覚えのあるような――,,Basit
"嫌な予感がするね――
こういうときの僕の勘は当たるんだ",,Raksha
"ちょっと、なんなんです～？
パーティーならよそでやってほしいですね",,Muget
おいおい、勘弁してくれよ――,,Jan
"覚者さん――！！
メフィスさんが、メフィスさんが！",,Karen
"――――
――ダメね、しっかりしなきゃ",,Karen
"あのね、覚者さん――
さっき覚者さんが外へ出たのと同じときに
裏から回り込んだ憲兵が襲ってきて――
メフィスさんがさらわれたの！",,Karen
"それでね――
“誰かが欠けたとしても、作戦は遂行する”
ってメフィスさん、言っていたでしょ？",,Karen
"だから、セムたちは<STG 473>の方へ
向かっていったわ
あなたもすぐ、彼らを追って――！",,Karen
覚者さん、来てくれたんですね！,,Shem
"まさか、この作戦をメフィスさん抜きで
進めることになるのは予想外だったけど――
でも、やらなくちゃいけませんよね",,Shem
"ここは任せて中に入ってください、覚者さん
囚われた人と――メフィスさんを探してください！",,Shem
あんたも来たか！,,Jan
"俺も作戦通り、奴らを引き付けながら
屋敷の中を探ってみたんだが
どうやら、メフィスは牢に囚われているみたいだな",,Jan
"ここは俺に任せろ――
あんたはメフィスを助け出してくれ！",,Jan
覚者さん、遅かったですね～,,Muget
"メフィスさんはどうやら
1階の怪しい扉の向こうにいるようです",,Muget
"わたしは作戦通り
こいつらを引き付けてますので
覚者さんは彼を助けに行ってくださいます？",,Muget
"あぁ、覚者さん！
大変なことになっちまったな――",,Basit
"いてて、すまない――
突然憲兵が雪崩れ込んできて
あれよあれよという間にこんなことになってしまった",,Raksha
"でも――きっと、君やメフィスくんなら
なんとかできる――
勝手だけど、そう信じさせてくれ",,Raksha
め、メフィスさんが――メフィスさんが――,,Esen
"――ううん！
大丈夫だよね、きっと
あんなに強いんだし！",,Esen
"覚者さん、作戦開始なんですよね？
応援してます、あたし――
みんなが帰るまで、ここで待ってるから！",,Esen
"クク――
その死体が、俺だとでも思ったか？",,Mephis
"この屋敷は、昔よく遊びに来ていた――
牢屋の鍵開けは久しぶりだが
まだ腕は鈍っていなかったみたいだな",,Mephis
"――助けに来てくれたんだろう？
ありがとな",,Mephis
"どうやら、そこにある看守の間に
屋敷の鍵番もいるらしいんだが
一人で挑むには荷が重くてな――
だが、俺たち二人なら恐れるに足らん",,Mephis
"<NPC 681>の待つ執務室には
鍵がかかっているはずだ
鍵番から鍵を奪えば、開けられるようになるだろう",,Mephis
"その足音――覚者か？
おい、こっちだ！",,Mephis
"メフィスは牢屋にいるらしいぞ！
　　　　あんたは、メフィスを探してくれ！",,Jan
"よし、屋敷の鍵は手に入れたようだな
これで執務室へ入れるはず――
――そこに、<NPC 681>もいるはずだ",,Mephis
――――,,Mephis
"――――
――",,Mephis
"ついに奴を仕留められるのか――
気を引き締めて行こうぜ",,Mephis
"相棒――俺たちはついにここまで辿りついた
最後にもう一度だけ、力を貸してくれ！",,Mephis
"ナヴィド！
貴様はメガドの街を、民を、アッカ―シェランの誇りを
汚らわしいオーク共に売り払ったんだ！",,Mephis
エミル様を――実の兄を、どうして！,,Mephis
"メフィス――
兄上の足元に、いつも纏わりついていた
あのガキが私に復讐だと――？",,Navido
"くだらん――
なんと愚劣で、無意味で、稚拙な動機だ！
復讐だと？　そんなことのために
私を引き摺り下ろすというのか！",,Navido
"私がどれだけこの街――そして人々に
貢献したか分かっているのか？",,Navido
"私が危険を冒してオークと交渉しなければ
愚鈍な民どもは無謀な戦いの末、全滅していた！
なぜメガドはここまで早く復興した？
私がオークから掠めた隠し金があったからだ！",,Navido
"その私を――国賊として捕えるというのか？
覚者――貴様はそれが正しい道だと
思っているのか？",,Navido
――――,,Navido
"――――
――ウグゥ",,Navido
貴様ら――貴様ら全員！,,Navido
悪しき竜の炎に焼かれるがいいわ！！！,,Navido
――<NPC 681>はどこへ隠れやがった？,,Mephis
――――――,,Mephis
"――――――
――――",,Mephis
"こいつを縛りあげて王国裁判所に突き出せば
しかるべき罰を受けることになるだろう",,Mephis
"執政者がいなくなった街は一時、混乱するだろうが
すぐ誰かが爵位を継いで収まるだろうさ
――前だってそうだったんだ",,Mephis
"なぁ――奴にも奴なりの正義があったのかもしれない
だが、俺達が勝った――
だから、正しいのは俺達なんだ
お前のお蔭だよ、相棒",,Mephis
"さぁ、戻ろうか――
きっと皆もお前に礼が言いたいはずだ",,Mephis
"覚者、俺はこの任務が終わったら
メガドを去ろうと思っていた――
だが、気が変わった",,Mephis
"<NPC 681>のいなくなった後の侯爵家を――
エミル様の家を、陰から支える
“暗躍者”が必要になりそうだからな",,Mephis
"覚者、お前は――
これからもアッカー王家に手を貸すんだろう？
それなら、たまには会いに来いよ",,Mephis
"集会所も、屋敷も残ってる――
そうだ、今度は昼に来いよ
寝込みをオークが襲うってこともない
きっと、新しい侯爵もお前なら歓迎するだろう",,Mephis
――――,,Mephis
――ここまで、付き合ってくれてありがとな,,Mephis
また、会えるのを楽しみにしてるぜ――相棒,,Mephis
"なんだか、メフィスさん――
嬉しいと言うよりは
胸のつかえが下りてスッキリしたような
そんな顔してますね",,Shem
きっとあなたのおかげです、覚者さん,,Shem
"また酒場の店員に戻るのかぁ――
って思うと、なんだかちょっと寂しいかも？",,Karen
覚者さんも、たまには遊びに来てくださいね！,,Karen
アツい戦いだったな――,,Jan
"あんな強い想い――使命感っていうのかな
盗賊って仕事柄、生きるのに手一杯で
そういうのとは無縁だったからさ",,Jan
良い経験だったよ――ありがとな,,Jan
"はぁ～
<NPC 681>ったら、よくあんな臭いを
我慢できますねぇ",,Muget
"とにかく、これでわたしは
大手を振って街を歩けるように
なったんですよね",,Muget
うふふ、お役にたてたなら幸いです,,Muget
"うん――いい朝日だね
新しい門出に、ぴったりの天気だ",,Raksha
"僕は侯爵家に身を寄せることにしようかな
ほら、もしかしたらエミル様の遠縁にでも
幼い子供がいて、オークの言葉に精通した家庭教師が
必要になるかもしれないだろう？",,Raksha
誰も死ななくて、本当に良かった――,,Esen
"これからのことは不安だけど
レジスタンスに入ると決めたときや
夜中に、みんなが帰るのを待っていたときの
ことを思い出せば――",,Esen
きっとどんなこともへっちゃらだよ,,Esen
ううぅぅ――――,,Navido
"ふぁぁ――
いやいや、さすがだな
激戦を戦い抜いて、それだけピンピンしてるとは",,Basit
"さぁて、俺はどうしようかな
憲兵隊も解散することだし
晴れて自由の身になった訳だけど――",,Basit
"なぁ、恩賞ってことで
侯爵家で世話になれたりしねぇかな？",,Basit
"あんた、やっぱり――！
来てくれたんだな、信じてたぜ",,Jan
"ごほ、ごほっ
あぁ、大丈夫だ大したことはない
ここは埃っぽくてな――",,Jan
気にせず、<NPC 681>の野郎をとっちめてくれ,,Jan
あ、あなたは――！,,Lady of the Night
"あたしたちを助けに来たっていうの？
――ありがとう
これで自由の身なのね",,Lady of the Night
"おお、覚者さん！
やっぱり正義の味方は最高だ！
絶対助けに来てくれると思っていたよ",,Thug Leader
"いやぁ、酷い目に遭ったよ――
まさか侯爵や憲兵があんな奴だったとはな
覚者さん、やっつけちまってくれ！",,Thug Leader
おお、あなたは息子のお友達の――！,,Vernon
"わざわざ迎えに来てくださって
ありがとうございます
ここは酷く寒くて老体にはこたえますわい",,Vernon
"ふふふふ――
英雄サマが哀れな囚人たちを
解放しに来てくれたって訳かい",,Johoya
"これから<NPC 681>に会いに行くんだろう？
知っていると思うけど、ヤツはオークの兵を
手駒にしている――気を付けるんだよ",,Johoya
