old,speaker,english,speaker,english,speaker
"嘆願書がたまっているのだが――
また頼めないだろうか",Joseph,,Joseph,,Joseph
"少々遠い村からの依頼でな――
そういう場所の実状を知っておくのも
大切なことだ",Joseph,,Joseph,,Joseph
"誓願の内容は魔物退治と陳情だ
しっかり話を聞いてくるんだな",Joseph,,Joseph,,Joseph
"嘆願書がたまっているのだが――
また頼めないだろうか",Joseph,,Joseph,,Joseph
"少々遠い村からの依頼でな――
そういう場所の実状を知っておくのも
大切なことだ",Joseph,,Joseph,,Joseph
"誓願の内容は魔物退治と陳情だ
しっかり話を聞いてくるんだな",Joseph,,Joseph,,Joseph
"魔物はそこそこ強く、数も多いらしい
油断は禁物だぞ",Joseph,,Joseph,,Joseph
"嘆願書がたまっているのだが――
また頼めないだろうか",Joseph,,Joseph,,Joseph
"少々遠い村からの依頼でな――
そういう場所の実状を知っておくのも
大切なことだ",Joseph,,Joseph,,Joseph
"誓願の内容は魔物退治と陳情だ
しっかり話を聞いてくるんだな",Joseph,,Joseph,,Joseph
"魔物はかなり数が多いらしく――
しかも、どちらかと言えば強い部類らしい
心して、戦ってくれ",Joseph,,Joseph,,Joseph
"おいおい、神殿から来た覚者さんかよ
嘆願書ってこっからでも届くんだな",Jordan,,Jordan,,Jordan
"でも――ふん、正直今さらって感じだぜ
あんたが来るまでに何人死んだと思う？",Jordan,,Jordan,,Jordan
"来てくれたのはありがたいが、それよりも
常駐の騎士団部隊を配備してもらえんかね
もちろん覚者でも構わないよ",Lifeless Villager,,Lifeless Villager,,Lifeless Villager
"こんな辺境――神殿から離れた土地じゃあ
竜力がまったく届かなくてね",Lifeless Villager,,Lifeless Villager,,Lifeless Villager
"白竜さまが守ってくれないなら
せめて騎士団くらい置いてもらわないと",Lifeless Villager,,Lifeless Villager,,Lifeless Villager
"このあたりに住んでいると
神殿から見捨てられたような気になる
どうして移住しないのか――
のんきな連中はそう思うのだろうな",Brandon,,Brandon,,Brandon
"忘れないでほしいのは
ここはずっと人間の土地だったってことだ
俺達にとっては先祖伝来の土地よ",Brandon,,Brandon,,Brandon
"つまり、俺たちは相当頑張って
ここに人間ありってことを魔物どもに
知らしめているってわけだ",Brandon,,Brandon,,Brandon
"神殿のあんたらも、少しは協力してくれよ
明け渡すのなんか、簡単だぞ？",Brandon,,Brandon,,Brandon
"はぁああ、嘆願にはもっと早く
反応してもらえると嬉しいんだがね",Emporio,,Emporio,,Emporio
"我々がいなくなったら、このあたりは
未開の地と同じだろう？
完全にオークの天下というわけだ",Emporio,,Emporio,,Emporio
"そうなったら何が起こっても
情報は入らないんだが、そこをもう少しばかり
解ってもらえないかね――ふうう",Emporio,,Emporio,,Emporio
"ご苦労さんだったね
お茶でも飲んでいくかい？",Sunny,,Sunny,,Sunny
"あっははは、とは言ってもろくな葉っぱ
は取れないし、水も泥臭いけどね
一番いいのを出すから、我慢しておくれよ！",Sunny,,Sunny,,Sunny
"ご苦労さまです
あなたはきちんとした人みたいで
安心しました",Johann,,Johann,,Johann
"前に来た騎士団の方々は
この村を辺鄙だの廃村だのおっしゃった
挙句、オークを見て逃げ帰ってしまいまして",Johann,,Johann,,Johann
"とてもではありませんが、誠意ある行い
ではありませんでした
臆病な私ですら言葉を失いましたから",Johann,,Johann,,Johann
"こんなところにはね――夢も希望もないよ
どうして住んでいるのかって聞かれても
困っちゃうけどね
新しい生活に踏み出すのが億劫で――",Lifeless Villager,,Lifeless Villager,,Lifeless Villager
"ふむ――浮かない顔だな
まあ、わからないでもない",Joseph,,Joseph,,Joseph
"辺境の様子はわたしが若い頃でさえ
あまり良いものではなかった
残念なことだが――現実だ",Joseph,,Joseph,,Joseph
"ふむ――浮かない顔だな
まあ、わからないでもない",Joseph,,Joseph,,Joseph
"辺境の様子はわたしが若い頃でさえ
あまり良いものではなかった",Joseph,,Joseph,,Joseph
"覚者や騎士団を送れば
少しは改善されるだろうが
やはり竜力が届かないことには
豊かな村の再生は難しいのだ",Joseph,,Joseph,,Joseph
"あんな村はレスタニア全土にたくさんある
我々が彼らに報いるのは目先の利益ではなく
白竜の早い回復に貢献すること――
わたしはそう信じているのだ",Joseph,,Joseph,,Joseph
"ふむ――浮かない顔だな
まあ、わからないでもない",Joseph,,Joseph,,Joseph
"辺境の様子はわたしが若い頃でさえ
あまり良いものではなかった",Joseph,,Joseph,,Joseph
"覚者や騎士団を送れば
少しは改善されるだろうが
やはり竜力が届かないことには
豊かな村の再生は難しいのだ",Joseph,,Joseph,,Joseph
"あんな村はレスタニア全土にたくさんある
我々が彼らに報いるのは目先の利益ではなく
白竜の早い回復に貢献すること――
わたしはそう信じているのだ",Joseph,,Joseph,,Joseph
"ともあれ、ご苦労だった
おまえがあの村を訪ねることは
もうないかもしれないが――けして忘れるな",Joseph,,Joseph,,Joseph
"こんな時代も悪くない――
神殿にはそんなことを思って軽薄に暮らす
者たちが多いが、彼らは、辺境の苦しみなど
何も知らないのだ",Joseph,,Joseph,,Joseph
おまえにはそうはなって欲しくないからな,Joseph,,Joseph,,Joseph
どうした――村人が首を長くして待っているぞ？,Joseph,,Joseph,,Joseph
