old,speaker,english,speaker,english,speaker
油断するな,Vanessa,,Vanessa,,Vanessa
悪くない――その調子だ,Vanessa,,Vanessa,,Vanessa
目の前の敵に集中するんだ,Vanessa,,Vanessa,,Vanessa
切り込むぞ！,Vanessa,,Vanessa,,Vanessa
よし、ここは制圧した,Vanessa,,Vanessa,,Vanessa
それで良い、次に向かうぞ！,Vanessa,,Vanessa,,Vanessa
新手の敵だ、注意しろ！,Vanessa,,Vanessa,,Vanessa
今こそ名をあげる時だ――,Vanessa,,Vanessa,,Vanessa
相変わらずの臭いだな,Vanessa,,Vanessa,,Vanessa
今日こそ決着を付けてくれる！,Vanessa,,Vanessa,,Vanessa
逃がしたか――,Vanessa,,Vanessa,,Vanessa
覚者の命、全て狩り取ってくれるわ,Mogok,,Mogok,,Mogok
覚者の命は値千金！　奪え！,Mogok,,Mogok,,Mogok
今日はここまでだ,Mogok,,Mogok,,Mogok
まさか――この――俺が――,Mogok,,Mogok,,Mogok
