old,speaker
"鍛錬は続けているか？　力は落ちていないか？
どんな強者でも気を抜けば衰える
お前は力の証明ができるか？",Sven
"よし、今島内で暴れ回っている魔物を討伐して
俺にその力を見せてくれ",Sven
"――お前が覚者だからって
試そうとしてるわけじゃないぞ
同じ調査隊の仲間として、鍛錬の大切さをだな――",Sven
"とにかく、俺は口先だけのヤツが大嫌いでな
お前がジョゼフ様のお墨付きって肩書きに
ふさわしい力を維持してるってこと、証明してくれ",Sven
"勝ったはいいがボロボロの有様――
なんてことのないように
今回は一度も倒れずに討伐してみせてくれ",Sven
"そうだ、討伐後は一度ここに集合してくれ
それなりの見返りも用意しているんだ",Sven
"悪く思わないでくれ
俺は口先だけの奴が大嫌いでな",Sven
"なに――良い結果を出せば
それなりの見返りも用意している
損はしないはずだ",Sven
"勝ったはいいが、この程度の魔物に
ボロボロの有様――なんてことのないように
一度も倒れず討伐してみせてくれよ",Sven
"お前の力、本物ってワケか――
俺がとやかく言うようなことじゃなかったな
試すようなことをして、すまなかった",Sven
"俺なりの特上の礼を用意しておいた
まあ、持っていってくれ",Sven
"――どうした、鍛錬不足なんじゃないのか？
慢心か？　過信か？
そんなことでは己だけでなく、隊すら
危険に晒すことになりかねん",Sven
"これでは、用意していた報酬品を
渡すことはできんな――
これは一応用意しておいた粗品だ、受け取れ",Sven
敵との戦闘で一度も死亡状態になりませんでした,The White Dragon
依頼者からの報酬が多くなります,The White Dragon
パーティメンバーが死亡状態になりました,The White Dragon
依頼者からの報酬が下がります,The White Dragon
