old,new,speaker,english,speaker,english,speaker
"隊長！
《第二防衛区画》攻略のための
作戦ができたんだ！",,Sonel,,Sonel,,Sonel
"さ、さ、遠慮はいらない
さっそく聞いておくれよ！",,Sonel,,Sonel,,Sonel
"よーし！
それでは作戦を大発表だ！",,Sonel,,Sonel,,Sonel
"今回まずボクが目を付けたのは
ここ――《隔離兵舎》さ",,Sonel,,Sonel,,Sonel
"あの、“扉とレバーの魅惑の空間”
とでも呼びたくなる場所だね",,Sonel,,Sonel,,Sonel
"あそこはおそらく――
“大型の魔物”や、手の付けられない
ヤツらを隔離しておく施設だと踏んでいる",,Sonel,,Sonel,,Sonel
"隊長も、あそこで
巨大な武具や瓦礫が散乱していたのを
見ただろ？",,Sonel,,Sonel,,Sonel
"あれは“相当にやんちゃな奴”が
いる証拠だと思うんだ",,Sonel,,Sonel,,Sonel
"特に、大型の魔物は我々にとって脅威だ
一体いるだけで、戦況をひっくり返してしまう
影響力を持っている",,Sonel,,Sonel,,Sonel
"“軍隊”として相手をするのは危険だが
“一人の暴れん坊”のうちなら
まだなんとかなるかもしれない",,Sonel,,Sonel,,Sonel
"そこで――
乱戦を避け、確実に一匹ずつ
仕留めていく作戦を思いついた",,Sonel,,Sonel,,Sonel
"《隔離兵舎》に潜入し
お待ちかねのレバーを引くわけだ",,Sonel,,Sonel,,Sonel
"後は、そいつを倒すだけ――
どうだい？　実にシンプルな作戦だろ？",,Sonel,,Sonel,,Sonel
"ボクもこの“相棒”と共に参戦する
準備ができたらいつでも声をかけてくれ",,Sonel,,Sonel,,Sonel
"隊長は、戦闘となると
いつもより気合が入ってるように見えるね",,Sonel,,Sonel,,Sonel
"準備は完了したかな？
さ、出発しよう！",,Sonel,,Sonel,,Sonel
出発する,Depart,Sonel,,Sonel,,Sonel
――少し待ってほしい,...I want to wait awhile,Sonel,,Sonel,,Sonel
目指すは“扉とレバーの魅惑の空間”だ！,,Sonel,,Sonel,,Sonel
"隊長、レバーが逃げるかもしれない
すぐに準備してきてくれたまえ！",,Sonel,,Sonel,,Sonel
"さて――
ここまでくれば、あとはレバーを引くだけだが",,Sonel,,Sonel,,Sonel
"“どの扉を開けるか”は
隊長に任せることにするよ",,Sonel,,Sonel,,Sonel
一応念のため注意しておくが――,,Sonel,,Sonel,,Sonel
"一度に複数の扉を開けることだけは
“絶対に”やめたまえよ！
命がけのパーティが始まるからね",,Sonel,,Sonel,,Sonel
"さぁ、隊長
作戦開始だ！",,Sonel,,Sonel,,Sonel
"ふぅ――
とりあえずはなんとかなったね",,Sonel,,Sonel,,Sonel
