old,speaker,english,speaker,english,speaker
"――レスタニアの覚者だな
出し抜けで恐縮だが、1つ手伝い願いたい
戦力をお借りできないだろうか",Cornelia,,Cornelia,,Cornelia
"主のためにモローの希少品を持ち帰らなければ
ならないのだが、帰る途中で魔物に
嗅ぎつけられてしまったようでな
一人で切り抜けることが、困難な状況なのだ",Cornelia,,Cornelia,,Cornelia
"既に多くの戦いを経ているため、
体力の残存もわずか――
可能な限り、迅速な敵殲滅が必要だ",Cornelia,,Cornelia,,Cornelia
それでは――戦闘を開始する！,Cornelia,,Cornelia,,Cornelia
"おお、無事だったか――
間一髪だったのだな
迅速な救出、誠に感謝する",Milan,,Milan,,Milan
"特に、ライシュやゾルタに気に入られていてな
子供のように好奇心が強く
素直な言葉ばかりのあの娘は
風変りだが、すぐ皆と打ち解けたようだったよ",Milan,,Milan,,Milan
"侵食の大災は多くの物を奪って行ったが
いくらかは、代えの無い価値ある出会いも
運んできてくれた――",Milan,,Milan,,Milan
"皆に代わって改めて礼を言う
我々の友人を救ってくれて、本当にありがとう",Milan,,Milan,,Milan
"そうか――
すまなかった、私がもう少し早く
依頼していれば良かったものを",Milan,,Milan,,Milan
"だが、命に別状は無かったのだな――
それが何よりの成果だ",Milan,,Milan,,Milan
"常々考えているのだ――
貴殿たちは、フィンダムの災害と戦ってくれているが
それによって怪我が残ったり
命を落とす者たちも少なくないだろう",Milan,,Milan,,Milan
"我々が本当に貴殿たちに報いるには
何が最善なのか――
そのような思いでいること
少しでも心に留めておいてくれると嬉しい",Milan,,Milan,,Milan
"採掘所の件は、貴殿の貢献が大きいと聞く
店の品を切らす前に解決してくれたこと
礼を言おう",Milan,,Milan,,Milan
"ウルタン殿は、穏やかなご老人だが
ああ見えて昔は文武兼備の名高い剣士だったのだ
彼の信頼を得た貴殿は、村の者からも
同等の敬意を得られることだろう",Milan,,Milan,,Milan
"白竜の大陸の方々は皆、働き者で
フィンダムやこの村のために尽くしてくれる
最近この村に訪れた銀髪の美しい娘も
手先が器用で、村の工芸に貢献してくれているのだ",Milan,,Milan,,Milan
"モルフォールに興味を抱いてくれているようで
特産品や交易品などをよく尋ねてきてな
昨日から《<STG 952>》へ
向かったきり姿を見ないようだが――",Milan,,Milan,,Milan
"む――少し心配だな
覚者殿、手数をかけて申し訳ないが
様子を見に行ってくれないか？",Milan,,Milan,,Milan
"万が一魔物にでも襲われていたら大変だ
二人で怪我無く、元気に戻ることを願っているぞ",Milan,,Milan,,Milan
"最近村を訪れた、美しい銀髪の手先の器用な娘が
《<STG 952>》へ向かったまま
姿が見えないようなのだ",Milan,,Milan,,Milan
"万一魔物にでも襲われていたら、一刻も早く
助け出してやってほしい――
村のことを色々と教えていた者たちが悲しむからな
無事、帰ってくれることを願っているぞ",Milan,,Milan,,Milan
"――此度の協力、感謝する
この件は主に伝え、しかるべき礼を
させていただくことになるだろう",Cornelia,,Cornelia,,Cornelia
"主の命令通り、モルフォールの住民と交流を深め
価値ある特産物の情報を得た
現物を入手することにも成功した
これで――これで、任務は達成――だが",Cornelia,,Cornelia,,Cornelia
"主は、こうも仰っていたのだ
「商売の原則は、"等価交換"だ」
私は受けた価値を返すため、今しばし
モルフォールに留まりたいと思う――",Cornelia,,Cornelia,,Cornelia
"覚者よ、やはり先に戻っていてくれ
私はこの森で、住民たちが欲している品々を
収集してから帰る方が良いだろう",Cornelia,,Cornelia,,Cornelia
"なに――最悪の場合でも、
リムストーンに戻るだけのこと
気にするな",Cornelia,,Cornelia,,Cornelia
"くっ――
主に命じられた品の入手には成功したが
こんな状態では、お渡しすることなど――",Cornelia,,Cornelia,,Cornelia
"――モルフォールの住民の厚意を任務に
利用した罰が下ったのだろう
私の魅力ならできる、とのことだったが
彼らの厚遇に、魅力などは無関係だったように思う",Cornelia,,Cornelia,,Cornelia
"覚者よ、すまない
私はここでもう少し、休む必要がありそうだ
先に村へ戻っていて構わない",Cornelia,,Cornelia,,Cornelia
迅速に片を付けよう,Cornelia,,Cornelia,,Cornelia
"こんな体たらく――
ファビオ様の顔に、泥を塗る訳には",Cornelia,,Cornelia,,Cornelia
くっ――やはり、ここまでか,Cornelia,,Cornelia,,Cornelia
