old,speaker,english,speaker,english,speaker
"留守部隊を編成したら
自分は持ち場に戻る",Vanessa,,Vanessa,,Vanessa
"ここは心配するな
心おきなく戦ってこい
それから――",Vanessa,,Vanessa,,Vanessa
レオをよろしく頼む,Vanessa,,Vanessa,,Vanessa
"戦う者と残る者――
今回、俺は後者だ",Heinz,,Heinz,,Heinz
"派手な戦いになりそうだから
前線を楽しみたいけどな",Heinz,,Heinz,,Heinz
"傷？　そんなものはもう治った
レオの剣は切れ味が良すぎて
勲章傷にならんのが残念だがな",Gerd,,Gerd,,Gerd
"早く行ってやれ
せっかちなクラウスのことだ――
先回りして、封印を解いておこうなどと
考えているかもしれない",Joseph,,Joseph,,Joseph
"亡都メルゴダのことはキースヒルトから
聞いたことがあるんだ",Mayleaf,,Mayleaf,,Mayleaf
"これからはわたしが語り継ぐんだね
責任重大だな――",Mayleaf,,Mayleaf,,Mayleaf
"あなた様たちが戦いに勝利したら――
わたしたちはメルゴダに住むのでしょうか？",Pamela,,Pamela,,Pamela
"いいえ――それもいいかなと思っただけです
ごめんなさい、こんな話――",Pamela,,Pamela,,Pamela
"――クラウスは待ちきれずに
封印の扉へ行ってしまった",Theodor,,Theodor,,Theodor
"封印を見たいという好奇心に負けたらしい
なんとも心配な青年だな",Theodor,,Theodor,,Theodor
こいつは許さん！,Leo,,Leo,,Leo
正念場だぞ！,Leo,,Leo,,Leo
かかれ！　ひるむな！,Leo,,Leo,,Leo
哀れな覚者め――,Diamantes,,Diamantes,,Diamantes
心臓を差し出し、何を得た？,Diamantes,,Diamantes,,Diamantes
戦うだけの人生になんの意味があるのだ,Diamantes,,Diamantes,,Diamantes
用心しろ――敵は最早ひとではない！,Leo,,Leo,,Leo
"ここは白竜の世界だ
そして俺達は理の戦士――白竜の覚者！",Leo,,Leo,,Leo
我ら理とともにあり！,Leo,,Leo,,Leo
愚昧な者よ――なぜわからぬ――,Diamantes,,Diamantes,,Diamantes
"理の世の――つまらなさ――
永遠が約束された世界など――",Diamantes,,Diamantes,,Diamantes
"なぜわからぬ――
竜の世など壊してしまえ――",Diamantes,,Diamantes,,Diamantes
それほどの力――惜しい,Diamantes,,Diamantes,,Diamantes
竜など――足かせ――,Diamantes,,Diamantes,,Diamantes
変革なくして――何が――,Diamantes,,Diamantes,,Diamantes
やった！　やったね！,Klaus,,Klaus,,Klaus
"結局、最後は君のお手柄だ
初めて会った時からこうなるって――",Klaus,,Klaus,,Klaus
"いや、それは言い過ぎか！
ごめん、なんだか浮かれちゃって――",Klaus,,Klaus,,Klaus
"さあ、帰ろうよ
みんな首を長くして待っているよ？",Klaus,,Klaus,,Klaus
"ありがとう――心から礼を言うよ
正直なところ、君たちが来る前は
世界の終わりを予感していた",Theodor,,Theodor,,Theodor
"ディアマンテスが支配する
命が錬金の材料に過ぎない世界など
人にとっては終末後と変わらないからな",Theodor,,Theodor,,Theodor
"ところが――
ああ、本当に良かった",Theodor,,Theodor,,Theodor
"それで、ディアマンテスの命は
どうするつもりなんだ？",Theodor,,Theodor,,Theodor
ああ、なるほど――それは素晴らしい！,Theodor,,Theodor,,Theodor
"おかえりなさい！
あれ？　レオは？",Mayleaf,,Mayleaf,,Mayleaf
"――ああ、良かった
それなら、すぐに会えるよね！",Mayleaf,,Mayleaf,,Mayleaf
"残念ながら貴殿の活躍を見ることは
できなかったが
さぞや立派に戦ったのだろう
ご苦労だったな",Gerd,,Gerd,,Gerd
さて――,Gerd,,Gerd,,Gerd
"騎士団と覚者の間にはまだ確執がある
しかし、それも穏やかに消えて行くのだろう",Gerd,,Gerd,,Gerd
"新しい時代の到来――
ああ、きっと、こんな感じなのだろうな",Gerd,,Gerd,,Gerd
"となれば――
わたしもそろそろ引退の時期かもしれん",Gerd,,Gerd,,Gerd
"魚釣りでもしながらのんびり暮らすのも
悪くないかもな",Gerd,,Gerd,,Gerd
"こんなに大きく世の中が動く時代に
生まれてきたこと――
偶然の巡り合わせ――
幾ら感謝してもしたりないよ",Klaus,,Klaus,,Klaus
実はね、ちょっとした野望があるんだ,Klaus,,Klaus,,Klaus
"ジョゼフ様とテオドールを会わせて
これからの新しい世界の設計図を
作れないだろうか――なんてね",Klaus,,Klaus,,Klaus
"そう――たったひとりの男のせいで
このまま封印してしまうなんて
錬金術がもったいないよ",Klaus,,Klaus,,Klaus
"やったなあ――
これはオークとの戦いとは
わけが違うからな――
おまえの名はレスタニアの歴史に残るぞ",Heinz,,Heinz,,Heinz
"そうそう――
白衛騎士団のハインツには世話になった
――あちこちでそう伝えてくれ",Heinz,,Heinz,,Heinz
"ウワサになって俺の親戚が聞いたら
誇らしいだろうからな",Heinz,,Heinz,,Heinz
レオがいないようだな,Vanessa,,Vanessa,,Vanessa
