old,speaker
"覚者さん、おかえりなさい
なんとか無傷で救い出してくれたんだな！
これで、医療品を節約できるよ",Berg
"え、彼はそんなことを？
まったく――
帰ったら二度と馬鹿な真似をしないよう
キツく言ってやらなくちゃな",Berg
"うわ――覚者さん、怪我をしているじゃないか
すぐに手当しよう",Berg
"あぁ、<NPC 602>は無事だったんだな
それは良かった
――目覚めて帰ってくる時が楽しみだよ
今回ばかりは怒りを抑えられそうにない",Berg
"やぁ、覚者さん
覚者さんのおかげで、物資にも余裕が出てきたよ
特に、戦闘回数が減ったおかげで
怪我人も少なくなったのがありがたいね",Berg
"ただな、一人頭の痛いのが――
<NPC 602>という奴なんだが
いわゆる、放蕩者というのかな",Berg
"ちょっとした怪我でも救護要請するもんだから
ただでさえ手が足りないのに、シェケルが困っててな
修行するとか言って《<STG 1061>》へ
また飛び出して行っちまったが――",Berg
"どうせまた、ろくでもない擦り傷を作って
帰ってくるのが目に見えているのにな
覚者様、引きずってでも
連れ帰ってきてくれないかな？",Berg
"<NPC 602>は、修行するとか言って
《<STG 1061>》へ
飛び出して行っちまったんだが――",Berg
"どうせまた、ろくでもない擦り傷を作って
帰ってくるのだろうからな
覚者様、引きずってでも
連れ帰ってきてくれないかな？",Berg
"擦り傷なら放って置けばいいって？
栄養状態が悪いと、簡単に化膿してしまうものさ
重症化してからじゃ遅いから――
まぁ、シェケルの受け売りなんだけどな",Berg
"はぁ～！　大したもんだ
君は強いんだなぁ
で、一体何しに来たんだい？",Elton
"えっ！　<NPC 3057>に言われて俺を探しに？
ちえ、どうせなら可愛い女の子に
心配してもらいたかったなぁ",Elton
"君には助けてもらってしまったな
いやいや、大丈夫！
俺はもう少し軽く運動していくから
君は先に帰っていてくれて大丈夫だよ！",Elton
"ぐふっ
俺はもうだめだ
やっぱり戦士なんてやめとけばよかった――
君は――いったい何者なんだ？",Elton
"覚者？
なんだってそんな人がこんな場所に――
ベルクが俺を心配して？",Elton
"そうか、それはすまないな
いい恰好しようとしてこんな所でくたばるなんて
最高に恰好悪いな――
でも最期に、君に会えてよかった――",Elton
"――
――――ぐぅ",Elton
"うお、びっくりした――
君、こんな所で何してるんだ？",Elton
"俺か？　俺はほら――
修行？　みたいなもんだよ
そのうち強くなったら、ちゃんとした兵士に
志願するんだからな",Elton
"だけど、いつもより深い場所に来ちまって
魔物も強いし困ってたんだ――
なぁ君、持っているそれ、武器だろ？
ちょーっと手伝ってくれないかなぁ",Elton
"へー、そうやって敵をさばくのか
勉強になるなぁ",Elton
いてて――君は全然平気なのか？,Elton
だめだ！　もう動けない――,Elton
