old,speaker,english,speaker,english,speaker
"さあ、アッカーシェランへ急ぐべきでは
ないか？",Joseph,,Joseph,,Joseph
"ネド王子がどういう人物か知らなくても
解放軍が活気づいたことは敵にも伝わる",Joseph,,Joseph,,Joseph
"流れに乗り遅れないように――
いや、流れを生み出すくらいの勢いで
丁度良いかもしれないぞ",Joseph,,Joseph,,Joseph
"悪しき竜の思惑はまだわからん
くれぐれも用心するのだぞ",Joseph,,Joseph,,Joseph
"戦いのことは素人だけどね――
防戦一方じゃ気持ちがふさぐと思う",Klaus,,Klaus,,Klaus
"砦なんか、壁に囲まれているから
なおさらだ",Klaus,,Klaus,,Klaus
"各地から報告が入っています
状況はますます厳しくなってきたようです",Nedo,,Nedo,,Nedo
詳しいことは将軍からお願いします,Nedo,,Nedo,,Nedo
"敵は同時にあちこちで動き出している
どこから手をつけたらいいのか――",Gillian,,Gillian,,Gillian
"増強されたと言ってもまだまだ
多勢に無勢",Quintus,,Quintus,,Quintus
"兵を効率的に動かさないと
勝利が遠のく",Quintus,,Quintus,,Quintus
"ジタバタしても仕方がねえ
メイロワ将軍と話してこいよ",Gurdolin,,Gurdolin,,Gurdolin
"おそらく、部隊を分散することに
なるんでしょうね
その時は、僕にも考えがあります",Elliot,,Elliot,,Elliot
ネド王子の面倒はわたしに任せて,Lise,,Lise,,Lise
"この気持ち、なんだろうね
お姉さん気分――え？　母親気分！？",Lise,,Lise,,Lise
"おお、おぬしら、状況は切迫しておるぞ
ロスギルの村、ベルタのアジトともに敵の攻撃を
受けている",Meirova,,Meirova,,Meirova
やつらめ、本腰を入れて攻めて来たようだ,Meirova,,Meirova,,Meirova
"ネド王子の合流で士気は高まったが
このまま劣勢になれば元も子もない",Meirova,,Meirova,,Meirova
"起死回生――派手な戦果を上げて
士気を維持するのだ",Meirova,,Meirova,,Meirova
"派手な戦果を求めるとなれば
ネド王子の出陣は必須",Meirova,,Meirova,,Meirova
"危険ではあるがこれも王家の責務
武運は王子にあると信じて
前進あるのみだ",Meirova,,Meirova,,Meirova
"あなたはロスギルへ行ってくれる？
わたしはここでもう少し報告を聞いて
行き先を決めるから",Gillian,,Gillian,,Gillian
ベルタのところか、それとも、他のところか,Gillian,,Gillian,,Gillian
"とにかく、ロスギルはあなたに任せるから
お願いね",Gillian,,Gillian,,Gillian
"ロスギルは任せるから――
急いでね",Gillian,,Gillian,,Gillian
僕はベルタのところへ行こうと思います,Nedo,,Nedo,,Nedo
"あそこには子供が多いから――
子供たちなら、僕でも勇気づけて
やれるはずです",Nedo,,Nedo,,Nedo
この砦の留守はまかせてくれ,Quintus,,Quintus,,Quintus
"ロスギルへ行くんだろ？
だったら、急ごうぜ",Gurdolin,,Gurdolin,,Gurdolin
"隊長、行ってきて
王子はわたしが守るから",Lise,,Lise,,Lise
"ロスギル村ですよね？
何度か行き来した村ですけど
間違えたら大変です",Elliot,,Elliot,,Elliot
地図で確認しながら行きましょう,Elliot,,Elliot,,Elliot
"おお、ありがたい！
なんと心強い顔ぶれでしょうか",Gerhard,,Gerhard,,Gerhard
"ここまでは手勢で持ちこたえていますが
あらたな敵の情報が入りましてな――",Gerhard,,Gerhard,,Gerhard
"わたしたちはここの防衛で手一杯
どうぞ、外の敵の相手をよろしくお願いします！",Gerhard,,Gerhard,,Gerhard
"敵の援軍は村の外です
中に入られては守り切れるかどうか――
どうぞ、よろしくお願いします！",Gerhard,,Gerhard,,Gerhard
"故郷は自分たちで守る――
そう言いたいところだが多勢に無勢
応援、感謝するよ",Rothgill Soldier,,Rothgill Soldier,,Rothgill Soldier
"おう、俺とエリオットでロスギルを襲撃する
敵を防いでやるよ",Gurdolin,,Gurdolin,,Gurdolin
それ以外は頼んだぜ,Gurdolin,,Gurdolin,,Gurdolin
"隊長、さっさと片付けましょう
ネド王子が心配ですから
いつでも向こうに行けるように！",Elliot,,Elliot,,Elliot
"倒したオークが捨て台詞を残しました――
ほどなくベルタも生きちゃいまい
オークからは逃げられない",Gerhard,,Gerhard,,Gerhard
もちろん、王子も――,Gerhard,,Gerhard,,Gerhard
"隊長、ここはもう我々で対処可能です
どうぞ、ベルタのところへ！
王子をお守りください",Gerhard,,Gerhard,,Gerhard
"ここはもう大丈夫です
どうぞ、盗賊のアジトへ――王子のところへ！",Gerhard,,Gerhard,,Gerhard
"おかげで助かったよ
あんた、やっぱりすごいな",Rothgill Soldier,,Rothgill Soldier,,Rothgill Soldier
"話なら、あっちでしようぜ
王子と盗賊どもに何かあったら
俺たちが責められそうな勢いだ",Gurdolin,,Gurdolin,,Gurdolin
"王子の護衛が何人いるかなんて
隊長も聞いてないですよね",Elliot,,Elliot,,Elliot
"リズだけってことはないですよねえ
不安です、早く行きましょう！",Elliot,,Elliot,,Elliot
何か――予感がするんです,Nedo,,Nedo,,Nedo
"吉兆か凶兆かわからないけど――
いいえ、その両方が混じり合ったような――",Nedo,,Nedo,,Nedo
"こりゃあ、あれだ
嵐の前の静けさってやつだな",Gurdolin,,Gurdolin,,Gurdolin
油断するなよ,Gurdolin,,Gurdolin,,Gurdolin
"隊長――
やっぱり顔見るとホッとするよ",Lise,,Lise,,Lise
