old,speaker
"ここは俺たち採掘師が使ってた
抜け道みたいなもんで
渓谷に行くのにはちょうどいい近道なんだ",Man
"なのに魔物が入り込んだみたいで
たまの休みに里にすら帰れなくなっちまった",Man
あんた強そうだな、覚者なんだろ？,Man
たいした礼はできないが魔物を退治してきてくれ,Man
"ここは俺たち採掘師が使ってた
抜け道みたいなもんで
渓谷に行くのにはちょうどいい近道なんだ",Man
"なのに魔物が入り込んだせいで
たまの休みに娘んとこにも帰れやしない",Man
大事な一人娘なんだ、俺の気持ち分かんだろ？,Man
"たいした礼はできないが魔物を退治してきてくれ
魔物はどれぐらい入り込んだか分かっちゃいないが
なに、あんたなら朝飯前だよな",Man
"ここは俺たち採掘師が使ってた
抜け道みたいなもんで
渓谷に行くのにちょうどいい近道なんだ",Man
"なのになんだってんだ！
とんでもない魔物が入り込んで
仲間がたくさん殺られちまった！",Man
"ほんとに気の良い奴らばかりだったんだ
なぁ、俺の無念分かんだろ？",Man
"たいした礼はできないが仇を討ってきて欲しい
魔物は相当手強く数も分かっちゃいないが
あんたならやってくれるよな",Man
"おぉやってくれたか、流石だな！
これで安心して里に帰れるってもんだ",Man
"ああ、あんたもこの道を使ってくれて
構わないぞ",Man
できればたまに、魔物を駆除してくれると助かるよ,Man
"おぉやってくれたか、流石だな！
これで安心して娘んとこにも帰れるってもんだ",Man
"ああ、そうだあんた！
この道をたまに通って見ておいてくれよ
そしたら今後も安心だ",Man
"基本ここは俺たち採掘師専用だったから
あんたがいりゃあ心強いよ",Man
"おぉやってくれたか！
あんたありがとうな、恩にきるよ――
これでわずかながらも仲間の供養ができたってもんだ",Man
"あと――手前勝手な頼みだが
よければまたここの魔物を駆除してくれないか",Man
"覚者が守ってくれれば、渓谷との行き来も
ずっと安全になるからな――",Man
とにかく、あんたが来てくれて良かったよ,Man
どうだ？　何とかなりそうか？,Man
"――ここは元々慣れた採掘師しか
使っていない坑道だ",Man
"さすがに騎士団も、わざわざこんなとこにまで
人を遣ってはくれないだろう――
あんたが頼りなんだ",Man
