old,speaker
"お、キミか！
今、探しに行こうと思ってたところだよ",Sonel
"先刻《集会場》で救出したエルマーから
情報提供があってね
急いで取り掛かりたいことがあるんだ",Sonel
"可及的速やかに実行する必要がある作戦でね
ぜひともキミの力を貸してほしい",Sonel
よし、では今回の作戦の内容を説明しよう,Sonel
"どうやらまだ囚われたままの同志が
第一防衛区画に残されているらしい",Sonel
"情報によると、《第一捕虜収容所》というところに
まだ数名捕まったままとのことだ",Sonel
"人命に関わる緊急性の高い任務だ
準備ができたらすぐに話しかけてくれ",Sonel
"もう準備が完了したのかい？
さすが、ネド王子を救出しただけのことはあるな",Sonel
"お察しの通り、今回の作戦は
囚われている同志の救出だ",Sonel
"ある程度、第一防衛区画を取り戻したとはいえ
依然として敵の手中にあることに変わりはない",Sonel
"《第一の門》を完全に制圧しない限り
増援の可能性は無視できないだろう",Sonel
"展望城の防衛すら人手不足で
こちらの戦力も十分ではないからね",Sonel
"《第一捕虜収容所》は
おそらく《兵士詰所》に隣接した場所だろう",Sonel
"敵の気配がないことを確認したら
一気に突入する",Sonel
"同志は今も助けを待っている
さ、急ごう！",Sonel
"あ――あんたは？
お、オークには見えないが――",Liam
"ん？
あそこにいるのはソネル様じゃないか！",Liam
"我々兵士や民が一人でも多く逃げられるよう
最後まで城に残り、敵を引き付けてくださったと
聞いていたが――",Liam
"ご無事だったのか――！
本当に良かった",Liam
"しかも――
こうやって囚われた俺たちを
助けに来てくださったなんて――！
最後まで希望を捨てなくて良かった――",Liam
"さ、他の者も早く檻から
出してやってくれ！",Liam
"う――うう――
これで、やっと解放される",Beza
"あ、ありがとうございます――
いつか助けが来ると信じていました",Gallip
"敵の気配はなし――
よし、今のうちに同志を救出しよう",Sonel
"兵士が一人に、民が二人――
情報通りだ",Sonel
"幸い、まだみんな無事でいてくれたようだ
間に合って良かった",Sonel
"ボクは敵が来ないか見張っておこう
檻を壊して、彼らを解放してあげてくれ",Sonel
"俺はリアムだ
エルマーと一緒に、戦えない者を
引き連れて城を脱出したはいいが――",Liam
"どうにも逃げきれず
結局ここに囚われてしまったんだ",Liam
"ここ数日、塀越しに
戦いの音が度々聴こえてきてたよ
――それを希望に、今日まで耐えてきたんだ",Liam
"だけど、エルマーは――
ちょっと前に奴らに連れて行かれて――
――何もできなかった",Liam
"え？　エルマーは無事だって！？
――良かった
またアイツと酒が飲めるんだな",Liam
"ん？
ソネル様が杖に手を――",Liam
"――奴らが来るぞ！
俺は彼ら二人を連れてここから逃げるよ
ここは、頼んだからな！",Liam
"ふぅ――
敵の巡回が少なくて助かったよ",Sonel
"さすがに、ボクら二人では
抑えるのに限界があるからね",Sonel
"しかし、見事な腕前だ
我が国の兵も優秀だが
それを遥かに凌駕しているよ",Sonel
"さ、脱出した彼らの無事も確認したい
ボクらも城に戻るとしよう",Sonel
"彼ら三人全員の無事を確認した
作戦通り後ろで控えていた兵たちが
保護してくれたようだ",Sonel
"これで、第一防衛区画の奪還も
また一歩前進だ！
この勢いで、残りも攻略していこう！",Sonel
"ボクの魔法はどうも調子がいまいちだけど
キミがいればなんとかなるんじゃないかな",Sonel
